"Index","Open","High","Low","Close","Volume","Open Interest"
1990-02-02,NA,NA,NA,136.05,NA,NA
1990-02-05,NA,NA,NA,137,NA,NA
1990-02-06,NA,NA,NA,136.85,NA,NA
1990-02-07,NA,NA,NA,136.35,NA,NA
1990-02-08,NA,NA,NA,137,NA,NA
1990-02-09,NA,NA,NA,136.25,NA,NA
1990-02-12,NA,NA,NA,136.65,NA,NA
1990-02-13,NA,NA,NA,137.3,NA,NA
1990-02-14,NA,NA,NA,136.75,NA,NA
1990-02-15,NA,NA,NA,135.1,NA,NA
1990-02-16,NA,NA,NA,134.95,NA,NA
1990-02-19,NA,NA,NA,NA,NA,NA
1990-02-20,NA,NA,NA,137.5,NA,NA
1990-02-21,NA,NA,NA,136.75,NA,NA
1990-02-22,NA,NA,NA,136.35,NA,NA
1990-02-23,NA,NA,NA,135.35,NA,NA
1990-02-26,NA,NA,NA,129.35,NA,NA
1990-02-27,NA,NA,NA,128.25,NA,NA
1990-02-28,NA,NA,NA,129,NA,NA
1990-03-01,NA,NA,NA,128.5,NA,NA
1990-03-02,NA,NA,NA,131.85,NA,NA
1990-03-05,NA,NA,NA,132.35,NA,NA
1990-03-06,NA,NA,NA,132.35,NA,NA
1990-03-07,NA,NA,NA,132.4,NA,NA
1990-03-08,NA,NA,NA,132.25,NA,NA
1990-03-09,NA,NA,NA,131.9,NA,NA
1990-03-12,NA,NA,NA,132.05,NA,NA
1990-03-13,NA,NA,NA,132.25,NA,NA
1990-03-14,NA,NA,NA,131.9,NA,NA
1990-03-15,NA,NA,NA,131.85,NA,NA
1990-03-16,NA,NA,NA,132.25,NA,NA
1990-03-19,NA,NA,NA,131.9,NA,NA
1990-03-20,NA,NA,NA,131.2,NA,NA
1990-03-21,NA,NA,NA,132,NA,NA
1990-03-22,NA,NA,NA,132.6,NA,NA
1990-03-23,NA,NA,NA,132.5,NA,NA
1990-03-26,NA,NA,NA,129.1,NA,NA
1990-03-27,NA,NA,NA,128.9,NA,NA
1990-03-28,NA,NA,NA,129,NA,NA
1990-03-29,NA,NA,NA,129.7,NA,NA
1990-03-30,NA,NA,NA,129.75,NA,NA
1990-04-02,NA,NA,NA,129.3,NA,NA
1990-04-03,NA,NA,NA,129.95,NA,NA
1990-04-04,NA,NA,NA,129.45,NA,NA
1990-04-05,NA,NA,NA,129.05,NA,NA
1990-04-06,NA,NA,NA,129.55,NA,NA
1990-04-09,NA,NA,NA,129.35,NA,NA
1990-04-10,NA,NA,NA,129.65,NA,NA
1990-04-11,NA,NA,NA,129.85,NA,NA
1990-04-12,NA,NA,NA,129.95,NA,NA
1990-04-13,NA,NA,NA,NA,NA,NA
1990-04-16,NA,NA,NA,129.75,NA,NA
1990-04-17,NA,NA,NA,129.1,NA,NA
1990-04-18,NA,NA,NA,128.8,NA,NA
1990-04-19,NA,NA,NA,129,NA,NA
1990-04-20,NA,NA,NA,127.7,NA,NA
1990-04-23,NA,NA,NA,127.8,NA,NA
1990-04-24,NA,NA,NA,126,NA,NA
1990-04-25,NA,NA,NA,123.35,NA,NA
1990-04-26,NA,NA,NA,122.75,NA,NA
1990-04-27,NA,NA,NA,121.05,NA,NA
1990-04-30,NA,NA,NA,117.35,NA,NA
1990-05-01,NA,NA,NA,119.95,NA,NA
1990-05-02,NA,NA,NA,119.85,NA,NA
1990-05-03,NA,NA,NA,119,NA,NA
1990-05-04,NA,NA,NA,120.4,NA,NA
1990-05-07,NA,NA,NA,119.4,NA,NA
1990-05-08,NA,NA,NA,117.7,NA,NA
1990-05-09,NA,NA,NA,118.25,NA,NA
1990-05-10,NA,NA,NA,118.5,NA,NA
1990-05-11,NA,NA,NA,118.85,NA,NA
1990-05-14,NA,NA,NA,119.4,NA,NA
1990-05-15,NA,NA,NA,119.3,NA,NA
1990-05-16,NA,NA,NA,120,NA,NA
1990-05-17,NA,NA,NA,119.25,NA,NA
1990-05-18,NA,NA,NA,123.5,NA,NA
1990-05-21,NA,NA,NA,122.2,NA,NA
1990-05-22,NA,NA,NA,122.4,NA,NA
1990-05-23,NA,NA,NA,121.55,NA,NA
1990-05-24,NA,NA,NA,122.75,NA,NA
1990-05-25,NA,NA,NA,123.2,NA,NA
1990-05-28,NA,NA,NA,NA,NA,NA
1990-05-29,NA,NA,NA,122,NA,NA
1990-05-30,NA,NA,NA,120.65,NA,NA
1990-05-31,NA,NA,NA,119.4,NA,NA
1990-06-01,NA,NA,NA,119.15,NA,NA
1990-06-04,NA,NA,NA,118.7,NA,NA
1990-06-05,NA,NA,NA,119.15,NA,NA
1990-06-06,NA,NA,NA,119.45,NA,NA
1990-06-07,NA,NA,NA,118.2,NA,NA
1990-06-08,NA,NA,NA,118.65,NA,NA
1990-06-11,NA,NA,NA,118.35,NA,NA
1990-06-12,NA,NA,NA,118.25,NA,NA
1990-06-13,NA,NA,NA,116.7,NA,NA
1990-06-14,NA,NA,NA,113.55,NA,NA
1990-06-15,NA,NA,NA,114.85,NA,NA
1990-06-18,NA,NA,NA,115,NA,NA
1990-06-19,NA,NA,NA,115.3,NA,NA
1990-06-20,NA,NA,NA,114.5,NA,NA
1990-06-21,NA,NA,NA,114.5,NA,NA
1990-06-22,NA,NA,NA,114.05,NA,NA
1990-06-25,NA,NA,NA,114.7,NA,NA
1990-06-26,NA,NA,NA,113.15,NA,NA
1990-06-27,NA,NA,NA,113.75,NA,NA
1990-06-28,NA,NA,NA,114.2,NA,NA
1990-06-29,NA,NA,NA,117.65,NA,NA
1990-07-02,NA,NA,NA,116.65,NA,NA
1990-07-03,NA,NA,NA,117.9,NA,NA
1990-07-04,NA,NA,NA,NA,NA,NA
1990-07-05,NA,NA,NA,119,NA,NA
1990-07-06,NA,NA,NA,118.6,NA,NA
1990-07-09,NA,NA,NA,117.1,NA,NA
1990-07-10,NA,NA,NA,116.8,NA,NA
1990-07-11,NA,NA,NA,116.95,NA,NA
1990-07-12,NA,NA,NA,116.75,NA,NA
1990-07-13,NA,NA,NA,117.2,NA,NA
1990-07-16,NA,NA,NA,117.15,NA,NA
1990-07-17,NA,NA,NA,116.75,NA,NA
1990-07-18,NA,NA,NA,117.95,NA,NA
1990-07-19,NA,NA,NA,117.5,NA,NA
1990-07-20,NA,NA,NA,117.85,NA,NA
1990-07-23,NA,NA,NA,119.1,NA,NA
1990-07-24,NA,NA,NA,117.5,NA,NA
1990-07-25,NA,NA,NA,117.5,NA,NA
1990-07-26,NA,NA,NA,116.7,NA,NA
1990-07-27,NA,NA,NA,116.1,NA,NA
1990-07-30,NA,NA,NA,115.25,NA,NA
1990-07-31,NA,NA,NA,115.25,NA,NA
1990-08-01,NA,NA,NA,115,NA,NA
1990-08-02,NA,NA,NA,114.75,NA,NA
1990-08-03,NA,NA,NA,113.25,NA,NA
1990-08-06,NA,NA,NA,113.5,NA,NA
1990-08-07,NA,NA,NA,114,NA,NA
1990-08-08,NA,NA,NA,114.3,NA,NA
1990-08-09,NA,NA,NA,114.85,NA,NA
1990-08-10,NA,NA,NA,115.5,NA,NA
1990-08-13,NA,NA,NA,117.75,NA,NA
1990-08-14,NA,NA,NA,116.7,NA,NA
1990-08-15,NA,NA,NA,115.5,NA,NA
1990-08-16,NA,NA,NA,116.15,NA,NA
1990-08-17,NA,NA,NA,117.15,NA,NA
1990-08-20,NA,NA,NA,118.05,NA,NA
1990-08-21,NA,NA,NA,118.5,NA,NA
1990-08-22,NA,NA,NA,117.75,NA,NA
1990-08-23,NA,NA,NA,117.6,NA,NA
1990-08-24,NA,NA,NA,116.25,NA,NA
1990-08-27,NA,NA,NA,112.5,NA,NA
1990-08-28,NA,NA,NA,111.9,NA,NA
1990-08-29,NA,NA,NA,112.1,NA,NA
1990-08-30,NA,NA,NA,111.7,NA,NA
1990-08-31,NA,NA,NA,110.7,NA,NA
1990-09-03,NA,NA,NA,NA,NA,NA
1990-09-04,NA,NA,NA,111.45,NA,NA
1990-09-05,NA,NA,NA,110.95,NA,NA
1990-09-06,NA,NA,NA,109,NA,NA
1990-09-07,NA,NA,NA,107.85,NA,NA
1990-09-10,NA,NA,NA,104.85,NA,NA
1990-09-11,NA,NA,NA,105.5,NA,NA
1990-09-12,NA,NA,NA,104.9,NA,NA
1990-09-13,NA,NA,NA,105.7,NA,NA
1990-09-14,NA,NA,NA,105.4,NA,NA
1990-09-17,NA,NA,NA,105.95,NA,NA
1990-09-18,NA,NA,NA,106,NA,NA
1990-09-19,NA,NA,NA,105.05,NA,NA
1990-09-20,NA,NA,NA,103.5,NA,NA
1990-09-21,NA,NA,NA,101.35,NA,NA
1990-09-24,NA,NA,NA,102,NA,NA
1990-09-25,NA,NA,NA,102.65,NA,NA
1990-09-26,NA,NA,NA,99.75,NA,NA
