,Prediction
2014-01-02,0.19021975817375145
2014-01-03,0.08810023981893589
2014-01-06,0.18269525682235496
2014-01-07,0.7473229238330471
2014-01-08,0.023174273711249364
2014-01-09,0.046450114817433726
2014-01-10,0.03774266770495895
2014-01-13,0.1139119263860884
2014-01-14,0.22564410834838874
2014-01-15,0.1828541674899851
2014-01-16,0.033521584355164565
2014-01-17,0.03268345936051303
2014-01-20,0.029762962022904356
2014-01-21,0.02397601829094439
2014-01-22,0.016313985344820186
2014-01-23,0.3565801163484463
2014-01-24,0.4010108594206253
2014-01-27,0.4199715035323371
2014-01-28,0.2707942655845063
2014-01-29,0.26525284451194214
2014-01-30,0.49236206489456474
2014-01-31,0.6251149334329065
2014-02-03,0.30242042022904697
2014-02-04,0.21745302308027206
2014-02-05,0.5295275518053195
2014-02-06,0.5410112282400401
2014-02-07,0.8358685218109931
2014-02-10,0.5255493783938573
2014-02-11,0.15068461337359243
2014-02-12,0.03009030264952395
2014-02-13,0.016170276599040963
2014-02-14,0.07409634038657337
2014-02-17,0.8073923647467255
2014-02-18,0.8157937677033827
2014-02-19,0.9057288015920085
2014-02-20,0.4754907173380697
2014-02-21,0.46503934223788557
2014-02-24,0.822039003625308
2014-02-25,0.5862946067426924
2014-02-26,0.583852977836968
2014-02-27,0.18433468056301955
2014-02-28,0.45834207121137177
2014-03-03,0.3230910732727289
2014-03-04,0.13538869002684356
2014-03-05,0.01775625873470252
2014-03-06,0.015316479538947322
2014-03-07,0.03194053766327311
2014-03-10,0.12811247937445425
2014-03-11,0.22689730229754543
2014-03-12,0.19924950736955938
2014-03-13,0.3693186190807642
2014-03-14,0.5401393676842461
2014-03-17,0.37517245761461426
2014-03-18,0.022655333227618972
2014-03-19,0.0408924642029367
2014-03-20,0.017240564735392247
2014-03-21,0.06312272201254261
2014-03-24,0.05754614632894822
2014-03-25,0.12424728839318691
2014-03-26,0.3405098786342306
2014-03-27,0.1013419259818763
2014-03-28,0.18231741781939334
2014-03-31,0.16593705967009567
2014-04-01,0.41855743568243176
2014-04-02,0.800413274616019
2014-04-03,0.5208256841355158
2014-04-04,0.6351064691545107
2014-04-07,0.7448572976080086
2014-04-08,0.6055383394700845
2014-04-09,0.7919115078436239
2014-04-10,0.6587522333754132
2014-04-11,0.28846473946609813
2014-04-14,0.043130897566863786
2014-04-15,0.743371482471801
2014-04-16,0.6448798811877959
2014-04-17,0.14289873125909455
2014-04-22,0.45112121929170007
2014-04-23,0.6262884985089687
2014-04-24,0.5736858782134766
2014-04-25,0.35214271219141907
2014-04-28,0.15598298878511602
2014-04-29,0.23348192335839188
2014-04-30,0.3564529769041656
2014-05-01,0.06618243543877814
2014-05-02,0.027436023510030595
2014-05-06,0.013759854577391028
2014-05-07,0.10582960351719219
2014-05-08,0.3595822390344447
2014-05-09,0.29259435069428813
2014-05-12,0.17324780994737352
2014-05-13,0.04721482901666367
2014-05-14,0.22236749884605156
2014-05-15,0.27703688109093305
2014-05-16,0.16240914966313755
2014-05-19,0.12862499686381493
2014-05-20,0.49096703407362424
2014-05-21,0.11645730809731064
2014-05-22,0.1864137786538567
2014-05-23,0.2527337697971453
2014-05-27,0.4030598001609598
2014-05-28,0.5068272569580806
2014-05-29,0.6979742173027983
2014-05-30,0.5928591814384582
2014-06-02,0.3594679800011809
2014-06-03,0.749754583194938
2014-06-04,0.8662326186191592
2014-06-05,0.6802130123727184
2014-06-06,0.2331512158026568
2014-06-09,0.017492335386991475
2014-06-10,0.07457156275830053
2014-06-11,0.2776875154437746
2014-06-12,0.0803023841757511
2014-06-13,0.015629047569630614
2014-06-16,0.34059331367126516
2014-06-17,0.3660677943708382
2014-06-18,0.11522617596586515
2014-06-19,0.3198173544430025
2014-06-20,0.2405084477000411
2014-06-23,0.8338497171390513
2014-06-24,0.24019900461409308
2014-06-25,0.04262154256206145
2014-06-26,0.41842074694945947
2014-06-27,0.08012413263141108
2014-06-30,0.6415981705615882
