,Prediction
2015-07-01,0.03341615499134621
2015-07-02,0.48087154645630126
2015-07-03,0.018871333900309966
2015-07-06,0.3790819089794785
2015-07-07,0.305979546827264
2015-07-08,0.9619010473385913
2015-07-09,0.03676489971728779
2015-07-10,0.29698659790700876
2015-07-13,0.9976992630420517
2015-07-14,0.16570376411789092
2015-07-15,0.26750255515866583
2015-07-16,0.7568409013996125
2015-07-17,0.8498726480212004
2015-07-20,0.963513164913281
2015-07-21,0.19672997091465236
2015-07-22,0.31066586533821716
2015-07-23,0.14186545436294318
2015-07-24,0.6663858066324722
2015-07-27,0.9336925590869114
2015-07-28,0.7111697714623381
2015-07-29,0.6992289125936991
2015-07-30,0.3602832505779336
2015-07-31,0.14177607322523772
2015-08-03,0.34219307032927293
2015-08-04,0.2519731748704158
2015-08-05,0.4005711506094979
2015-08-06,0.3940381840240823
2015-08-07,0.5999949806896723
2015-08-10,0.6110298702035164
2015-08-11,0.6485908568066353
2015-08-12,0.3332372821130426
2015-08-13,0.6279954976213215
2015-08-14,0.4616682607870379
2015-08-17,0.8544691907029691
2015-08-18,0.7504727820413425
2015-08-19,0.6765076974234694
2015-08-20,0.5878206423331638
2015-08-21,0.04287630621000523
2015-08-24,0.5922498297710321
2015-08-25,0.044002870533476304
2015-08-26,0.8731796554101929
2015-08-27,0.37012530369421154
2015-08-28,0.18907308200723952
2015-09-01,0.10738623084246063
2015-09-02,0.4143192265902872
2015-09-03,0.20615457406239282
2015-09-04,0.8983964326973831
2015-09-07,0.5636852184481302
2015-09-08,0.16210365150509545
2015-09-09,0.6326435445874911
2015-09-10,0.4252898893046131
2015-09-11,0.7608091024258047
2015-09-14,0.8640931187099052
2015-09-15,0.8620164997172199
2015-09-16,0.09492684659326482
2015-09-17,0.42604864105176377
2015-09-18,0.4731950935262745
2015-09-21,0.7830985600078836
2015-09-22,0.7475355803201371
2015-09-23,0.6053371952428559
2015-09-24,0.6803446711674154
2015-09-25,0.5935645157157078
2015-09-28,0.9696730055954569
2015-09-29,0.3673812860662716
2015-09-30,0.4676484924600726
2015-10-01,0.04785764865967138
2015-10-02,0.6604809670288424
2015-10-05,0.17767781723821213
2015-10-06,0.7159845953210482
2015-10-07,0.38524282313407826
2015-10-08,0.8024804082475473
2015-10-09,0.021102327849702587
2015-10-12,0.9055768167135505
2015-10-13,0.4002543923703053
2015-10-14,0.5028650295174966
2015-10-15,0.2564105727918089
2015-10-16,0.848758570759124
2015-10-19,0.4677236120152256
2015-10-20,0.5507580489221489
2015-10-21,0.8380571791051612
2015-10-22,0.6346920071570575
2015-10-23,0.908862550059512
2015-10-26,0.657876649021416
2015-10-27,0.11224509991003785
2015-10-28,0.9661344400824806
2015-10-29,0.2180875905039677
2015-10-30,0.5477641782172967
2015-11-02,0.6446353427039164
2015-11-03,0.4518411967061012
2015-11-04,0.7814283677837713
2015-11-05,0.9727859733105101
2015-11-06,0.2985249051603887
2015-11-09,0.3708199820302436
2015-11-10,0.5252864503912823
2015-11-11,0.8917436565419774
2015-11-12,0.28121323312225455
2015-11-13,0.391784630082395
2015-11-16,0.931577652185612
2015-11-17,0.133923365469204
2015-11-18,0.7891253083480532
2015-11-19,0.5184252294358703
2015-11-20,0.42011266018877996
2015-11-23,0.9370655123734472
2015-11-24,0.7767445847140788
2015-11-25,0.15188159398453183
2015-11-26,0.6290018611090434
2015-11-27,0.807523479222026
2015-11-30,0.3164343884152613
2015-12-01,0.16940205270316366
2015-12-02,0.034052099163194655
2015-12-03,0.1307186636279822
2015-12-04,0.6375125436947939
2015-12-07,0.10865279671448724
2015-12-08,0.7959617980129613
2015-12-09,0.2919805314335348
2015-12-10,0.3615116127195532
2015-12-11,0.7217594411809675
2015-12-14,0.7338961216940623
2015-12-15,0.19453629635929887
2015-12-16,0.024535384702108396
2015-12-17,0.3594782106862696
2015-12-18,0.2120162883348433
2015-12-21,0.7122521625526167
2015-12-22,0.6507856991478381
2015-12-23,0.3676319667862705
2015-12-24,0.25319949686303117
2015-12-29,0.43569119577768484
2015-12-30,0.8136003117433311
