,Prediction
2016-01-04,0.21386430807904896
2016-01-05,0.4259617882964085
2016-01-06,0.20185414978325247
2016-01-07,0.11276355743178816
2016-01-08,0.7401284015540178
2016-01-11,0.9257264768426029
2016-01-12,0.25737758512984765
2016-01-13,0.1579689069092909
2016-01-14,0.4405563559216245
2016-01-15,0.003990287773376039
2016-01-18,0.0018661889448184869
2016-01-19,0.00213127611694619
2016-01-20,0.07626883585392276
2016-01-21,0.12445433686198809
2016-01-22,0.12625687751534387
2016-01-25,0.7129555123308734
2016-01-26,0.07307861770697219
2016-01-27,0.24780357216023513
2016-01-28,0.5309073685330435
2016-01-29,0.1675614784632737
2016-02-01,0.1171049315462169
2016-02-02,0.04854229582233104
2016-02-03,0.010460471499430067
2016-02-04,0.13545668891627047
2016-02-05,0.5555679414300094
2016-02-08,0.13431306368721604
2016-02-09,0.6055456395285006
2016-02-10,0.9281110001249454
2016-02-11,0.4081832348727983
2016-02-12,0.5946053438542969
2016-02-15,0.0395477996966845
2016-02-16,0.27116415328715693
2016-02-17,0.04844232525391751
2016-02-18,0.007441840036636552
2016-02-19,0.004462112254416933
2016-02-22,0.28230619162009996
2016-02-23,0.23957298286142628
2016-02-24,0.201694464770196
2016-02-25,0.03180202542311347
2016-02-26,0.02115347341473979
2016-02-29,0.004352772341909015
2016-03-01,0.00876527389112459
2016-03-02,0.014801025154193395
2016-03-03,0.2560545322335623
2016-03-04,0.25046440178465396
2016-03-07,0.7556486155272956
2016-03-08,0.03678899007553488
2016-03-09,0.03747022549930627
2016-03-10,0.06420113962793428
2016-03-11,0.04233653362744884
2016-03-14,0.0027399706941725285
2016-03-15,0.004825056502760767
2016-03-16,0.08685353985231585
2016-03-17,0.16746333593935003
2016-03-18,0.014908619703871744
2016-03-21,0.038320750264530544
2016-03-22,0.24951625958809356
2016-03-23,0.12700721959204805
2016-03-24,0.010256554105164512
2016-03-29,0.01267106920332065
2016-03-30,0.05620306218563577
2016-03-31,0.0017634822787125932
2016-04-01,0.00632784966974489
2016-04-04,0.008735953696865015
2016-04-05,0.002741159534429823
2016-04-06,0.005609877960011561
2016-04-07,0.013081890401583843
2016-04-08,0.08265994446181066
2016-04-11,0.27689694785857394
2016-04-12,0.07570264361716238
2016-04-13,0.05549110354715654
2016-04-14,0.004761019920547279
2016-04-15,0.003888086458016598
2016-04-18,0.00014053190405925533
2016-04-19,0.001192510119467158
2016-04-20,0.03017688413744829
2016-04-21,0.21050354389212603
2016-04-22,0.650247793831635
2016-04-25,0.5931474791183414
2016-04-26,0.031560521635338845
2016-04-27,0.001695247408415354
2016-04-28,0.01290919718363011
2016-04-29,0.06932261310635389
2016-05-03,0.11595907468030275
2016-05-04,0.05279140024712025
2016-05-05,0.2771012193013964
2016-05-06,0.5396185884167513
2016-05-09,0.5933381306661628
2016-05-10,0.09742963276064108
2016-05-11,0.23163655650686077
2016-05-12,0.6294032777363197
2016-05-13,0.015526962828273564
2016-05-16,0.11689398694815827
2016-05-17,0.04826157522831894
2016-05-18,0.31614305473908944
2016-05-19,0.9005068691183666
2016-05-20,0.49149584438439187
2016-05-23,0.8238250902861116
2016-05-24,0.6242856667911729
2016-05-25,0.1362926466390176
2016-05-26,0.054311329051270715
2016-05-27,0.4129110817370977
2016-05-31,0.2159844634496825
2016-06-01,0.06006276528103174
2016-06-02,0.7875129229213877
2016-06-03,0.11351173835100313
2016-06-06,0.16320726632701324
2016-06-07,0.0681475763425512
2016-06-08,0.6456438941639997
2016-06-09,0.08497273370983394
2016-06-10,0.04823370889333672
2016-06-13,0.01665951366380181
2016-06-14,0.41693415315152094
2016-06-15,0.27626058279514737
2016-06-16,0.93139714213924
2016-06-17,0.2567819109116876
2016-06-20,0.2860326377738027
2016-06-21,0.11058498042558002
2016-06-22,0.01987457452326358
2016-06-23,0.09436081371602704
2016-06-24,0.3008199050933152
2016-06-27,0.747279221847895
2016-06-28,0.89818669857076
2016-06-29,0.6521360037065241
2016-06-30,0.6121378910084125
