,Prediction
2017-01-03,0.16585466882448824
2017-01-04,0.1352307582707204
2017-01-05,0.2721568533255304
2017-01-06,0.4612930357313796
2017-01-09,0.34819203947563965
2017-01-10,0.34290660050918564
2017-01-11,0.49667253411352713
2017-01-12,0.6551088918520688
2017-01-13,0.5029712095967918
2017-01-16,0.6224747471659964
2017-01-17,0.524087036433292
2017-01-18,0.6631621648724763
2017-01-19,0.6580696324036951
2017-01-20,0.5610286812505213
2017-01-23,0.5082619297604322
2017-01-24,0.47140791190028675
2017-01-25,0.48608474569426
2017-01-26,0.23847194465309757
2017-01-27,0.15849753151876525
2017-01-30,0.17470405832878258
2017-01-31,0.25598028172614584
2017-02-01,0.49625500729002087
2017-02-02,0.5279790044269461
2017-02-03,0.3549993692508813
2017-02-06,0.4123577483911609
2017-02-07,0.5126615964217501
2017-02-08,0.43873767640105454
2017-02-09,0.3644653568787878
2017-02-10,0.44847958492288065
2017-02-13,0.2953951778491635
2017-02-14,0.2503210060903771
2017-02-15,0.26390939723870127
2017-02-16,0.4199512223431599
2017-02-17,0.7622493160954099
2017-02-20,0.746156435052718
2017-02-21,0.8737304232108039
2017-02-22,0.8132683897447819
2017-02-23,0.6848832833610632
2017-02-24,0.5037037909301262
2017-02-27,0.2153266431771698
2017-02-28,0.26624669846332005
2017-03-01,0.22661081171540076
2017-03-02,0.2937019215313221
2017-03-03,0.2320739592560861
2017-03-06,0.28839145843897196
2017-03-07,0.45830219521077037
2017-03-08,0.6925031421171151
2017-03-09,0.6409816793638117
2017-03-10,0.3745363358316813
2017-03-13,0.2810597773629232
2017-03-14,0.24660284960636145
2017-03-15,0.5328422914870623
2017-03-16,0.26759255197600657
2017-03-17,0.13600238858979388
2017-03-20,0.123664097406145
2017-03-21,0.32521860677558945
2017-03-22,0.533848324635754
2017-03-23,0.6729661159227723
2017-03-24,0.5070318715469934
2017-03-27,0.440037378533706
2017-03-28,0.2936787517467414
2017-03-29,0.3865050679487306
2017-03-30,0.3127308978082153
2017-03-31,0.20013531733059747
2017-04-03,0.42565452630541295
2017-04-04,0.4473518085249781
2017-04-05,0.5398383866505642
2017-04-06,0.6269243068982941
2017-04-07,0.7171788780404379
2017-04-10,0.5736270387792949
2017-04-11,0.46290786546900864
2017-04-12,0.24608943282686763
2017-04-13,0.3739783941045917
2017-04-18,0.6069480135770541
2017-04-19,0.540828717182252
2017-04-20,0.5206175993646894
2017-04-21,0.6819544455129382
2017-04-24,0.8257518157615641
2017-04-25,0.7387459248047438
2017-04-26,0.7028510565729361
2017-04-27,0.7076416809517192
2017-04-28,0.7237140131716104
2017-05-02,0.47497785975523743
2017-05-03,0.5650578121736021
2017-05-04,0.3060361209019784
2017-05-05,0.2557031351924584
2017-05-08,0.3448834417948217
2017-05-09,0.37360190821719286
2017-05-10,0.41012978111436554
2017-05-11,0.26781115590795396
2017-05-12,0.14387586447758266
2017-05-15,0.1788498034843634
2017-05-16,0.303569331417288
2017-05-17,0.4724699116581246
2017-05-18,0.34177181329384654
2017-05-19,0.4492776942835262
2017-05-22,0.5029112921523198
2017-05-23,0.4311480971515422
2017-05-24,0.45968033455021967
2017-05-25,0.520962632572201
2017-05-26,0.5067180157118655
2017-05-30,0.5092052301754157
2017-05-31,0.3417735064298348
2017-06-01,0.5669087379722115
2017-06-02,0.5593922794350824
2017-06-05,0.5160873140177609
2017-06-06,0.5468305594236412
2017-06-07,0.3368855008784857
2017-06-08,0.48440462144794005
2017-06-09,0.44308409340936583
2017-06-12,0.5221350714052031
2017-06-13,0.4636350053571774
2017-06-14,0.705712835604784
2017-06-15,0.8364216611946622
2017-06-16,0.6134420060305036
2017-06-19,0.6568140271864693
2017-06-20,0.6739359589351394
2017-06-21,0.747247760942863
2017-06-22,0.7827170209996417
2017-06-23,0.5378048074196324
2017-06-26,0.500172057831154
2017-06-27,0.48534570809165295
2017-06-28,0.5796288044871314
2017-06-29,0.6974631600653567
