,Prediction
2015-01-02,0.11760536091718693
2015-01-05,0.22802519086364528
2015-01-06,0.2648689510157539
2015-01-07,0.3528546531405904
2015-01-08,0.22729188629254315
2015-01-09,0.150318314115807
2015-01-12,0.6101427106338755
2015-01-13,0.5089773183915555
2015-01-14,0.9069687086200944
2015-01-15,0.8414366335629716
2015-01-16,0.8985347903794985
2015-01-19,0.699384513485061
2015-01-20,0.45293896781906007
2015-01-21,0.08693037163305069
2015-01-22,0.1289858765568581
2015-01-23,0.04964229587558219
2015-01-26,0.5845156591410186
2015-01-27,0.8656376428020653
2015-01-28,0.59284770546786
2015-01-29,0.43597791678605674
2015-01-30,0.456875291495375
2015-02-02,0.36624429072244497
2015-02-03,0.3214738994739387
2015-02-04,0.23466596986815885
2015-02-05,0.08154049887696509
2015-02-06,0.1504267397136975
2015-02-09,0.41042989352190967
2015-02-10,0.3576921641814206
2015-02-11,0.226319144024734
2015-02-12,0.2477573840719381
2015-02-13,0.16698306833825544
2015-02-16,0.4634931614529705
2015-02-17,0.13119856367426996
2015-02-18,0.055334315031734145
2015-02-19,0.39871008763091936
2015-02-20,0.60190017650568
2015-02-23,0.8042155767513285
2015-02-24,0.9437291861280305
2015-02-25,0.6979779806540605
2015-02-26,0.7653762185233621
2015-02-27,0.8672159678918671
2015-03-02,0.8129004789325212
2015-03-03,0.2729250655838281
2015-03-04,0.8740390628232586
2015-03-05,0.4419468044279109
2015-03-06,0.4686400004667038
2015-03-09,0.3423205836884305
2015-03-10,0.2546590735230753
2015-03-11,0.15827453521411125
2015-03-12,0.41839894732896926
2015-03-13,0.21884901763387457
2015-03-16,0.6432364228162644
2015-03-17,0.8699442719108105
2015-03-18,0.4650436304724513
2015-03-19,0.1595567864710144
2015-03-20,0.03711578746464621
2015-03-23,0.5653938011021628
2015-03-24,0.24416214887559085
2015-03-25,0.22624223540554572
2015-03-26,0.7495089477779515
2015-03-27,0.6704559889477206
2015-03-30,0.9195371719827876
2015-03-31,0.6712391963631641
2015-04-01,0.06199135942414913
2015-04-02,0.26700026826296963
2015-04-07,0.46891486907289887
2015-04-08,0.02031277364559676
2015-04-09,0.24585731185494084
2015-04-10,0.23910595227487633
2015-04-13,0.31740648413837896
2015-04-14,0.3170193863476452
2015-04-15,0.5310713209911018
2015-04-16,0.14413920964595076
2015-04-17,0.11832534626350079
2015-04-20,0.3064764421329912
2015-04-21,0.07285612478115308
2015-04-22,0.4950585094779309
2015-04-23,0.1135879075745634
2015-04-24,0.6143986527324089
2015-04-27,0.42678402448699715
2015-04-28,0.20038497499762645
2015-04-29,0.7093466915925447
2015-04-30,0.23156406045891995
2015-05-01,0.19702528586236961
2015-05-05,0.07621032770154536
2015-05-06,0.217245011731918
2015-05-07,0.48783645221528643
2015-05-08,0.10976544013351992
2015-05-11,0.08112206659818659
2015-05-12,0.31870897154566663
2015-05-13,0.5964352077747854
2015-05-14,0.8229422522988752
2015-05-15,0.42299809460101756
2015-05-18,0.6304139356154518
2015-05-19,0.3053184975827737
2015-05-20,0.9143849187570371
2015-05-21,0.6346217195863142
2015-05-22,0.18698095321086572
2015-05-26,0.15103584867326064
2015-05-27,0.7554384535778933
2015-05-28,0.9111044495085964
2015-05-29,0.8340805022912349
2015-06-01,0.7112953065295146
2015-06-02,0.990467082665467
2015-06-03,0.6254707536347732
2015-06-04,0.07516637430122251
2015-06-05,0.2601984445615427
2015-06-08,0.051709218233716187
2015-06-09,0.09766733963065741
2015-06-10,0.10984519379513889
2015-06-11,0.39717501787189985
2015-06-12,0.19121261391014613
2015-06-15,0.17338985613465652
2015-06-16,0.49283969011527784
2015-06-17,0.6284809996735704
2015-06-18,0.8018855980533528
2015-06-19,0.9357912779060378
2015-06-22,0.9534256570050264
2015-06-23,0.6184015378989884
2015-06-24,0.3891850966573968
2015-06-25,0.2885921100271794
2015-06-26,0.0643727101823079
2015-06-29,0.34486626548164845
2015-06-30,0.5911992856771806
