,Prediction
2016-07-01,0.9392517217229925
2016-07-04,0.39297006423890424
2016-07-05,0.5602938459227657
2016-07-06,0.09518159001312212
2016-07-07,0.941858756924031
2016-07-08,0.13919889796899051
2016-07-11,0.3757110818201686
2016-07-12,0.47042260550591586
2016-07-13,0.232048603770439
2016-07-14,0.3386981554674166
2016-07-15,0.5742938972480819
2016-07-18,0.7147546654441819
2016-07-19,0.5111739432311694
2016-07-20,0.6496808407117229
2016-07-21,0.5076487843896162
2016-07-22,0.8438155913376051
2016-07-25,0.6837898672360714
2016-07-26,0.3831759936318501
2016-07-27,0.38412124910856205
2016-07-28,0.8346396792862036
2016-07-29,0.4046922717529176
2016-08-01,0.4305560825031093
2016-08-02,0.8048788271395599
2016-08-03,0.3956252730237705
2016-08-04,0.7160083965464272
2016-08-05,0.7666565965550268
2016-08-08,0.37550407246815143
2016-08-09,0.5078663545387418
2016-08-10,0.5726131152099674
2016-08-11,0.46106551588171346
2016-08-12,0.2656193534642661
2016-08-15,0.4914249325945718
2016-08-16,0.2443167559628301
2016-08-17,0.736654353734206
2016-08-18,0.44575348045861335
2016-08-19,0.582711983567686
2016-08-22,0.405285683516149
2016-08-23,0.7604089947440539
2016-08-24,0.5862508190286834
2016-08-25,0.783355696609123
2016-08-26,0.7281481148476964
2016-08-30,0.5359793825556738
2016-08-31,0.45694562641179304
2016-09-01,0.2786059346966104
2016-09-02,0.6674384105612378
2016-09-05,0.5093009938586678
2016-09-06,0.42413910614313804
2016-09-07,0.6195161819122005
2016-09-08,0.18495914529861915
2016-09-09,0.5054285283525515
2016-09-12,0.4795877230927174
2016-09-13,0.6449260948450541
2016-09-14,0.5384171313205218
2016-09-15,0.3155228634640238
2016-09-16,0.36962391304538766
2016-09-19,0.22669321877201462
2016-09-20,0.6906592465554927
2016-09-21,0.5992574812997403
2016-09-22,0.6277874317547839
2016-09-23,0.6957434951949925
2016-09-26,0.17417101940093016
2016-09-27,0.4851620078583936
2016-09-28,0.5568036741553164
2016-09-29,0.5066061567599885
2016-09-30,0.18867259642201575
2016-10-03,0.5430511787841144
2016-10-04,0.6267323820728083
2016-10-05,0.5026570504800579
2016-10-06,0.6123741343021585
2016-10-07,0.3915169183495651
2016-10-10,0.30794674448979187
2016-10-11,0.4290348567447674
2016-10-12,0.6300901335377519
2016-10-13,0.4373407208567339
2016-10-14,0.79389448295154
2016-10-17,0.7691987323484757
2016-10-18,0.49093038395071453
2016-10-19,0.49560274731389564
2016-10-20,0.7361211734290436
2016-10-21,0.4949173891690707
2016-10-24,0.7095150728100417
2016-10-25,0.2804315352500758
2016-10-26,0.5718267040712115
2016-10-27,0.7145846159487798
2016-10-28,0.30624638879352206
2016-10-31,0.7335493163171924
2016-11-01,0.8840292172746034
2016-11-02,0.8191270470086783
2016-11-03,0.23961724499135625
2016-11-04,0.22250938438727066
2016-11-07,0.6279435977575183
2016-11-08,0.39697581181724195
2016-11-09,0.449407170634751
2016-11-10,0.8975354250667409
2016-11-11,0.8766842651176266
2016-11-14,0.7890214469595772
2016-11-15,0.2401329206883483
2016-11-16,0.8846996647831147
2016-11-17,0.6305543232609297
2016-11-18,0.3846001193249032
2016-11-21,0.8161892348018047
2016-11-22,0.7034738524188776
2016-11-23,0.7819157530919997
2016-11-24,0.8650698910621125
2016-11-25,0.8309912637963175
2016-11-28,0.8247962024221716
2016-11-29,0.849214693302017
2016-11-30,0.12339556687887851
2016-12-01,0.274222579562404
2016-12-02,0.4181154505176829
2016-12-05,0.7576971781364139
2016-12-06,0.5900162281962024
2016-12-07,0.688649084372406
2016-12-08,0.6830295564343918
2016-12-09,0.557547870371937
2016-12-12,0.6564265289508697
2016-12-13,0.39668115924522485
2016-12-14,0.7548938342687247
2016-12-15,0.21993585473707336
2016-12-16,0.7209788163001516
2016-12-19,0.6062724379707266
2016-12-20,0.666656293683127
2016-12-21,0.5001242047388498
2016-12-22,0.41400329363903754
2016-12-23,0.6539018044418161
2016-12-28,0.6165824893026396
2016-12-29,0.3656544847904804
