,Prediction
2018-01-02,0.5225267021930063
2018-01-03,0.9718996244698329
2018-01-04,0.8234214476405026
2018-01-05,0.06058964250068762
2018-01-08,0.17411852977374556
2018-01-09,0.07584566707218134
2018-01-10,0.7131956601654831
2018-01-11,0.07402482299082536
2018-01-12,0.019106245802494072
2018-01-15,0.0484916370094833
2018-01-16,0.23455703237960795
2018-01-17,0.2901773430617737
2018-01-18,0.8466735526154373
2018-01-19,0.7982982968177247
2018-01-22,0.9353477081512076
2018-01-23,0.7503054932117856
2018-01-24,0.5179332808493337
2018-01-25,0.019777785367562247
2018-01-26,0.4960617993745991
2018-01-29,0.45554461457436796
2018-01-30,0.4717752991874277
2018-01-31,0.5829181134928966
2018-02-01,0.38159834077476007
2018-02-02,0.06452673724279753
2018-02-05,0.19532115795081562
2018-02-06,0.1159451098754433
2018-02-07,0.1057415785031179
2018-02-08,0.30672685708365083
2018-02-09,0.7712376155274209
2018-02-12,0.05404337182283712
2018-02-13,0.05291564060232268
2018-02-14,0.49296021402648954
2018-02-15,0.3627093823806869
2018-02-16,0.11799942020717982
2018-02-19,0.17951045938331375
2018-02-20,0.21415008072380928
2018-02-21,0.6819504156965944
2018-02-22,0.667188740649929
2018-02-23,0.5270775257926333
2018-02-26,0.1764682800470767
2018-02-27,0.03061476098294888
2018-02-28,0.058054512569139634
2018-03-01,0.0395389987464128
2018-03-02,0.05123652015349537
2018-03-05,0.022998377019295305
2018-03-06,0.2076705663118288
2018-03-07,0.5268358635676543
2018-03-08,0.9651816840934612
2018-03-09,0.7661742688066633
2018-03-12,0.45922345060272446
2018-03-13,0.04238951721331938
2018-03-14,0.09886665315191376
2018-03-15,0.8114377616219263
2018-03-16,0.6922798788190445
2018-03-19,0.9506717361728263
2018-03-20,0.6935425878236722
2018-03-21,0.761301129834996
2018-03-22,0.5950147327590041
2018-03-23,0.20108431173125105
2018-03-26,0.4055738403597506
2018-03-27,0.4494629843731802
2018-03-28,0.6548717025273596
2018-03-29,0.3954909248691124
2018-04-03,0.279806152272444
2018-04-04,0.12494903131350348
2018-04-05,0.12504238656984373
2018-04-06,0.09815717656940226
2018-04-09,0.1995504776884974
2018-04-10,0.017734984773984483
2018-04-11,0.03024071876511445
2018-04-12,0.05511810254730424
2018-04-13,0.10127927746682393
2018-04-16,0.23521377360761278
2018-04-17,0.3942596042539457
2018-04-18,0.6519244776831581
2018-04-19,0.4805386451332187
2018-04-20,0.745445019383363
2018-04-23,0.7213798689701805
2018-04-24,0.9867467662460045
2018-04-25,0.27267033269160434
2018-04-26,0.46894818671050714
2018-04-27,0.09642876512106371
2018-04-30,0.3723783015043821
2018-05-01,0.2784150508807991
2018-05-02,0.04759548718226281
2018-05-03,0.023597123575184065
2018-05-04,0.8715248107853169
2018-05-08,0.3459368009848352
2018-05-09,0.3414330050275547
2018-05-10,0.037464847441369575
2018-05-11,0.5465667361169877
2018-05-14,0.06336894873475088
2018-05-15,0.6858049647805005
2018-05-16,0.9151070161037195
2018-05-17,0.9561008095259983
2018-05-18,0.16987587659253522
2018-05-21,0.6291642715176143
2018-05-22,0.006243322183571681
2018-05-23,0.5413891007209155
2018-05-24,0.2589763144761292
2018-05-25,0.2963276314070623
2018-05-29,0.44799187577757177
2018-05-30,0.6747877836512299
2018-05-31,0.8283851224261485
2018-06-01,0.5854911937958128
2018-06-04,0.38883285296597
2018-06-05,0.1846367839631572
2018-06-06,0.4505269009659078
2018-06-07,0.1103854623091435
2018-06-08,0.765122285270343
2018-06-11,0.8139550247991215
2018-06-12,0.8913875510320001
2018-06-13,0.726831673819828
2018-06-14,0.7624652739612108
2018-06-15,0.42620824867440144
2018-06-18,0.7088593158417543
2018-06-19,0.054369374674047205
2018-06-20,0.13114103424275286
2018-06-21,0.2421188827138465
2018-06-22,0.16539250258038474
2018-06-25,0.12894779451059588
2018-06-26,0.49306203813754995
2018-06-27,0.2625537118402001
2018-06-28,0.834556218541982
