,Prediction
2016-01-04,0.12766411604019445
2016-01-05,0.33318403073043645
2016-01-06,0.0703308463243204
2016-01-07,0.9164472395216983
2016-01-08,0.4118278665936239
2016-01-11,0.42069606051825037
2016-01-12,0.17098883037690257
2016-01-13,0.4271936714503969
2016-01-14,0.2927014937052675
2016-01-15,0.35458224675332023
2016-01-18,0.22345267115064799
2016-01-19,0.22202498906942125
2016-01-20,0.4360475690345809
2016-01-21,0.0856027350662034
2016-01-22,0.3717952883946916
2016-01-25,0.20486883679520243
2016-01-26,0.09097326115501571
2016-01-27,0.49942906600259035
2016-01-28,0.4062360038906539
2016-01-29,0.13948432867540772
2016-02-01,0.4111850936132499
2016-02-02,0.5703124787210245
2016-02-03,0.21455725869045328
2016-02-04,0.5031683920280275
2016-02-05,0.7561326512687797
2016-02-08,0.6824144043318219
2016-02-09,0.4444109894852081
2016-02-10,0.2330720190386747
2016-02-11,0.8287782913038492
2016-02-12,0.9124543255499354
2016-02-15,0.7298439048108256
2016-02-16,0.08272909305490407
2016-02-17,0.26857070260737015
2016-02-18,0.3897606031537336
2016-02-19,0.05736503694291037
2016-02-22,0.23820768319121174
2016-02-23,0.0793755160265003
2016-02-24,0.23163882027240065
2016-02-25,0.6514081384272187
2016-02-26,0.32241443949447796
2016-02-29,0.16813388880378624
2016-03-01,0.5500747275210125
2016-03-02,0.03939888196351344
2016-03-03,0.0608920908235345
2016-03-04,0.43920857241438843
2016-03-07,0.18298879787417052
2016-03-08,0.5323032944417962
2016-03-09,0.3016512752712994
2016-03-10,0.6418976525116351
2016-03-11,0.4848686044133808
2016-03-14,0.12173120766663019
2016-03-15,0.3980848514858315
2016-03-16,0.08391359275603949
2016-03-17,0.20346703048715664
2016-03-18,0.5495153523979107
2016-03-21,0.3807593169054005
2016-03-22,0.1965485754684506
2016-03-23,0.413441287947385
2016-03-24,0.21239002661134498
2016-03-29,0.5707165533304156
2016-03-30,0.2136718929839531
2016-03-31,0.12913398158155007
2016-04-01,0.19414671338100578
2016-04-04,0.8602100142917034
2016-04-05,0.4556583134747641
2016-04-06,0.025699068518447093
2016-04-07,0.7999837949654305
2016-04-08,0.2853189058163791
2016-04-11,0.2398573130964967
2016-04-12,0.27333959339650066
2016-04-13,0.01958714277841127
2016-04-14,0.08716007426773494
2016-04-15,0.5167541965320074
2016-04-18,0.05125049523739077
2016-04-19,0.2605138376670633
2016-04-20,0.13877911665142914
2016-04-21,0.4701439028966627
2016-04-22,0.3877260127723789
2016-04-25,0.5838569339766427
2016-04-26,0.8027658634022624
2016-04-27,0.10524287177508947
2016-04-28,0.35232529375425403
2016-04-29,0.4708253295974961
2016-05-03,0.07976220207247961
2016-05-04,0.3789372827732593
2016-05-05,0.23482174372444592
2016-05-06,0.8281476528496238
2016-05-09,0.0849015635563339
2016-05-10,0.10576288178973658
2016-05-11,0.3210191275116346
2016-05-12,0.22758350216377143
2016-05-13,0.5990164232016705
2016-05-16,0.7689422014549879
2016-05-17,0.24961084967990482
2016-05-18,0.3323301347761141
2016-05-19,0.4113865254514444
2016-05-20,0.6804058624433049
2016-05-23,0.6502318720219998
2016-05-24,0.6238231881360029
2016-05-25,0.22668063016663767
2016-05-26,0.21723803118959104
2016-05-27,0.21854039024341468
2016-05-31,0.23744420000114427
2016-06-01,0.7937004220448274
2016-06-02,0.4038206697831959
2016-06-03,0.3616004772678329
2016-06-06,0.2667195277075004
2016-06-07,0.4145963991202256
2016-06-08,0.005731497747997778
2016-06-09,0.811838841486372
2016-06-10,0.252112176712541
2016-06-13,0.06235700731324186
2016-06-14,0.6174495776711247
2016-06-15,0.08423868680857036
2016-06-16,0.09724819749475032
2016-06-17,0.11609384888347168
2016-06-20,0.49441870338531785
2016-06-21,0.04315534559290775
2016-06-22,0.40253926593350914
2016-06-23,0.22051960128608192
2016-06-24,0.8118053411514812
2016-06-27,0.46929260567008807
2016-06-28,0.01909829015885118
2016-06-29,0.27088745463487374
2016-06-30,0.5241015259650998
