,C,ground_truth,2014-07-01,2015-01-01,2015-07-01,2016-01-01,2016-07-01,2017-01-01,2017-07-01,2018-01-01,2018-07-01
0,10000.0,LMCADY,0.6356589147286822,0.6370967741935484,0.43410852713178294,0.672,0.4765625,0.576,0.5905511811023622,0.92,0.484375
1,10000.0,LMAHDY,0.15503875968992248,0.5725806451612904,0.8682170542635659,0.608,0.03125,0.616,0.4251968503937008,0.536,0.4296875
2,10000.0,LMNIDY,0.05426356589147287,0.7741935483870968,0.20930232558139536,0.872,0.7265625,0.704,0.4409448818897638,0.416,0.484375
3,10000.0,LMSNDY,0.9612403100775194,0.8225806451612904,0.5193798449612403,0.168,0.640625,0.432,0.5118110236220472,0.832,0.3515625
4,10000.0,LMZSDY,0.8992248062015504,0.6048387096774194,0.5581395348837209,0.0,0.0546875,0.496,0.6377952755905512,0.288,0.5546875
5,10000.0,LMPBDY,0.5658914728682171,0.8064516129032258,0.6744186046511628,0.368,0.3984375,0.752,0.7244094488188977,0.384,0.28125
