Negative Prob,Positive Prob,Prob Diff,Pred,TrueVal
0.43894622226804103,0.561053777731959,0.12210755546391794,1.0,1.0
0.7247128992007712,0.2752871007992288,0.4494257984015424,-1.0,1.0
0.5624805921981393,0.4375194078018607,0.12496118439627857,-1.0,1.0
0.4818385199959193,0.5181614800040807,0.036322960008161376,1.0,1.0
0.541100117558948,0.4588998824410519,0.08220023511789615,-1.0,1.0
0.33695030093637335,0.6630496990636267,0.3260993981272533,1.0,1.0
0.6237292202201511,0.3762707797798489,0.24745844044030219,-1.0,-1.0
0.30240357937341567,0.6975964206265843,0.39519284125316867,1.0,-1.0
0.8732090407468507,0.12679095925314926,0.7464180814937014,-1.0,-1.0
0.4212707521309804,0.5787292478690196,0.15745849573803916,1.0,1.0
0.8594381536207042,0.14056184637929578,0.7188763072414084,-1.0,1.0
0.6571952718863847,0.34280472811361534,0.31439054377276937,-1.0,1.0
0.30745171928851756,0.6925482807114824,0.3850965614229649,1.0,1.0
0.7603509856645992,0.23964901433540078,0.5207019713291985,-1.0,1.0
0.376648226392995,0.623351773607005,0.24670354721401,1.0,-1.0
0.10312319310670726,0.8968768068932927,0.7937536137865855,1.0,-1.0
0.04243063181195039,0.9575693681880496,0.9151387363760992,1.0,-1.0
0.3187793705341869,0.6812206294658131,0.36244125893162615,1.0,-1.0
0.04984482001213075,0.9501551799878692,0.9003103599757385,1.0,1.0
0.7250591264583961,0.27494087354160396,0.45011825291679214,-1.0,1.0
0.10653028886333116,0.8934697111366688,0.7869394222733377,1.0,1.0
0.037092128980212635,0.9629078710197874,0.9258157420395747,1.0,1.0
0.862033709862634,0.13796629013736608,0.7240674197252679,-1.0,1.0
0.23000520369486688,0.7699947963051331,0.5399895926102662,1.0,-1.0
0.9250575357724258,0.07494246422757421,0.8501150715448516,-1.0,1.0
0.4415976931080331,0.5584023068919669,0.11680461378393381,1.0,-1.0
0.10998420058157254,0.8900157994184275,0.7800315988368549,1.0,1.0
0.34711574031540837,0.6528842596845916,0.30576851936918326,1.0,1.0
0.46597062287362134,0.5340293771263787,0.06805875425275731,1.0,1.0
0.4129249989960314,0.5870750010039686,0.17415000200793718,1.0,1.0
0.6186729878513088,0.38132701214869125,0.2373459757026175,-1.0,-1.0
0.20495465246225442,0.7950453475377456,0.5900906950754912,1.0,-1.0
0.010213770177911252,0.9897862298220887,0.9795724596441775,1.0,-1.0
0.8004829761716474,0.19951702382835254,0.6009659523432949,-1.0,-1.0
0.7088632918410005,0.29113670815899956,0.41772658368200094,-1.0,1.0
0.9032250052399183,0.09677499476008171,0.8064500104798367,-1.0,-1.0
0.06488207768882281,0.9351179223111772,0.8702358446223544,1.0,-1.0
0.09381852264047918,0.9061814773595208,0.8123629547190416,1.0,-1.0
0.2505597054603612,0.7494402945396388,0.49888058907927757,1.0,1.0
0.1840097513224841,0.8159902486775159,0.6319804973550318,1.0,1.0
0.8618750524899513,0.13812494751004867,0.7237501049799027,-1.0,1.0
0.5579050145368479,0.44209498546315207,0.11581002907369586,-1.0,1.0
0.9357419467620203,0.0642580532379797,0.8714838935240405,-1.0,1.0
0.8634702153457219,0.13652978465427817,0.7269404306914438,-1.0,1.0
0.18687617167539405,0.813123828324606,0.6262476566492119,1.0,1.0
0.021382869551900163,0.9786171304480998,0.9572342608961997,1.0,1.0
0.057360263066888795,0.9426397369331112,0.8852794738662224,1.0,1.0
0.3576179226812284,0.6423820773187716,0.28476415463754323,1.0,1.0
0.12671713848789934,0.8732828615121007,0.7465657230242013,1.0,1.0
0.07016340500452978,0.9298365949954702,0.8596731899909404,1.0,-1.0
0.8064000090350432,0.19359999096495684,0.6128000180700863,-1.0,-1.0
0.9123368226233892,0.08766317737661083,0.8246736452467784,-1.0,1.0
0.7374500051640236,0.26254999483597635,0.47490001032804724,-1.0,1.0
0.10993041170608053,0.8900695882939195,0.7801391765878389,1.0,1.0
0.06832228552005903,0.931677714479941,0.8633554289598819,1.0,1.0
0.43098292588162523,0.5690170741183748,0.13803414823674953,1.0,1.0
0.6569425660038035,0.3430574339961964,0.3138851320076071,-1.0,1.0
0.5046701418052798,0.4953298581947202,0.009340283610559608,-1.0,1.0
0.9590909128384036,0.04090908716159633,0.9181818256768073,-1.0,1.0
0.9570879007068648,0.04291209929313524,0.9141758014137296,-1.0,1.0
0.7021318167965089,0.29786818320349107,0.40426363359301787,-1.0,-1.0
0.7321763987435463,0.2678236012564537,0.46435279748709263,-1.0,1.0
0.9353248235210782,0.06467517647892188,0.8706496470421563,-1.0,1.0
0.5948409637238042,0.40515903627619576,0.18968192744760848,-1.0,1.0
0.5171915648579819,0.4828084351420181,0.0343831297159638,-1.0,1.0
0.37269927812450887,0.6273007218754911,0.25460144375098226,1.0,1.0
0.26290523320041503,0.737094766799585,0.47418953359916993,1.0,1.0
0.45057265698092364,0.5494273430190764,0.09885468603815273,1.0,1.0
0.6630447633058647,0.33695523669413535,0.32608952661172935,-1.0,-1.0
0.5342512568917566,0.4657487431082434,0.06850251378351319,-1.0,-1.0
0.48545693268762524,0.5145430673123748,0.029086134624749516,1.0,-1.0
0.21394039018614108,0.7860596098138589,0.5721192196277178,1.0,-1.0
0.1566487237677665,0.8433512762322335,0.686702552464467,1.0,-1.0
0.2680488852875964,0.7319511147124036,0.4639022294248072,1.0,1.0
0.22495926404866884,0.7750407359513312,0.5500814719026623,1.0,1.0
0.21165651008621877,0.7883434899137812,0.5766869798275625,1.0,1.0
0.11595752377588109,0.8840424762241189,0.7680849524482378,1.0,1.0
