Train Start,Val Start,Test Start,C,Lag,Volume,Spread,Exchange,Validation,Training,Testing,
2010-01-04,2015-01-02,2015-07-01,1e-05,10,v1,v1,v1,0.5,0.5699440447641887,
2010-01-04,2015-01-02,2015-07-01,0.0001,10,v1,v1,v1,0.5645161290322581,0.6458832933653078,
2010-01-04,2015-01-02,2015-07-01,0.001,10,v1,v1,v1,0.532258064516129,0.7362110311750599,
2010-01-04,2015-01-02,2015-07-01,0.01,10,v1,v1,v1,0.5483870967741935,0.8433253397282174,
2009-07-02,2014-07-01,2014-12-31,1e-05,10,v1,v1,v1,0.421875,0.5208,
2009-07-02,2014-07-01,2014-12-31,0.0001,10,v1,v1,v1,0.453125,0.62,
2009-07-02,2014-07-01,2014-12-31,0.001,10,v1,v1,v1,0.4375,0.7288,
2009-07-02,2014-07-01,2014-12-31,0.01,10,v1,v1,v1,0.4609375,0.8456,
2011-07-04,2016-07-01,2016-12-30,1e-05,10,v2,v1,v1,0.5354330708661418,0.5287539936102237,
2011-07-04,2016-07-01,2016-12-30,0.0001,10,v2,v1,v1,0.5748031496062992,0.6174121405750799,
2011-07-04,2016-07-01,2016-12-30,0.001,10,v2,v1,v1,0.5354330708661418,0.7539936102236422,
2011-07-04,2016-07-01,2016-12-30,0.01,10,v2,v1,v1,0.5669291338582677,0.8298722044728435,
2011-01-04,2016-01-04,2016-07-01,1e-05,10,v2,v1,v1,0.464,0.5323741007194245,
2011-01-04,2016-01-04,2016-07-01,0.0001,10,v2,v1,v1,0.4,0.6027178257394085,
2011-01-04,2016-01-04,2016-07-01,0.001,10,v2,v1,v1,0.528,0.7458033573141487,
2011-01-04,2016-01-04,2016-07-01,0.01,10,v2,v1,v1,0.504,0.841726618705036,
2010-07-02,2015-07-01,2015-12-31,1e-05,10,v2,v1,v1,0.546875,0.5936,
2010-07-02,2015-07-01,2015-12-31,0.0001,10,v2,v1,v1,0.4765625,0.656,
2010-07-02,2015-07-01,2015-12-31,0.001,10,v2,v1,v1,0.4921875,0.7296,
2010-07-02,2015-07-01,2015-12-31,0.01,10,v2,v1,v1,0.5,0.8408,
2010-01-04,2015-01-02,2015-07-01,1e-05,10,v2,v1,v1,0.5080645161290323,0.5667466027178257,
2010-01-04,2015-01-02,2015-07-01,0.0001,10,v2,v1,v1,0.532258064516129,0.6386890487609912,
2010-01-04,2015-01-02,2015-07-01,0.001,10,v2,v1,v1,0.5645161290322581,0.7266187050359713,
2010-01-04,2015-01-02,2015-07-01,0.01,10,v2,v1,v1,0.5241935483870968,0.82414068745004,
2009-07-02,2014-07-01,2014-12-31,1e-05,10,v2,v1,v1,0.421875,0.5192,
2009-07-02,2014-07-01,2014-12-31,0.0001,10,v2,v1,v1,0.4296875,0.612,
2009-07-02,2014-07-01,2014-12-31,0.001,10,v2,v1,v1,0.4375,0.732,
2009-07-02,2014-07-01,2014-12-31,0.01,10,v2,v1,v1,0.40625,0.8288,
2011-07-04,2016-07-01,2016-12-30,1e-05,20,v1,v1,v1,0.5354330708661418,0.5297906602254429,
2011-07-04,2016-07-01,2016-12-30,0.0001,20,v1,v1,v1,0.5905511811023622,0.6859903381642513,
2011-07-04,2016-07-01,2016-12-30,0.001,20,v1,v1,v1,0.6377952755905512,0.8341384863123994,
2011-07-04,2016-07-01,2016-12-30,0.01,20,v1,v1,v1,0.6299212598425197,0.966183574879227,
2011-01-04,2016-01-04,2016-07-01,1e-05,20,v1,v1,v1,0.464,0.5350523771152297,
2011-01-04,2016-01-04,2016-07-01,0.0001,20,v1,v1,v1,0.432,0.6712328767123288,
2011-01-04,2016-01-04,2016-07-01,0.001,20,v1,v1,v1,0.448,0.8404512489927478,
2011-01-04,2016-01-04,2016-07-01,0.01,20,v1,v1,v1,0.48,0.9701853344077357,
2010-07-02,2015-07-01,2015-12-31,1e-05,20,v1,v1,v1,0.578125,0.5951612903225807,
2010-07-02,2015-07-01,2015-12-31,0.0001,20,v1,v1,v1,0.4296875,0.7241935483870968,
