,rsi_window,rsi_upper,rsi_lower,rsi_train_acc,rsi_train_cov,rsi_cov
304,43,80,20,0,0,0
49,43,80,30,0,0,0
113,43,80,30,0,0,0
177,43,80,30,0,0,0
241,43,80,30,0,0,0
305,43,80,30,0,0,0
50,43,90,20,0,0,0
114,43,90,20,0,0,0
178,43,90,20,0,0,0
242,43,90,20,0,0,0
306,43,90,20,0,0,0
51,43,90,30,0,0,0
115,43,90,30,0,0,0
179,43,90,30,0,0,0
243,43,90,30,0,0,0
307,43,90,30,0,0,0
52,45,80,20,0,0,0
116,45,80,20,0,0,0
180,45,80,20,0,0,0
244,45,80,20,0,0,0
308,45,80,20,0,0,0
53,45,80,30,0,0,0
117,45,80,30,0,0,0
181,45,80,30,0,0,0
245,45,80,30,0,0,0
309,45,80,30,0,0,0
54,45,90,20,0,0,0
118,45,90,20,0,0,0
182,45,90,20,0,0,0
246,45,90,20,0,0,0
310,45,90,20,0,0,0
55,45,90,30,0,0,0
119,45,90,30,0,0,0
183,45,90,30,0,0,0
247,45,90,30,0,0,0
311,45,90,30,0,0,0
56,47,80,20,0,0,0
120,47,80,20,0,0,0
184,47,80,20,0,0,0
248,47,80,20,0,0,0
312,47,80,20,0,0,0
57,47,80,30,0,0,0
121,47,80,30,0,0,0
185,47,80,30,0,0,0
249,47,80,30,0,0,0
313,47,80,30,0,0,0
58,47,90,20,0,0,0
122,47,90,20,0,0,0
186,47,90,20,0,0,0
250,47,90,20,0,0,0
314,47,90,20,0,0,0
59,47,90,30,0,0,0
123,47,90,30,0,0,0
187,47,90,30,0,0,0
251,47,90,30,0,0,0
315,47,90,30,0,0,0
60,49,80,20,0,0,0
124,49,80,20,0,0,0
188,49,80,20,0,0,0
252,49,80,20,0,0,0
316,49,80,20,0,0,0
61,49,80,30,0,0,0
125,49,80,30,0,0,0
189,49,80,30,0,0,0
253,49,80,30,0,0,0
317,49,80,30,0,0,0
62,49,90,20,0,0,0
126,49,90,20,0,0,0
190,49,90,20,0,0,0
254,49,90,20,0,0,0
318,49,90,20,0,0,0
63,49,90,30,0,0,0
127,49,90,30,0,0,0
191,49,90,30,0,0,0
255,49,90,30,0,0,0
319,49,90,30,0,0,0
