C,Lag,Volume,Spread,Exchange,Validation,Training,Testing,
1e-05,5,v1,v1,v1,0.5068493150684932,0.5289128758673862,
1e-05,5,v2,v1,v1,0.5068493150684932,0.5289128758673862,
0.0001,5,v1,v1,v1,0.4726027397260274,0.5643793369313801,
0.0001,5,v2,v1,v1,0.5136986301369864,0.5620663068619892,
0.001,5,v1,v1,v1,0.4589041095890411,0.6761757902852737,
0.001,5,v2,v1,v1,0.4520547945205479,0.6638396299151889,
0.01,5,v1,v1,v1,0.4794520547945205,0.7447956823438705,
0.01,5,v2,v1,v1,0.4794520547945205,0.7340015420200463,
1e-05,10,v1,v1,v1,0.5068493150684932,0.5270897832817337,
1e-05,10,v2,v1,v1,0.5068493150684932,0.5270897832817337,
0.0001,10,v1,v1,v1,0.4657534246575342,0.6099071207430341,
0.0001,10,v2,v1,v1,0.4657534246575342,0.6091331269349846,
0.001,10,v1,v1,v1,0.5342465753424658,0.7476780185758514,
0.001,10,v2,v1,v1,0.4931506849315068,0.7337461300309598,
0.01,10,v1,v1,v1,0.5547945205479452,0.8506191950464397,
0.01,10,v2,v1,v1,0.5205479452054794,0.8382352941176471,
1e-05,20,v1,v1,v1,0.5068493150684932,0.5304212168486739,
1e-05,20,v2,v1,v1,0.5068493150684932,0.5296411856474259,
0.0001,20,v1,v1,v1,0.5273972602739726,0.6903276131045242,
0.0001,20,v2,v1,v1,0.5068493150684932,0.6895475819032761,
0.001,20,v1,v1,v1,0.5205479452054794,0.8330733229329174,
0.001,20,v2,v1,v1,0.4863013698630137,0.8338533541341654,
0.01,20,v1,v1,v1,0.4931506849315068,0.9695787831513261,
0.01,20,v2,v1,v1,0.5068493150684932,0.9625585023400937,
1e-05,30,v1,v1,v1,0.5068493150684932,0.5361635220125787,
1e-05,30,v2,v1,v1,0.5068493150684932,0.535377358490566,
0.0001,30,v1,v1,v1,0.5684931506849316,0.7240566037735849,
0.0001,30,v2,v1,v1,0.6027397260273972,0.7216981132075472,
0.001,30,v1,v1,v1,0.5958904109589042,0.8977987421383647,
0.001,30,v2,v1,v1,0.589041095890411,0.8883647798742138,
0.01,30,v1,v1,v1,0.5616438356164384,0.9976415094339622,
0.01,30,v2,v1,v1,0.589041095890411,0.9968553459119497,
