C,Lag,Volume,Spread,Exchange,Validation,Training,Testing,
1e-05,5,v1,v1,v1,0.5213675213675214,0.5332428765264586,
0.0001,5,v1,v1,v1,0.39316239316239315,0.6458616010854816,
0.001,5,v1,v1,v1,0.4017094017094017,0.6845318860244234,
0.01,5,v1,v1,v1,0.37606837606837606,0.7252374491180461,
1e-05,5,v2,v1,v1,0.5726495726495726,0.519674355495251,
0.0001,5,v2,v1,v1,0.5042735042735043,0.5976933514246947,
0.001,5,v2,v1,v1,0.4700854700854701,0.6350067842605156,
0.01,5,v2,v1,v1,0.452991452991453,0.7014925373134329,
1e-05,10,v1,v1,v1,0.5299145299145299,0.6028513238289206,
0.0001,10,v1,v1,v1,0.42735042735042733,0.6802443991853361,
0.001,10,v1,v1,v1,0.37606837606837606,0.7427019687712152,
0.01,10,v1,v1,v1,0.452991452991453,0.8323150033944331,
1e-05,10,v2,v1,v1,0.5811965811965812,0.5634758995247794,
0.0001,10,v2,v1,v1,0.5384615384615384,0.6544467073998642,
0.001,10,v2,v1,v1,0.47863247863247865,0.7406653088934148,
0.01,10,v2,v1,v1,0.49572649572649574,0.8092328581126952,
1e-05,20,v1,v1,v1,0.4188034188034188,0.6400273224043715,
0.0001,20,v1,v1,v1,0.39316239316239315,0.7213114754098361,
0.001,20,v1,v1,v1,0.4017094017094017,0.8203551912568307,
0.01,20,v1,v1,v1,0.4444444444444444,0.9617486338797814,
1e-05,20,v2,v1,v1,0.5470085470085471,0.5908469945355191,
0.0001,20,v2,v1,v1,0.47863247863247865,0.7056010928961749,
0.001,20,v2,v1,v1,0.5042735042735043,0.8306010928961749,
0.01,20,v2,v1,v1,0.5213675213675214,0.9508196721311475,
1e-05,30,v1,v1,v1,0.4358974358974359,0.6705479452054794,
0.0001,30,v1,v1,v1,0.42735042735042733,0.75,
0.001,30,v1,v1,v1,0.41025641025641024,0.8890410958904109,
0.01,30,v1,v1,v1,0.5042735042735043,0.9917808219178083,
1e-05,30,v2,v1,v1,0.5384615384615384,0.6404109589041096,
0.0001,30,v2,v1,v1,0.49572649572649574,0.7493150684931507,
0.001,30,v2,v1,v1,0.5299145299145299,0.8815068493150685,
0.01,30,v2,v1,v1,0.5299145299145299,0.9924657534246575,
