C,Lag,Volume,Spread,Exchange,Validation,Training,Testing,
1e-05,5,v1,v1,v1,0.5342465753424658,0.5202331961591221,
1e-05,5,v2,v1,v1,0.5342465753424658,0.5185185185185185,
0.0001,5,v1,v1,v1,0.4794520547945205,0.6093964334705075,
0.0001,5,v2,v1,v1,0.4931506849315068,0.5829903978052127,
0.001,5,v1,v1,v1,0.4863013698630137,0.6454046639231824,
0.001,5,v2,v1,v1,0.4726027397260274,0.6286008230452675,
0.01,5,v1,v1,v1,0.4178082191780822,0.6735253772290809,
0.01,5,v2,v1,v1,0.4589041095890411,0.6491769547325102,
1e-05,10,v1,v1,v1,0.5136986301369864,0.531776021985572,
1e-05,10,v2,v1,v1,0.5342465753424658,0.5245620061834421,
0.0001,10,v1,v1,v1,0.4863013698630137,0.6399862590175197,
0.0001,10,v2,v1,v1,0.4863013698630137,0.6303675712813466,
0.001,10,v1,v1,v1,0.5,0.6901408450704225,
0.001,10,v2,v1,v1,0.5,0.6798351082102371,
0.01,10,v1,v1,v1,0.5068493150684932,0.7368601855032635,
0.01,10,v2,v1,v1,0.5,0.7272414977670904,
1e-05,20,v1,v1,v1,0.541095890410959,0.5756635642881764,
1e-05,20,v2,v1,v1,0.5342465753424658,0.5415374008962427,
0.0001,20,v1,v1,v1,0.4726027397260274,0.6866597724922441,
0.0001,20,v2,v1,v1,0.5205479452054794,0.6621854532919683,
0.001,20,v1,v1,v1,0.4657534246575342,0.7738710789382971,
0.001,20,v2,v1,v1,0.5342465753424658,0.7518097207859359,
0.01,20,v1,v1,v1,0.5136986301369864,0.8466046190968631,
0.01,20,v2,v1,v1,0.5616438356164384,0.8372974836263357,
1e-05,30,v1,v1,v1,0.4726027397260274,0.6181252161881702,
1e-05,30,v2,v1,v1,0.5342465753424658,0.5631269456935316,
0.0001,30,v1,v1,v1,0.4657534246575342,0.7087512971290211,
0.0001,30,v2,v1,v1,0.547945205479452,0.6969906606710481,
0.001,30,v1,v1,v1,0.4589041095890411,0.8094085091663784,
0.001,30,v2,v1,v1,0.5273972602739726,0.7997232791421653,
0.01,30,v1,v1,v1,0.5205479452054794,0.9204427533725354,
0.01,30,v2,v1,v1,0.5136986301369864,0.911449325492909,
