"Index","Close Price"
2000-07-19,100
2000-07-20,99.47644
2000-07-21,96.8586389
2000-07-24,93.8219898
2000-07-25,90.3664922
2000-07-26,92.7225129
2000-07-27,95.183246
2000-07-28,91.6753921
2000-07-31,92.0942405
2000-08-01,91.6753922
2000-08-02,89.6335071
2000-08-03,90.3141356
2000-08-04,89.7905755
2000-08-07,87.9057591
2000-08-08,87.9057591
2000-08-09,87.9581149
2000-08-10,87.9581149
2000-08-11,87.4345547
2000-08-14,87.4345547
2000-08-15,87.4345547
2000-08-16,87.4345547
2000-08-17,88.9005236
2000-08-18,87.0157071
2000-08-21,86.910995
2000-08-22,86.910995
2000-08-23,88.4816757
2000-08-24,87.4345553
2000-08-25,87.4345553
2000-08-28,90.4712046
2000-08-29,90.8376971
2000-08-30,90.3141368
2000-08-31,90.1570688
2000-09-01,93.6125665
2000-09-04,97.172776
2000-09-05,95.2879594
2000-09-06,93.2460747
2000-09-07,91.6230382
2000-09-08,92.6701585
2000-09-11,92.9319387
2000-09-12,91.0994779
2000-09-13,91.0994779
2000-09-14,90.5759174
2000-09-15,91.6230375
2000-09-18,90.0523566
2000-09-19,91.5706816
2000-09-20,90.9947652
2000-09-21,92.1465979
2000-09-22,91.6230375
2000-09-25,89.7905768
2000-09-26,91.6230372
2000-09-27,90.3141371
2000-09-28,90.052357
2000-09-29,90.5759169
2000-10-02,90.5759169
2000-10-03,90.5759169
2000-10-04,90.5759169
2000-10-05,90.5759169
2000-10-06,90.5759169
2000-10-09,89.384129
2000-10-10,87.5506084
2000-10-11,87.6881224
2000-10-12,88.0089882
2000-10-13,88.2381785
2000-10-16,88.6048823
2000-10-17,88.2381786
2000-10-18,87.779798
2000-10-19,87.7339603
2000-10-20,87.3214185
2000-10-23,87.5506084
2000-10-24,87.2755805
2000-10-25,87.4589325
2000-10-26,87.6422849
2000-10-27,87.5506084
2000-10-30,87.0922285
2000-10-31,87.0922285
2000-11-01,87.6422847
2000-11-02,87.8256367
2000-11-03,87.6422849
2000-11-06,87.5047707
2000-11-07,87.3214184
2000-11-08,87.367256
2000-11-09,87.367256
2000-11-10,87.4130941
2000-11-13,87.5047704
2000-11-14,87.2755805
2000-11-15,87.3672565
2000-11-16,87.8714748
2000-11-17,87.6881231
2000-11-20,88.0548269
2000-11-21,88.2840169
2000-11-22,88.4215307
2000-11-23,89.6133194
2000-11-24,89.3841298
2000-11-27,89.5216437
2000-11-28,89.4758059
2000-11-29,89.750834
2000-11-30,89.5216436
2000-12-01,90.3467278
2000-12-04,91.2176504
2000-12-05,89.9800239
2000-12-06,93.6470653
2000-12-07,93.0511713
2000-12-08,91.6760303
2000-12-11,93.2803609
2000-12-12,94.472149
2000-12-13,93.4178748
2000-12-14,93.601227
2000-12-15,93.280361
2000-12-18,93.9679315
2000-12-19,93.8762555
2000-12-20,94.4263121
2000-12-21,94.5179878
2000-12-22,94.5638262
2000-12-25,94.4721503
2000-12-26,94.6555028
2000-12-27,94.1512843
2000-12-28,94.0137707
2000-12-29,93.9679324
2001-01-01,93.9679324
2001-01-02,94.3804742
2001-01-03,94.3346364
2001-01-04,93.601228
2001-01-05,92.3636017
2001-01-08,89.4299684
2001-01-09,88.6048839
2001-01-10,89.3841302
2001-01-11,88.6048838
2001-01-12,85.5337367
2001-01-15,85.4878983
2001-01-16,85.4420605
2001-01-17,86.9547148
2001-01-18,87.0463911
2001-01-19,85.7170883
2001-01-22,85.7170883
2001-01-23,85.7170883
2001-01-24,85.7170883
2001-01-25,85.7170883
2001-01-26,85.7170883
2001-01-29,85.7170883
2001-01-30,85.7170883
2001-01-31,85.7170883
2001-02-01,85.7170883
2001-02-02,85.7170883
2001-02-05,85.1670323
2001-02-06,86.0837924
2001-02-07,85.3503843
2001-02-08,85.3503843
2001-02-09,83.4251878
2001-02-12,82.9668072
2001-02-13,82.5084272
2001-02-14,82.4625888
2001-02-15,82.9209687
2001-02-16,82.7376163
2001-02-19,83.3793483
2001-02-20,82.8292923
2001-02-21,80.1706873
2001-02-22,79.1164131
2001-02-23,78.8413847
2001-02-26,77.237054
2001-02-27,77.7412721
2001-02-28,75.1743432
2001-03-01,74.0435872
2001-03-02,75.8025415
2001-03-05,74.3367463
2001-03-06,74.7555446
2001-03-07,74.6299052
2001-03-08,74.9230642
2001-03-09,75.4256226
2001-03-12,75.1743437
2001-03-13,75.132464
2001-03-14,74.881185
2001-03-15,72.6615524
2001-03-16,73.6247889
2001-03-19,74.0435873
2001-03-20,74.1273469
