,METFN3 1GQ
2009-07-16,12147.0
2009-07-24,12575.0
2009-07-27,12925.0
2009-08-05,13614.0
2009-08-10,14650.0
2009-08-14,14650.0
2009-08-20,14650.0
2009-08-21,15376.5
2009-08-28,14900.0
2009-09-03,15376.5
2009-09-07,16226.5
2009-09-10,17250.0
2009-09-24,17250.0
2009-10-01,15200.0
2009-10-02,15600.0
2009-10-07,15600.0
2009-10-08,15600.0
2009-10-09,16598.0
2009-10-12,17098.0
2009-10-19,17098.0
2009-10-23,17098.0
2009-10-26,17098.0
2009-10-30,17098.0
2009-11-02,17196.0
2009-11-06,17196.0
2009-11-09,17196.0
2009-11-13,17196.0
2009-11-16,17196.0
2009-11-19,17196.0
2009-11-27,17196.0
2009-11-30,17196.0
2009-12-01,17196.0
2009-12-02,17196.0
2009-12-03,17196.0
2009-12-04,17196.0
2009-12-07,17196.0
2009-12-09,17196.0
2009-12-10,17185.0
2009-12-11,17185.0
2009-12-16,17185.0
2009-12-17,17185.0
2009-12-24,17185.0
2009-12-30,17185.0
2009-12-31,17185.0
2010-01-08,17431.0
2010-01-11,17431.0
2010-01-12,17431.0
2010-01-13,17431.0
2010-01-15,17431.0
2010-01-22,17431.0
2010-01-25,17565.5
2010-02-01,17465.5
2010-02-02,17500.0
2010-02-05,17500.0
2010-02-10,17700.0
2010-02-25,18308.0
2010-02-26,18369.5
2010-03-23,18369.5
2010-03-24,18739.0
2010-03-25,18369.5
2010-03-26,18369.5
2010-03-30,18739.0
2010-03-31,18739.0
2010-04-08,18500.0
2010-04-09,18500.0
2010-04-26,18500.0
2010-04-30,18500.0
2010-05-03,18840.5
2010-05-19,18739.0
2010-05-31,18739.0
2010-06-02,18739.0
2010-06-11,18739.0
2010-06-29,18739.0
2010-06-30,18739.0
2010-07-05,19289.0
2010-07-16,20000.0
2010-07-22,20000.0
2010-07-28,20000.0
2010-08-11,20000.0
2010-08-12,20000.0
2010-08-16,20000.0
2010-08-17,20000.0
2010-08-18,20000.0
2010-08-19,20350.0
2010-08-20,19994.5
2010-08-24,19994.5
2010-08-25,19994.5
2010-08-26,19994.5
2010-08-27,19994.5
2010-08-30,19894.5
2010-08-31,19894.5
2010-09-01,19894.5
2010-09-07,19894.5
2010-09-09,19894.5
2010-09-14,19894.5
2010-09-15,19894.5
2010-09-16,19894.5
2010-09-17,20750.0
2010-09-21,20750.0
2010-09-22,21025.0
2010-09-23,21025.0
2010-09-24,21175.0
2010-09-29,21175.0
2010-09-30,21175.0
2010-10-01,21575.0
2010-10-07,21575.0
2010-10-08,22000.0
2010-10-14,22000.0
2010-10-15,21575.0
2010-10-18,21575.0
2010-10-19,21575.0
2010-10-22,22000.0
2010-10-26,22125.0
2010-10-27,22375.0
2010-10-28,22375.0
2010-10-29,22375.0
2010-11-01,22375.0
2010-11-02,22375.0
2010-11-04,22375.0
2010-11-05,22375.0
2010-11-08,22375.0
2010-11-09,22375.0
2010-11-10,22375.0
2010-11-11,22375.0
2010-11-12,22603.0
2010-11-17,22603.0
2010-11-18,22675.0
2010-11-19,22675.0
2010-11-22,22675.0
2010-11-23,22675.0
2010-11-25,22706.0
2010-11-26,22706.0
2010-11-29,22853.0
2010-11-30,22853.0
2010-12-02,22853.0
2010-12-03,22853.0
2010-12-08,22853.0
2010-12-09,23000.0
2010-12-10,23000.0
2010-12-13,23000.0
2010-12-14,23000.0
2010-12-15,23000.0
2010-12-16,23000.0
2010-12-17,23000.0
2010-12-20,23000.0
2010-12-21,23000.0
2010-12-22,23000.0
2010-12-30,23000.0
2010-12-31,23000.0
2011-01-05,23147.0
2011-01-11,24500.0
2011-01-12,24500.0
2011-01-14,24500.0
2011-01-19,24500.0
2011-01-21,24500.0
2011-01-24,24500.0
2011-01-25,24500.0
2011-01-27,25000.0
2011-02-01,25000.0
2011-02-11,25000.0
2011-02-14,25000.0
2011-02-15,25000.0
2011-02-21,25000.0
2011-02-22,25000.0
2011-02-25,25000.0
2011-02-28,25000.0
2011-03-04,25000.0
2011-03-07,25000.0
2011-03-09,25000.0
