,Label
2020-07-01,2290.5
2020-07-02,2279.0
2020-07-03,2308.0
2020-07-06,2313.0
2020-07-07,2329.0
2020-07-08,2398.0
2020-07-09,2398.5
2020-07-10,2391.5
2020-07-13,2383.0
2020-07-14,2394.0
2020-07-15,2382.2
2020-07-16,2354.5
2020-07-17,2347.5
2020-07-20,2422.5
2020-07-21,2438.25
2020-07-22,2484.5
2020-07-23,2466.89
2020-07-24,2430.85
2020-07-27,2419.5
2020-07-28,2456.25
2020-07-29,2439.75
2020-07-30,2460.0
2020-07-31,2491.25
2020-08-03,2529.25
2020-08-04,2506.0
2020-08-05,2485.25
2020-08-06,2454.5
2020-08-07,2478.5
2020-08-10,2387.75
2020-08-11,2396.45
2020-08-12,2391.5
2020-08-13,2448.25
2020-08-14,2457.25
2020-08-17,2474.75
2020-08-18,2506.6
2020-08-19,2495.4
2020-08-20,2521.25
2020-08-21,2440.75
2020-08-24,2446.5
2020-08-25,2383.5
2020-08-26,2353.75
2020-08-27,2356.75
2020-08-28,2421.4
2020-09-01,2410.75
2020-09-02,2388.0
2020-09-03,2309.25
2020-09-04,2307.75
2020-09-07,2291.5
2020-09-08,2343.85
2020-09-09,2336.75
2020-09-10,2347.0
2020-09-11,2419.0
2020-09-14,2423.5
2020-09-15,2399.5
2020-09-16,2400.75
2020-09-17,2409.75
2020-09-18,2419.5
2020-09-21,2473.75
2020-09-22,2512.0
2020-09-23,2552.75
2020-09-24,2565.0
2020-09-25,2549.0
2020-09-28,2528.5
2020-09-29,2533.0
2020-09-30,2519.75
2020-10-01,2523.25
2020-10-02,2513.75
