,Label
2014-01-02,7236.25
2014-01-03,7329.75
2014-01-06,7365.0
2014-01-07,7304.75
2014-01-08,7380.5
2014-01-09,7336.0
2014-01-10,7373.0
2014-01-13,7359.0
2014-01-14,7403.5
2014-01-15,7328.5
2014-01-16,7230.0
2014-01-17,7211.0
2014-01-20,7188.5
2014-01-21,7179.0
2014-01-22,7154.5
2014-01-23,7135.5
2014-01-24,7096.0
2014-01-27,7075.0
2014-01-28,7082.5
2014-01-29,7083.5
2014-01-30,7178.0
2014-01-31,7189.5
2014-02-03,7136.0
2014-02-04,7107.75
2014-02-05,7198.0
2014-02-06,7142.5
2014-02-07,7180.5
2014-02-10,7204.5
2014-02-11,7235.0
2014-02-12,7224.0
2014-02-13,7198.0
2014-02-14,7211.0
2014-02-17,7134.0
2014-02-18,7134.0
2014-02-19,7104.5
2014-02-20,7086.0
2014-02-21,7080.0
2014-02-24,7013.0
2014-02-25,7087.5
2014-02-26,7061.5
2014-02-27,7067.0
2014-02-28,6805.0
2014-03-03,6661.5
2014-03-04,6492.25
2014-03-05,6528.75
2014-03-06,6439.0
2014-03-07,6492.5
2014-03-10,6500.5
2014-03-11,6501.0
2014-03-12,6571.0
2014-03-13,6441.0
2014-03-14,6489.25
2014-03-17,6476.25
2014-03-18,6605.75
2014-03-19,6510.5
2014-03-20,6572.0
2014-03-21,6685.5
2014-03-24,6650.0
2014-03-25,6665.0
2014-03-26,6676.0
2014-03-27,6643.25
2014-03-28,6619.0
2014-03-31,6670.0
2014-04-01,6670.25
2014-04-02,6626.0
2014-04-03,6659.5
2014-04-04,6664.5
2014-04-07,6661.75
2014-04-08,6545.0
2014-04-09,6627.0
2014-04-10,6662.5
2014-04-11,6684.5
2014-04-14,6685.5
2014-04-15,6772.25
2014-04-16,6783.0
2014-04-17,6765.75
2014-04-22,6731.0
2014-04-23,6659.5
2014-04-24,6674.0
2014-04-25,6755.5
2014-04-28,6756.0
2014-04-29,6685.5
2014-04-30,6770.0
2014-05-01,6795.5
2014-05-02,6923.0
2014-05-06,6887.0
2014-05-07,6976.0
2014-05-08,6941.0
2014-05-09,6923.5
2014-05-12,6983.0
2014-05-13,6933.0
2014-05-14,6885.0
2014-05-15,6959.0
2014-05-16,7021.0
2014-05-19,7017.5
2014-05-20,7045.0
2014-05-21,6973.0
2014-05-22,6919.0
2014-05-23,7006.5
2014-05-27,6932.5
2014-05-28,6834.0
2014-05-29,6803.0
2014-05-30,6696.0
2014-06-02,6688.5
2014-06-03,6710.0
2014-06-04,6743.0
2014-06-05,6643.5
2014-06-06,6679.5
2014-06-09,6718.5
2014-06-10,6721.5
2014-06-11,6713.5
2014-06-12,6736.5
2014-06-13,6840.5
2014-06-16,6917.0
2014-06-17,6918.5
2014-06-18,6938.0
2014-06-19,6986.5
2014-06-20,6976.0
2014-06-23,7041.0
2014-06-24,7039.5
2014-06-25,7139.0
2014-06-26,7186.0
2014-06-27,7161.0
2014-06-30,7126.0
2014-07-01,7136.0
2014-07-02,7143.5
2014-07-03,7179.5
2014-07-04,7173.5
2014-07-07,7121.5
2014-07-08,7128.0
2014-07-09,7070.25
2014-07-10,7065.5
2014-07-11,6987.0
2014-07-14,7029.75
2014-07-15,7037.5
2014-07-16,7039.75
2014-07-17,7179.5
2014-07-18,7137.0
2014-07-21,7132.75
2014-07-22,7102.5
2014-07-23,7157.25
2014-07-24,7135.5
2014-07-25,7088.5
2014-07-28,7133.5
2014-07-29,7064.5
2014-07-30,6982.25
2014-07-31,7014.5
2014-08-01,7010.75
2014-08-04,7011.0
2014-08-05,6983.25
2014-08-06,6898.5
2014-08-07,6839.0
2014-08-08,6891.0
2014-08-11,6943.0
2014-08-12,6898.5
2014-08-13,7036.5
2014-08-14,7037.0
2014-08-15,7098.0
2014-08-18,7074.5
2014-08-19,7062.0
2014-08-20,6962.0
2014-08-21,7008.5
2014-08-22,6968.0
2014-08-26,6983.0
2014-08-27,6926.0
2014-08-28,6948.5
2014-08-29,6991.75
2014-09-01,7000.25
2014-09-02,6857.25
2014-09-03,6893.75
2014-09-04,6860.0
2014-09-05,6866.0
2014-09-08,6867.0
2014-09-09,6946.25
2014-09-10,6973.5
2014-09-11,6886.75
2014-09-12,6883.25
2014-09-15,6773.5
2014-09-16,6770.5
2014-09-17,6778.5
2014-09-18,6741.0
2014-09-19,6766.5
2014-09-22,6787.5
2014-09-23,6720.0
2014-09-24,6729.75
2014-09-25,6648.75
2014-09-26,6682.0
2014-09-29,6750.0
2014-09-30,6710.75
2014-10-01,6687.5
2014-10-02,6777.0
2014-10-03,6703.0
2014-10-06,6784.0
2014-10-07,6859.0
2014-10-08,6685.0
2014-10-09,6604.0
2014-10-10,6689.0
2014-10-13,6609.0
2014-10-14,6716.75
2014-10-15,6687.0
2014-10-16,6752.0
2014-10-17,6762.0
2014-10-20,6797.0
2014-10-21,6869.5
2014-10-22,6890.5
2014-10-23,6807.0
2014-10-24,6761.5
2014-10-27,6779.75
2014-10-28,6711.0
2014-10-29,6713.5
2014-10-30,6737.0
2014-10-31,6790.0
2014-11-03,6727.0
2014-11-04,6756.5
2014-11-05,6747.0
2014-11-06,6724.5
2014-11-07,6777.5
2014-11-10,6776.0
2014-11-11,6705.0
2014-11-12,6755.0
2014-11-13,6731.75
2014-11-14,6785.0
