date,LMCADY,return_60d,discrete_60d,score,horizon,discrete_score
2017-07-04,5867.25,8.909625463377214,1,-1.5125045118174218,60,1
2017-07-05,5814.0,11.34330925352598,1,3.2753396411296305,60,1
2017-07-06,5824.0,10.443853021978011,1,4.182628364452857,60,1
2017-07-07,5804.0,11.065644383184004,1,0.8368787936496792,60,1
2017-07-11,5847.25,10.671683269913213,1,-6.583771811904562,60,0
2017-07-12,5879.5,13.245173909346029,1,-6.2810952064734495,60,0
2017-07-13,5853.5,13.034936362859813,1,-4.865074465212673,60,0
2017-07-14,5905.25,12.02319969518648,1,-5.387192171533744,60,0
2017-07-17,5971.0,12.313682800200976,1,0.17747274377216102,60,1
2017-07-18,5973.5,13.099522892776427,1,-3.115132847025291,60,1
2017-07-19,5929.5,15.713803862045705,1,-6.499544736015222,60,0
2017-07-20,5925.25,15.758828741403306,1,-4.721700706516433,60,0
2017-07-21,5971.0,19.276503098308485,1,-6.226973799551839,60,0
2017-07-24,5994.75,16.702114350056306,1,-11.679858958791051,60,-1
2017-07-25,6197.25,12.130380410666033,1,-9.502516730338655,60,0
2017-07-26,6297.75,10.102814497241086,1,-4.6789356945803675,60,0
2017-07-27,6298.25,9.895605922280003,1,0.5126272243568095,60,1
2017-07-28,6295.5,10.797394964657304,1,4.810567001694662,60,1
2017-07-31,6336.25,10.629315446833695,1,-10.028172232304241,60,-1
2017-08-01,6313.25,10.620520334217721,1,-0.19207293934790667,60,1
2017-08-02,6322.25,10.103206927913334,1,4.683446418893945,60,1
2017-08-03,6325.75,7.505038928190343,1,-0.6169298015355207,60,1
2017-08-04,6347.75,7.738962624552005,1,-0.17674137686929792,60,1
2017-08-07,6384.25,6.77448408192034,1,8.31192664109085,60,1
2017-08-08,6451.5,6.932496318685577,1,3.0228388870349905,60,1
2017-08-09,6426.75,7.332633134943789,1,-1.0344057903393409,60,1
2017-08-10,6393.75,7.362658846529825,1,0.4254245095913686,60,1
2017-08-11,6383.0,8.679304402318655,1,-1.5868048738659897,60,1
2017-08-14,6367.5,6.678445229681972,1,7.443290985539103,60,1
2017-08-15,6344.0,7.589848675914258,1,7.30181413410321,60,1
2017-08-16,6496.5,4.333102439775272,1,5.517717453945272,60,1
2017-08-17,6456.25,4.607938044530502,1,1.878865356960016,60,1
2017-08-18,6452.25,6.331124801425857,1,-3.2494086732706533,60,0
2017-08-21,6551.25,2.575844304522046,0,3.196825194653276,60,1
2017-08-22,6547.25,2.886708159914475,0,2.438684889924543,60,1
2017-08-23,6537.25,2.5316455696202445,0,-0.8226294982182879,60,1
2017-08-24,6663.25,1.2043672382095805,0,-2.3546551737504724,60,1
2017-08-25,6648.5,2.237346769948112,0,1.8983772999895585,60,1
2017-08-29,6772.0,1.5578854105138706,0,-1.5740072486281833,60,1
2017-08-30,6740.0,2.715133531157265,0,-7.500905104975335,60,0
2017-08-31,6759.5,2.629632369258084,0,-12.355409137643823,60,-1
2017-09-01,6804.5,2.5791755455948358,0,-4.7262841325643805,60,0
2017-09-04,6886.75,0.4174683268595381,0,2.8077964556405184,60,1
2017-09-05,6869.5,-1.3574495960404718,0,0.9437413018489076,60,1
2017-09-06,6875.5,-2.1053014326230857,0,-1.6921980245689219,60,1
2017-09-07,6873.75,-2.018548827059463,0,1.2915904531827291,60,1
2017-09-08,6672.25,2.042039791674477,0,1.2183566360530278,60,1
2017-09-11,6729.25,1.0625255414793644,0,-3.344290144676336,60,0
2017-09-12,6627.25,-1.7239428118752118,0,-7.429371199421886,60,0
2017-09-13,6511.25,0.09598771357266499,0,-17.565742491032502,60,-1
2017-09-14,6455.75,1.1501374743445814,0,-17.243859594943125,60,-1
2017-09-15,6461.0,1.172419130165614,0,-10.788718150277505,60,-1
2017-09-18,6474.75,2.4672767288312247,0,-13.005119611736328,60,-1
2017-09-19,6488.25,2.1307748622509948,0,-11.162798454917601,60,-1
2017-09-20,6482.0,3.235883986423937,1,-0.15118296394546846,60,1
2017-09-21,6440.0,4.984472049689437,1,-0.6877016238557472,60,1
2017-09-22,6415.75,6.8464326072555926,1,-15.725862099015574,60,-1
2017-09-25,6404.25,7.338876527306093,1,-13.315007148469624,60,-1
2017-09-26,6353.0,8.700613883204777,1,-8.92832060810752,60,0
2017-09-27,6390.0,9.51095461658842,1,-9.419270514579672,60,0
2017-09-28,6473.5,8.797404804201749,1,-14.25880293888601,60,-1
2017-09-29,6432.25,10.148081930895092,1,-9.646305990490255,60,0
2017-10-09,6615.25,8.01934923094365,1,3.949069593078084,60,1
