date,LMCADY,return_60d,discrete_60d,score,horizon,discrete_score
2017-01-04,5629.0,4.530111920412151,1,8.81796593356456,60,0
2017-01-05,5560.5,6.788957827533504,1,7.7399789248551345,60,0
2017-01-06,5569.25,4.430578623692606,1,6.175583733681968,60,0
2017-01-09,5570.0,2.8500897666068115,1,11.209209411528548,60,1
2017-01-10,5736.0,0.2920153417015348,0,-0.6507450699178825,60,-1
2017-01-11,5689.75,3.084494046311348,1,2.2950493761273423,60,-1
2017-01-12,5813.75,0.21930767576865406,0,10.359002256119327,60,0
2017-01-13,5883.75,-1.4446568939876725,0,6.191754821606986,60,0
2017-01-16,5843.5,-2.2118593308804613,0,15.943145893523722,60,1
2017-01-17,5731.25,0.14830970556161116,0,17.359250233017136,60,1
2017-01-18,5740.5,-2.425746886159741,0,15.457799449438975,60,1
2017-01-19,5713.5,-0.936378752078415,0,9.385866959123492,60,0
2017-01-20,5730.0,-3.3333333333333326,0,6.104635693881629,60,0
2017-01-23,5773.5,-4.3344591668831765,0,9.69501111781906,60,0
2017-01-24,5926.0,-5.560242996962539,-1,9.092203957024637,60,0
2017-01-25,5922.25,-5.5426569293764985,-1,8.289910931015925,60,0
2017-01-26,5838.0,-3.6570743405275774,0,10.655104582559414,60,0
2017-02-03,5763.75,-3.4179136846670954,0,7.925256101074965,60,0
2017-02-06,5835.75,-5.444887118193886,0,12.547134291211329,60,1
2017-02-07,5779.5,-3.7459987888225577,0,17.536516269376694,60,1
2017-02-08,5878.0,-7.08149030282409,-1,16.830941291588534,60,1
2017-02-09,5808.75,-5.551969012265979,-1,11.216729375623435,60,1
2017-02-10,6082.5,-9.983559391697494,-1,9.929536725861954,60,0
2017-02-13,6103.5,-9.539608421397562,-1,12.4947799313561,60,1
2017-02-14,6004.25,-7.752841737102889,-1,11.226717429049938,60,1
2017-02-15,6048.0,-7.519014550264548,-1,6.661296290376631,60,0
2017-02-16,5983.0,-6.489219455122853,-1,5.939284653024151,60,0
2017-02-17,5945.0,-5.929352396972242,-1,4.222290694695698,60,0
2017-02-20,6058.25,-8.191309371518173,-1,4.041288258755045,60,0
2017-02-21,6045.5,-6.289802332313287,-1,8.925179443747101,60,0
2017-02-22,6025.75,-5.588515952371076,-1,12.353851962739515,60,1
2017-02-23,5844.75,-2.5621284058342964,0,11.196782135078237,60,1
2017-02-24,5915.0,-4.2688081149619626,0,12.459855911634465,60,1
2017-02-27,5924.0,-3.6799459824442993,0,5.907252797963652,60,0
2017-02-28,5966.5,-5.505740383809599,-1,5.111074783369331,60,0
2017-03-01,6003.0,-6.159420289855078,-1,4.186545430379232,60,0
