date,LMSNDY,return_5d,discrete_5d,score,horizon,discrete_score
2018-07-03,19731.0,0.5524301860017289,1,0.0,5,-1
2018-07-04,19682.0,-1.1482572909257138,-1,0.0,5,-1
2018-07-05,19493.0,1.215821063971689,1,0.0,5,-1
2018-07-06,19393.0,2.3951941422162726,1,0.0,5,-1
2018-07-10,19840.0,-1.285282258064513,-1,0.0,5,-1
2018-07-11,19456.0,0.5396792763157965,1,0.0,5,-1
2018-07-12,19730.0,-0.7095793208312218,0,0.0,5,-1
2018-07-13,19857.5,-1.4226362835200843,-1,0.0,5,-1
2018-07-16,19560.0,0.040899795501014864,0,0.0,5,-1
2018-07-17,19585.0,0.8935409752361512,1,0.0,5,-1
2018-07-18,19561.0,1.4518685138796616,1,0.0,5,-1
2018-07-19,19590.0,1.9142419601837712,1,0.0,5,-1
2018-07-20,19575.0,2.4010217113665355,1,0.0,5,-1
2018-07-23,19568.0,2.9691332788225777,1,0.0,5,-1
2018-07-24,19760.0,2.100202429149789,1,0.0,5,-1
2018-07-25,19845.0,0.4031242126480317,0,0.0,5,-1
2018-07-26,19965.0,-1.4525419484097135,-1,0.0,5,-1
2018-07-27,20045.0,-1.8458468445996523,-1,0.0,5,-1
2018-07-30,20149.0,-2.749516105017624,-1,0.0,5,-1
2018-07-31,20175.0,-2.671623296158609,-1,0.0,5,-1
2018-08-01,19925.0,-2.3287327478042634,-1,0.0,5,-1
2018-08-02,19675.0,-0.3278271918678577,0,0.0,5,-1
2018-08-03,19675.0,-0.8945362134688661,0,0.0,5,-1
2018-08-07,19636.0,-3.0759828885720157,-1,0.0,5,-1
2018-08-08,19461.0,-5.47762191048764,-1,0.0,5,-1
2018-08-09,19610.5,-5.203844879018894,-1,0.0,5,-1
2018-08-10,19499.0,-4.215600800041031,-1,0.0,5,-1
2018-08-13,19395.0,-3.1709203402938924,-1,0.0,5,-1
2018-08-14,19032.0,0.09457755359394417,0,0.0,5,-1
2018-08-15,18395.0,5.62652894808371,1,0.0,5,-1
2018-08-16,18590.0,3.0392684238838013,1,0.0,5,-1
2018-08-17,18677.0,1.943566954007614,1,0.0,5,-1
2018-08-20,18780.0,1.7039403620873197,1,0.0,5,-1
2018-08-21,19050.0,-0.31496062992125706,0,0.0,5,-1
2018-08-22,19430.0,-0.8234688625836317,0,0.0,5,-1
2018-08-23,19155.0,-0.5351083268076207,0,0.0,5,-1
2018-08-24,19040.0,-0.7615546218487368,0,0.2975594477599756,5,0
2018-08-28,19100.0,-1.0680628272251358,-1,0.0,5,-1
2018-08-29,18990.0,-0.7003686150605537,0,0.0,5,-1
2018-08-30,19270.0,-2.145822522055008,-1,0.0,5,-1
2018-08-31,19052.5,0.09185146306258662,0,0.0,5,-1
2018-09-03,18895.0,0.6985975125694655,1,0.0,5,-1
2018-09-04,18896.0,0.8573243014394549,1,0.0,5,-1
2018-09-05,18857.0,1.1295540117728151,1,0.0,5,-1
2018-09-06,18856.5,0.9678360247129536,1,0.0,5,-1
2018-09-07,19070.0,-0.12585212375458846,0,0.0,5,-1
2018-09-10,19027.0,0.09460240710568167,0,0.0,5,-1
2018-09-11,19058.0,-0.199391331724208,0,0.0,5,-1
2018-09-12,19070.0,-0.8127949659150535,0,0.0,5,-1
