date,LMSNDY,return_10d,discrete_10d,score,horizon,discrete_score
2018-07-03,19731.0,-0.7399523592316659,0,34.21275,10,1
2018-07-04,19682.0,-0.6147749212478404,0,32.33915,10,1
2018-07-05,19493.0,0.4976145282922007,0,33.634525,10,1
2018-07-06,19393.0,0.9384829577682609,0,23.52084984660099,10,1
2018-07-09,19670.0,-0.5185561769191716,0,0.764562,10,0
2018-07-10,19840.0,-0.40322580645161255,0,0.6124861816969819,10,0
2018-07-11,19456.0,1.9993832236842035,1,0.3070831146568089,10,0
2018-07-12,19730.0,1.1910795742524185,0,0.0,10,-1
2018-07-13,19857.5,0.9442276218053712,0,0.0,10,-1
2018-07-16,19560.0,3.0112474437627768,1,0.0,10,-1
2018-07-17,19585.0,3.0125095736533103,1,0.0,10,-1
2018-07-18,19561.0,1.860845560042934,1,0.0,10,-1
2018-07-19,19590.0,0.4338948443083135,0,-0.14444524943375806,10,-1
2018-07-20,19575.0,0.5108556832694733,0,-0.14444524943375806,10,-1
2018-07-23,19568.0,0.13798037612429148,0,0.0,10,-1
2018-07-24,19760.0,-0.627530364372475,0,0.0,10,-1
2018-07-25,19845.0,-1.9349962207105051,-1,0.0,10,-1
2018-07-26,19965.0,-1.7756073127974004,-1,0.0,10,-1
2018-07-27,20045.0,-2.7238712895984007,-1,0.812981083423221,10,0
2018-07-30,20149.0,-3.742121197081738,-1,0.0,10,-1
2018-07-31,20175.0,-5.6654275092936865,-1,0.0,10,-1
2018-08-01,19925.0,-7.678795483061485,-1,0.0,10,-1
2018-08-02,19675.0,-5.514612452350699,-1,0.0,10,-1
2018-08-03,19675.0,-5.07242693773825,-1,0.0,10,-1
2018-08-06,19595.0,-4.159224291911201,-1,0.0,10,-1
2018-08-07,19636.0,-2.9843145243430467,-1,0.0,10,-1
2018-08-08,19461.0,-0.15929294486408674,0,7.3256478299550905,10,0
2018-08-09,19610.5,-2.3227352693710013,-1,4.803978014755963,10,0
2018-08-10,19499.0,-2.3539668700959027,-1,0.48365675291127397,10,0
2018-08-13,19395.0,-1.5210105697344711,-1,0.0,10,-1
2018-08-14,19032.0,-0.2206809583858771,0,0.0,10,-1
2018-08-15,18395.0,4.756727371568359,1,0.0,10,-1
2018-08-16,18590.0,2.4878967186659384,1,0.0,10,-1
2018-08-17,18677.0,1.167211008191904,0,0.0,10,-1
2018-08-20,18780.0,0.6176783812566589,0,0.0,10,-1
2018-08-21,19050.0,-1.0131233595800482,-1,24.68377496033657,10,1
2018-08-22,19430.0,-2.951621204323207,-1,38.62315,10,1
2018-08-23,19155.0,-0.44374836857217215,0,38.87175000000001,10,1
2018-08-24,19040.0,-0.0682773109243695,0,28.18187448878936,10,1
2018-08-28,19100.0,-0.2198952879581162,0,39.21249401858447,10,1
2018-08-29,18990.0,0.4212743549236509,0,28.813494732436265,10,1
2018-08-30,19270.0,-1.1987545407369016,-1,0.0,10,-1
2018-08-31,19052.5,-0.03411625770896043,0,0.0,10,-1
2018-09-03,18895.0,0.7938608097380229,0,0.0,10,-1
2018-09-04,18896.0,0.6562235393734017,0,-13.955688409344734,10,-1
2018-09-05,18857.0,0.3075780877127787,0,-13.955688409344734,10,-1
2018-09-06,18856.5,0.8246493251663933,0,0.0,10,-1
2018-09-07,19070.0,-0.041950707918192436,0,0.7832735695458609,10,0
2018-09-10,19027.0,-0.19971619277868724,0,5.488875227619452,10,0
2018-09-11,19058.0,-0.8028124672053716,0,5.488875227619452,10,0
2018-09-12,19070.0,-0.9963293130571538,-1,5.488875227619452,10,0
2018-09-14,19046.0,-0.9765830095558092,-1,1.5470484670232334,10,0
2018-09-17,19045.0,-0.3938041480703647,0,33.10008318529794,10,1
2018-09-18,19020.0,-0.389064143007356,0,33.10008318529794,10,1
2018-09-19,18915.0,0.35421623050488904,0,33.10008318529794,10,1
2018-09-20,19012.0,-0.22091310751104487,0,32.56176735518831,10,1
2018-09-21,19062.0,-0.4826356101143681,0,32.56176735518831,10,1
2018-09-25,18905.0,0.40729965617560815,0,15.940901408098346,10,1
2018-09-26,18880.0,0.6038135593220417,0,21.69699251836766,10,1
2018-09-27,18840.0,2.239915074309984,1,33.10008318529794,10,1
2018-09-28,18860.0,1.3414634146341475,0,28.04013848276401,10,1
2018-10-08,18876.0,2.0237338419156536,1,25.55009750232988,10,1
2018-10-09,18982.0,1.891265409335152,1,19.807456369497206,10,1
2018-10-10,18994.0,1.7531852163841233,1,25.27815479477047,10,1
