date,LMNIDY,return_60d,discrete_60d,score,horizon,discrete_score
2017-07-04,9141.0,11.114757685154798,1,-5.872314786218697,60,0
2017-07-05,9121.5,13.555884448829689,1,-7.262886541235597,60,0
2017-07-06,9037.0,15.253955958835896,1,-5.675186911866766,60,0
2017-07-07,8879.75,16.044933697457694,1,-2.4571152423949987,60,0
2017-07-11,9087.0,15.791790469902066,1,-14.6098335565371,60,-1
2017-07-12,9159.5,14.067361755554339,1,-7.240802520697247,60,0
2017-07-13,9166.5,14.711176566846662,1,-11.956376519697079,60,-1
2017-07-14,9529.5,14.69122199485806,1,-24.127940990211922,60,-1
2017-07-17,9554.5,14.924904495264,1,1.076378630247912,60,1
2017-07-18,9733.0,13.64430288708518,1,-2.268539085111715,60,0
2017-07-19,9601.5,18.08571577357705,1,-8.369085729380304,60,-1
2017-07-20,9445.0,22.927474854420325,1,-15.762681296459588,60,-1
2017-07-21,9469.0,24.675256098848887,1,-12.59741447326128,60,-1
2017-07-25,9955.0,16.38372677046711,1,4.068263187403009,60,1
2017-07-26,9994.5,16.819250587823298,1,-5.757379351217331,60,0
2017-07-27,10087.5,15.692688971499381,1,-6.219380371658278,60,0
2017-07-28,10155.5,16.148884840726694,1,2.611641530944749,60,1
2017-08-01,10241.0,15.428180841714669,1,-2.9661841317821023,60,0
2017-08-02,10304.5,13.69789897617546,1,-5.744015620515383,60,0
2017-08-03,10335.0,11.717464925012088,1,-7.103424544956546,60,0
2017-08-04,10209.5,13.918409324648607,1,-6.5530416726060405,60,0
2017-08-08,10591.5,20.45508190530143,1,-0.4950602798123169,60,0
2017-08-09,10717.5,17.26615348728715,1,-4.238687149737888,60,0
2017-08-10,10938.0,15.944413969647098,1,-3.98332908373902,60,0
2017-08-11,10615.5,21.23781263247137,1,-0.0823250765604175,60,0
2017-08-15,10298.5,22.83827741904161,1,2.354426501420884,60,1
2017-08-16,10706.5,14.388455611077378,1,2.1838989955016603,60,1
2017-08-17,10670.5,12.979710416569045,1,-2.573716221147118,60,0
2017-08-18,10928.5,13.757606258864444,1,-6.471333208280476,60,0
