date,LMCADY,return_20d,discrete_20d,score,horizon,discrete_score
2017-07-04,5867.25,7.6015168946269585,1,-1.2975472491708722,20,1
2017-07-05,5814.0,8.74183006535947,1,-0.15931179379699886,20,1
2017-07-06,5824.0,8.61521291208791,1,-2.5698961175426582,20,1
2017-07-07,5804.0,9.368538938662985,1,-2.138387066702426,20,1
2017-07-11,5847.25,10.333917653597837,1,-5.137132823804881,20,0
2017-07-12,5879.5,9.30776426566884,1,-4.686750050479649,20,1
2017-07-13,5853.5,9.229520799521662,1,-4.3030770931411135,20,1
2017-07-14,5905.25,8.090258668134286,1,-5.265652435510686,20,0
2017-07-17,5971.0,6.640428738904713,1,-3.4165532447098914,20,1
2017-07-18,5973.5,6.202393906420013,1,-3.6389975645302117,20,1
2017-07-19,5929.5,9.56235770301037,1,-3.920884297319136,20,1
2017-07-20,5925.25,8.961647187882368,1,-3.2551757712019516,20,1
2017-07-21,5971.0,8.059788980070339,1,-10.23211681501531,20,0
2017-07-24,5994.75,9.283122732390847,1,-10.913933060503409,20,0
2017-07-25,6197.25,5.6476663036024055,1,-9.28804249180408,20,0
2017-07-26,6297.75,3.8029454964074505,1,-3.942066598430951,20,1
2017-07-27,6298.25,5.795260588258633,1,-0.4519106019974112,20,1
2017-07-28,6295.5,5.60717973155429,1,2.9319111356942886,20,1
2017-07-31,6336.25,6.87709607417637,1,-9.3551283735325,20,0
2017-08-01,6313.25,6.759592919653113,1,-5.006565182420816,20,0
2017-08-02,6322.25,6.916050456720325,1,0.2260288906654468,20,1
2017-08-03,6325.75,7.568272536853327,1,0.09019690047315483,20,1
2017-08-04,6347.75,8.491197668465201,1,-0.4479088457231809,20,1
2017-08-07,6384.25,7.600736186709488,1,5.273711181115383,20,1
2017-08-08,6451.5,6.5721150120127145,1,2.392958406915208,20,1
2017-08-09,6426.75,6.9553040028008,1,1.6590560846577145,20,1
2017-08-10,6393.75,4.35581622678396,1,3.7588625784680407,20,1
2017-08-11,6383.0,5.424565251449165,1,0.7375960598684722,20,1
2017-08-14,6367.5,4.0793089909697775,1,-3.004996437641667,20,1
2017-08-15,6344.0,2.636349306431262,1,-3.0396569598802774,20,1
2017-08-16,6496.5,-0.6272608327561047,0,0.7506416541196067,20,1
2017-08-17,6456.25,0.07357212003871183,0,2.3899007632665232,20,1
2017-08-18,6452.25,0.3487155643380202,0,2.062209426802108,20,1
2017-08-21,6551.25,-0.961648540354898,0,3.5510159802560253,20,1
2017-08-22,6547.25,-0.9966016266371392,0,2.9436339896217882,20,1
2017-08-23,6537.25,-1.4876285900034425,0,0.8018198163842737,20,1
2017-08-24,6663.25,-3.7144036318613294,-1,-6.198690184026653,20,0
2017-08-25,6648.5,-3.67376099872152,-1,-2.726931729484688,20,1
2017-08-29,6772.0,-6.1872415829887775,-1,1.7497293201421598,20,1
2017-08-30,6740.0,-5.192878338278928,-1,-4.345074014119904,20,1
2017-08-31,6759.5,-4.23108218063466,-1,-9.723570161291539,20,0
2017-09-01,6804.5,-5.470644426482473,-1,-0.3933682065545832,20,1
2017-09-04,6886.75,-6.396340799361088,-1,1.4406731455167592,20,1
2017-09-05,6869.5,-5.8337579154232415,-1,0.6786541529497333,20,1
2017-09-06,6875.5,-5.879572394734932,-1,-0.76848555274489,20,1
2017-09-07,6873.75,-3.1351154755410064,-1,1.8325681945757024,20,1
2017-09-08,6672.25,-0.8355502266851556,0,1.1463270260216964,20,1
2017-09-11,6729.25,-1.6940966675335292,0,-3.2905436733903164,20,1
2017-09-12,6627.25,1.192047983703648,0,-6.4028278815400865,20,0
2017-09-13,6511.25,3.7588788635054775,1,-15.841819462223912,20,-1
2017-09-14,6455.75,6.28122216628586,1,-17.079402492100414,20,-1
2017-09-15,6461.0,6.160037145952635,1,-11.337215674204604,20,0
2017-09-18,6474.75,9.996524962353748,1,-12.584243739593198,20,-1
2017-09-19,6488.25,7.825684891920015,1,-9.314936551057588,20,0
2017-09-20,6482.0,7.204566491823505,1,2.790635124848424,20,1
2017-09-21,6440.0,7.670807453416151,1,1.299777294591068,20,1
2017-09-22,6415.75,7.882944316720563,1,-14.320215407809597,20,-1
2017-09-25,6404.25,8.915954249131431,1,-9.71676825082611,20,0
2017-09-26,6353.0,10.337635762631823,1,-3.3687857330961366,20,1
2017-09-27,6390.0,9.29186228482004,1,-7.702946902657056,20,0
2017-09-28,6473.5,7.530702093148989,1,-13.978611107650615,20,-1
2017-09-29,6432.25,5.725057328306571,1,-9.33607286301248,20,0
2017-10-09,6615.25,4.863761762593999,1,4.274263707817775,20,1
2017-10-10,6706.25,1.2898415657036422,0,6.130565419504024,20,1
2017-10-11,6756.0,1.0287152161042146,0,10.684285215507318,20,1
2017-10-12,6861.25,-1.2133357624339536,0,9.917039604785202,20,1
2017-10-13,6859.0,-1.534480244933667,0,7.290072367372634,20,1
2017-10-16,7122.0,-3.668211176635772,-1,12.873651502599039,20,1
2017-10-17,6996.0,-3.9451114922813058,-1,8.74199333086536,20,1
2017-10-18,6949.0,-3.0615915959130824,-1,1.688638070044511,20,1
2017-10-19,6934.0,-3.3350158638592475,-1,-2.593547769516475,20,1
2017-10-20,6921.5,-2.571696886513042,-1,-1.8026934491252304,20,1
2017-10-23,6975.25,-2.5518798609368787,-1,-4.908587105167951,20,0
2017-10-24,7009.75,-1.8866578693962024,0,-0.2909489645075576,20,1
2017-10-25,6983.75,-0.8698764990155761,0,3.564152954995655,20,1
2017-10-26,6961.0,-0.3411866111190931,0,-2.852313896784007,20,1
