date,LMZSDY,return_5d,discrete_5d,score,horizon,discrete_score
2017-07-04,2793.5,0.9307320565598688,0,4.811890851071263,5,-1
2017-07-05,2779.5,1.8348623853210901,1,4.815919481861309,5,-1
2017-07-06,2783.25,0.7814605227701499,0,3.5236010320631643,5,-1
2017-07-07,2791.0,-0.1701898960945858,0,2.1819182163334405,5,-1
2017-07-10,2777.75,1.098010980109798,0,2.697558671106336,5,-1
2017-07-11,2819.5,-1.2768221315836104,-1,2.825849673025496,5,-1
2017-07-12,2830.5,-3.329800388623916,-1,3.898265311641505,5,-1
2017-07-13,2805.0,-3.1194295900178304,-1,8.074447974650182,5,0
2017-07-14,2786.25,-1.3907581875280406,-1,3.7551899555549375,5,-1
2017-07-17,2808.25,-0.881331790260842,0,-7.206252932234224,5,-1
2017-07-18,2783.5,1.8232441171187383,1,-4.996739674427398,5,-1
2017-07-19,2736.25,2.46687985381453,1,-5.3927891877839675,5,-1
2017-07-20,2717.5,2.8978840846366034,1,-0.9663771311514976,5,-1
2017-07-21,2747.5,0.7097361237488722,0,4.4569961902501785,5,-1
2017-07-24,2783.5,0.05388898868330383,0,2.7625496399430185,5,-1
2017-07-25,2834.25,-2.3286583752315404,-1,1.390241433533013,5,-1
2017-07-26,2803.75,-0.5439144003566598,0,2.6524182204558038,5,-1
2017-07-27,2796.25,-0.5006705409029921,0,8.805921853601049,5,0
2017-07-28,2767.0,1.2468377303939349,0,7.555381104826077,5,0
2017-07-31,2785.0,2.2441651705565446,1,8.85844326321892,5,0
2017-08-01,2768.25,5.400523796622415,1,6.9039562351336725,5,0
2017-08-02,2788.5,4.706831629908548,1,4.781281533234333,5,-1
2017-08-03,2782.25,5.1487105759726814,1,9.517901815482686,5,0
2017-08-04,2801.5,2.9002320185614883,1,11.895059248727096,5,1
2017-08-07,2847.5,1.8964003511852567,1,4.05316319586097,5,-1
2017-08-08,2917.75,0.9682118070430956,0,5.2411131439300185,5,-1
2017-08-09,2919.75,6.430345063789701,1,2.8260057462865142,5,-1
2017-08-10,2925.5,4.341138266962918,1,1.3887682749147443,5,-1
2017-08-11,2882.75,8.125921429190885,1,3.386900102920075,5,-1
2017-08-14,2901.5,7.49612269515767,1,-2.9775284259343024,5,-1
2017-08-15,2946.0,5.566870332654438,1,-2.0716996530583547,5,-1
2017-08-16,3107.5,-0.5792437650844695,0,-0.7419366080424331,5,-1
2017-08-17,3052.5,1.9574119574119475,1,1.9375220692746185,5,-1
2017-08-18,3117.0,-1.98107154315047,-1,5.527153214508253,5,-1
2017-08-21,3119.0,-0.5129849310676504,0,6.77808178884972,5,0
2017-08-22,3110.0,-0.7315112540192903,0,5.968176695373382,5,-1
2017-08-23,3089.5,1.6831202459945072,1,9.31420288373805,5,0
2017-08-24,3112.25,2.3375371515784504,1,10.034533741724443,5,0
2017-08-25,3055.25,4.909581867277635,1,3.6829490052609946,5,-1
2017-08-29,3103.0,1.1279407025459154,0,2.1312417610378582,5,-1
2017-08-30,3087.25,0.1376629686614228,0,4.156055745767583,5,-1
2017-08-31,3141.5,-0.5093108387712929,0,3.0006110414355063,5,-1
2017-09-01,3185.0,-4.913657770800628,-1,-0.4131024911156994,5,-1
2017-09-04,3205.25,-3.8842523984088606,-1,3.676542942199867,5,-1
2017-09-05,3138.0,-2.613129381771828,-1,6.698168890758816,5,0
2017-09-06,3091.5,-2.2400129387028955,-1,0.9342588362518016,5,-1
2017-09-07,3125.5,-3.71940489521676,-1,-3.346642901294625,5,-1
2017-09-08,3028.5,0.4622750536569242,0,-2.9650837122104345,5,-1
2017-09-11,3080.75,1.5174876247666889,0,5.093570636716457,5,-1
2017-09-12,3056.0,2.2660340314136107,1,-0.5539049870407585,5,-1
2017-09-13,3022.25,4.2021672594920965,1,1.1999928533195507,5,-1
2017-09-14,3009.25,3.5889341197972824,1,5.1060266633676905,5,-1
2017-09-15,3042.5,1.133935907970418,0,2.883123614685683,5,-1
2017-09-18,3127.5,1.1191047162270262,0,-2.630919091589431,5,-1
2017-09-19,3125.25,1.367890568754504,0,-2.065424568230384,5,-1
2017-09-20,3149.25,0.007938398031281935,0,-0.3311873072358938,5,-1
2017-09-21,3117.25,2.269628679124236,1,1.272622190104877,5,-1
2017-09-22,3077.0,4.168020799480022,1,1.0743906300029216,5,-1
2017-09-25,3162.5,3.49407114624507,1,3.0000601343139413,5,-1
2017-09-26,3168.0,4.5928030303030285,1,5.079789972007973,5,-1
2017-09-27,3149.5,6.826480393713298,1,6.045499861146421,5,-1
2017-09-28,3188.0,5.191342534504394,1,4.954308984400496,5,-1
2017-09-29,3205.25,2.8780906325559514,1,3.946414594618727,5,-1
2017-10-09,3301.0,-2.211451075431692,-1,6.106145088330948,5,0
2017-10-10,3352.0,-7.22702863961814,-1,7.842212252387514,5,0
2017-10-11,3295.0,-3.520485584218513,-1,6.417339408527786,5,0
2017-10-12,3341.0,-5.118228075426524,-1,3.2358843951773326,5,-1
2017-10-13,3294.0,-4.310868245294475,-1,1.733866564745086,5,-1
2017-10-16,3228.0,-1.3011152416356864,-1,7.940714730016698,5,0
2017-10-17,3109.75,4.365302677064076,1,4.510176453658671,5,-1
2017-10-18,3179.0,2.831078955646426,1,0.14793454072980666,5,-1
2017-10-19,3170.0,3.280757097791809,1,4.0764592445101435,5,-1
2017-10-20,3152.0,2.4746192893400965,1,6.273522690007,5,0
2017-10-23,3186.0,2.6679221594475777,1,5.764295663498437,5,-1
2017-10-24,3245.5,2.3571098443999405,1,4.658390395302608,5,-1
2017-10-25,3269.0,1.7283572958091131,1,4.232163087151862,5,-1
2017-10-26,3274.0,0.6719609040928498,0,6.371064012918142,5,0
2017-10-27,3230.0,0.6501547987616041,0,5.102242325875177,5,-1
2017-10-30,3271.0,-0.21400183430143604,0,0.4046762037947024,5,-1
2017-10-31,3322.0,-3.612281757977121,-1,3.752389792541349,5,-1
2017-11-01,3325.5,-2.6762892798075533,-1,6.387850545982258,5,0
2017-11-02,3296.0,-2.0479368932038837,-1,5.333750371695051,5,-1
2017-11-03,3251.0,0.4998462011688742,0,5.559067139777952,5,-1
2017-11-06,3264.0,-0.6740196078431349,0,-0.6980904431855515,5,-1
2017-11-07,3202.0,-0.562148657089323,0,0.5750309734416161,5,-1
2017-11-08,3236.5,-1.3440444925073347,-1,0.9246628284182098,5,-1
2017-11-09,3228.5,-1.3783490785194363,-1,2.6344166732002834,5,-1
2017-11-10,3267.25,-1.583900834034735,-1,0.3381088490328373,5,-1
2017-11-13,3242.0,-1.4188772362739075,-1,1.3049752829840229,5,-1
