date,LMZSDY,return_3d,discrete_3d,score,horizon,discrete_score
2018-01-03,3346.5,1.7480950246526294,1,3.664826154114417,3,1
2018-01-04,3384.5,-1.0045797015807325,-1,4.913567550872443,3,1
2018-01-05,3380.0,-0.6434911242603536,-1,5.389656127934997,3,1
2018-01-08,3405.0,0.20558002936856834,0,4.392379152081001,3,1
2018-01-09,3350.5,2.5369347858528624,1,7.516442078159064,3,1
2018-01-10,3358.25,3.327625995682282,1,9.233870105601085,3,1
2018-01-11,3412.0,1.1063892145369179,0,3.2961658602667065,3,1
2018-01-12,3435.5,-0.8004657255130221,-1,-1.5244101493479374,3,-1
2018-01-15,3470.0,-2.0172910662824233,-1,-3.856129036636715,3,-1
2018-01-16,3449.75,-0.28262917602724924,0,-5.816888893462731,3,-1
2018-01-17,3408.0,0.9242957746478764,0,-4.296161734448435,3,-1
2018-01-18,3400.0,0.9632352941176371,0,1.0268412758028005,3,0
2018-01-19,3440.0,0.7122093023255838,0,1.2308899801748467,3,0
2018-01-22,3439.5,1.831661578717836,1,-5.469948328441878,3,-1
2018-01-23,3432.75,2.5271283956011863,1,-6.738162687092519,3,-1
2018-01-24,3464.5,3.9255303795641567,1,-4.851709586048863,3,-1
2018-01-25,3502.5,1.2491077801570327,0,-1.9762455535351728,3,-1
2018-01-26,3519.5,2.15939764171047,1,0.7188955110267609,3,0
2018-01-29,3600.5,0.1527565615886628,0,0.5802560818698855,3,0
2018-01-30,3546.25,0.11279520620373075,0,0.2612137373294175,3,0
2018-01-31,3595.5,0.006953135864273818,0,1.427826200730873,3,0
2018-02-01,3606.0,-2.724625623960064,-1,1.6921617039542078,3,0
2018-02-02,3550.25,-3.415252447010775,-1,1.457764524721442,3,0
2018-02-05,3595.75,-3.6014739623166263,-1,-0.19773139007952725,3,0
2018-02-06,3507.75,-2.729670016392272,-1,0.022693627415263925,3,0
2018-02-07,3429.0,-0.5978419364246146,-1,0.5441731073738085,3,0
2018-02-08,3466.25,0.7573025604038941,0,0.054442700254326,3,0
2018-02-09,3412.0,5.246189917936683,1,-1.0711723400608242,3,0
2018-02-12,3408.5,5.456945870617581,1,-1.8358039182780044,3,-1
