date,LMAHDY,return_1d,discrete_1d,score,horizon,discrete_score
2017-01-04,1696.0,0.8107311320754818,1,-9.736287994200005,1,-1
2017-01-05,1709.75,0.6579909343471302,1,-8.906167354448794,1,-1
2017-01-06,1721.0,0.8280069726902983,1,-13.438789729845915,1,-1
2017-01-09,1735.25,1.282235989050573,1,8.272473242187463,1,1
2017-01-10,1757.5,0.2844950213371167,0,1.6469117556715158,1,1
2017-01-11,1762.5,1.6170212765957537,1,-5.962067519831611,1,-1
2017-01-12,1791.0,1.1166945840312748,1,-7.415399828960692,1,-1
2017-01-13,1811.0,-0.7454445057978987,-1,-5.9969861877307125,1,-1
2017-01-16,1797.5,0.2642559109874876,0,-4.804931023577593,1,-1
2017-01-17,1802.25,2.0391177694548457,1,-2.3137898563048584,1,0
2017-01-18,1839.0,-0.271886895051654,0,-0.12914810376515845,1,0
2017-01-19,1834.0,1.022355507088335,1,-0.1484022152581385,1,0
2017-01-20,1852.75,0.10794764539199253,0,-5.481418831441308,1,-1
2017-01-23,1854.75,0.8626499528238352,1,-10.330446085264583,1,-1
2017-01-24,1870.75,-1.817452893224647,-1,-9.271911381809405,1,-1
2017-01-25,1836.75,-0.9527698380291328,-1,-10.209187705314033,1,-1
2017-01-26,1819.25,-0.21987082588978968,0,-6.2255933734516855,1,-1
2017-02-01,1811.0,0.3727222528989493,1,2.71397,1,1
2017-02-02,1817.75,0.2200522624123291,0,-10.110749714785698,1,-1
2017-02-03,1821.75,-0.06861534239055445,0,-9.142444356244619,1,-1
2017-02-06,1820.5,-0.4119747322164247,0,-13.244622189484506,1,-1
2017-02-07,1813.0,0.9376723662438023,1,-1.4190108809703228,1,0
2017-02-08,1830.0,0.2732240437158362,0,0.4946758638496077,1,0
2017-02-09,1835.0,1.7029972752043545,1,-4.514823288543585,1,-1
2017-02-10,1866.25,0.09377093101139433,0,-5.498372174900856,1,-1
2017-02-13,1868.0,0.3747323340471009,1,-0.6731809979034,1,0
2017-02-14,1875.0,1.306666666666656,1,-7.190406494578934,1,-1
2017-02-15,1899.5,-0.8291655698868139,-1,-10.076842253398958,1,-1
2017-02-16,1883.75,-0.8228268082282719,-1,-7.21490753691021,1,-1
2017-02-17,1868.25,1.1106650608858626,1,-4.0787642147186265,1,-1
2017-02-20,1889.0,-0.7278983589200649,-1,3.368284796486345,1,1
2017-02-21,1875.25,0.013331555792550631,0,-5.280586630880939,1,-1
2017-02-22,1875.5,-0.7997867235403855,-1,-7.049088658300415,1,-1
2017-02-23,1860.5,1.3571620532115023,1,-2.0494591522255754,1,0
2017-02-24,1885.75,0.7291528569534744,1,-5.161965211372455,1,-1
2017-02-27,1899.5,1.0660700184258909,1,-6.317669119669103,1,-1
2017-02-28,1919.75,1.185050136736554,1,-3.446426819251752,1,0
2017-03-01,1942.5,-2.0463320463320445,-1,-4.792930115966375,1,-1
2017-03-02,1902.75,-0.9985547234266146,-1,-6.690505322147674,1,-1
2017-03-03,1883.75,-0.9555408095554108,-1,-3.7782070787257798,1,-1
2017-03-06,1865.75,0.0,0,-7.149123193974313,1,-1
2017-03-07,1865.75,0.1071954977891032,0,-4.9380588311477664,1,-1
2017-03-08,1867.75,-0.6692544505421005,-1,-1.9040303423502964,1,0
2017-03-09,1855.25,0.6737636437137873,1,-0.3222324247135087,1,0
2017-03-10,1867.75,-0.1204658010975801,0,1.2355876010268738,1,1
2017-03-13,1865.5,-1.098901098901095,-1,-7.581094844544449,1,-1
2017-03-14,1845.0,1.5447154471544655,1,-8.77547887293072,1,-1
2017-03-15,1873.5,0.6938884440885973,1,2.302010149756668,1,1
2017-03-16,1886.5,0.7951232441028466,1,5.728733233044935,1,1
2017-03-17,1901.5,0.4338679989482008,1,-3.855080950201475,1,-1
2017-03-20,1909.75,0.209451498887292,0,-2.969131453274034,1,0
2017-03-21,1913.75,-0.10450685826257633,0,-3.4120962772925143,1,0
2017-03-22,1911.75,0.5753890414541551,1,-6.5128095684085086,1,-1
2017-03-23,1922.75,0.3120530490183349,0,-5.673709625635835,1,-1
2017-03-24,1928.75,-0.4018146467919648,0,-4.3583715510083945,1,-1
2017-03-27,1921.0,0.7548152004164477,1,-6.908248967254338,1,-1
2017-03-28,1935.5,0.9041591320072316,1,-3.7663744584402234,1,-1
2017-03-29,1953.0,0.4608294930875667,1,0.7535665923584618,1,1
2017-03-30,1962.0,-0.4969418960244609,0,-3.7157482904802737,1,-1
2017-03-31,1952.25,-0.614675374567808,-1,-0.4071919059739781,1,0
2017-04-05,1948.0,-0.4235112936344931,0,-1.5389932505941641,1,0
2017-04-06,1939.75,0.3737595050908649,1,-0.1777379713213249,1,0
2017-04-07,1947.0,-1.823317925012835,-1,-6.522010437864951,1,-1
2017-04-10,1911.5,-0.3269683494637743,0,-9.327484664206072,1,-1
2017-04-11,1905.25,-1.115339194331455,-1,-5.874940166893934,1,-1
2017-04-12,1884.0,0.5838641188959715,1,-6.842422524792585,1,-1
2017-04-13,1895.0,-1.0290237467018517,-1,-11.809854385063574,1,-1
2017-04-18,1875.5,0.6931484937350074,1,3.746378095723978,1,1
2017-04-19,1888.5,2.316653428647064,1,10.404420559423881,1,1
2017-04-20,1932.25,-0.4916548065726501,0,5.455370912617261,1,1
2017-04-21,1922.75,0.8061370432973503,1,-3.6982114819176637,1,-1
2017-04-24,1938.25,0.851283374177747,1,5.253008035371126,1,1
2017-04-25,1954.75,0.0639467962655127,0,-4.9508923397768285,1,-1
2017-04-26,1956.0,-2.108895705521474,-1,-7.603189278802526,1,-1
2017-04-27,1914.75,-0.6136571353962617,-1,-2.000544460479975,1,0
2017-04-28,1903.0,0.9852863899106667,1,-2.750950158611877,1,0
2017-05-02,1921.75,-0.3252244048393416,0,-5.398730420615972,1,-1
2017-05-03,1915.5,-0.4698512137823019,0,0.11446436729912013,1,0
2017-05-04,1906.5,-0.5638604773144484,0,-1.1806033933104805,1,0
2017-05-05,1895.75,-1.1868653567189802,-1,-3.2934885890394594,1,0
2017-05-08,1873.25,-0.4537568397170677,0,-23.44210111156091,1,-1
2017-05-09,1864.75,-0.2815390803056705,0,-15.303032832048546,1,-1
2017-05-10,1859.5,0.5377789728421511,1,-9.087130739213267,1,-1
2017-05-11,1869.5,0.8558438085049414,1,-6.100133888916652,1,-1
2017-05-12,1885.5,0.8883585255900384,1,-10.14415996793398,1,-1
2017-05-15,1902.25,0.9725325272703422,1,-14.122679653033721,1,-1
2017-05-16,1920.75,0.05206299622544375,0,-12.049716285162384,1,-1
2017-05-17,1921.75,-0.03902692858072099,0,-9.910767277168095,1,-1
2017-05-18,1921.0,1.0801665799063054,1,-7.534937405691575,1,-1
2017-05-19,1941.75,-0.3218745976567572,0,-4.9301458527698205,1,-1
2017-05-22,1935.5,0.25833118057350113,0,-4.196784017156043,1,-1
2017-05-23,1940.5,0.10306622004638832,0,2.4800166240915966,1,1
2017-05-24,1942.5,0.8108108108108025,1,10.363794961558458,1,1
2017-05-25,1958.25,-0.4851270266819863,0,-3.1259043210758883,1,0
2017-05-26,1948.75,-1.3341885824246336,-1,-15.047288686805725,1,-1
2017-05-31,1925.75,-0.09087368557705312,0,-7.870225247827319,1,-1
2017-06-01,1924.0,0.2728690228690267,0,-14.422305890699489,1,-1
2017-06-02,1929.25,-1.5135415316833043,-1,-20.527762428352858,1,-1
2017-06-05,1900.05,-0.0947343490960706,0,1.6787867108007974,1,1
2017-06-06,1898.25,0.2370604504148499,0,-2.7506306879786555,1,0
2017-06-07,1902.75,-0.2102220470371785,0,-7.834987753181948,1,-1
2017-06-08,1898.75,0.13166556945358732,0,-3.491690524114485,1,0
2017-06-09,1901.25,-1.1439842209073017,-1,-7.577003877637598,1,-1
2017-06-12,1879.5,-0.05320563979781534,0,-9.815494548744182,1,-1
2017-06-13,1878.5,-0.31940377961139355,0,-6.154879963013,1,-1
2017-06-14,1872.5,-0.6008010680907838,-1,-5.367724953948473,1,-1
2017-06-15,1861.25,-0.28206850235057424,0,-2.332299179594625,1,0
2017-06-16,1856.0,0.9967672413793148,1,2.122350267388223,1,1
2017-06-19,1874.5,0.10669511869831894,0,-7.899047997488236,1,-1
2017-06-20,1876.5,-0.9992006394884068,-1,-9.19020649820266,1,-1
2017-06-21,1857.75,0.18839994617143585,0,-6.495524287597724,1,-1
2017-06-22,1861.25,-0.21490933512424704,0,-4.895344118582061,1,-1
2017-06-23,1857.25,-0.12114685691210215,0,-4.8723157950005085,1,-1
2017-06-26,1855.0,1.1725067385444763,1,-2.595998218048781,1,0
2017-06-27,1876.75,0.7592913280937807,1,-2.5294169177540877,1,0
2017-06-28,1891.0,1.0444209413009051,1,-2.071240486663903,1,0
2017-06-29,1910.75,0.14392254350386047,0,-1.7124622086633097,1,0
2017-06-30,1913.5,0.391951920564404,1,-1.4415831897810223,1,0
