date,LMPBDY,return_60d,discrete_60d,score,horizon,discrete_score
2018-01-04,2593.5,-7.673028725660303,-1,10.64329229770639,60,1
2018-01-05,2546.75,-6.017473250220872,-1,7.2658894187597225,60,1
2018-01-09,2554.5,-6.899588960657664,-1,-2.6965739497306735,60,0
2018-01-10,2560.5,-6.629564538176137,-1,-0.8064060955285747,60,0
2018-01-11,2553.25,-6.609223538627241,-1,10.891900819673069,60,1
2018-01-12,2543.75,-6.014742014742013,-1,10.977704203305896,60,1
2018-01-15,2583.0,-6.833139759969032,-1,3.0764144411545016,60,1
2018-01-16,2542.0,-8.339889850511407,-1,5.528133099309171,60,1
2018-01-17,2541.0,-9.248327430145608,-1,4.5642613717663805,60,1
2018-01-18,2606.25,-8.853717026378893,-1,1.089403436714181,60,1
2018-01-19,2582.25,-9.052183173588924,-1,0.09164178280911868,60,1
2018-01-23,2605.25,-10.555608866711454,-1,-13.020925336252027,60,-1
2018-01-24,2638.5,-10.67841576653401,-1,-9.55487492964435,60,-1
2018-01-25,2599.25,-11.128210060594402,-1,-6.0656623822602995,60,-1
2018-01-26,2594.0,-11.237471087124131,-1,-3.361716623679484,60,0
2018-01-29,2601.5,-11.51258889102441,-1,0.4515403428970202,60,1
2018-01-30,2588.5,-9.899555727255171,-1,8.221494879004156,60,1
2018-01-31,2620.5,-10.50372066399542,-1,13.376397936274559,60,1
2018-02-01,2686.5,-13.60506234878094,-1,4.109304544114029,60,1
2018-02-02,2703.75,-15.145631067961162,-1,6.082156714953885,60,1
2018-02-05,2660.75,-14.713896457765665,-1,-5.232098805910085,60,-1
2018-02-06,2623.25,-13.990279233774896,-1,-1.2647026046191592,60,0
2018-02-07,2513.0,-7.898925586947869,-1,8.634554285353284,60,1
2018-02-08,2533.5,-9.897375172686008,-1,13.104742291315668,60,1
2018-02-09,2536.0,-9.907334384858046,-1,14.911099935295553,60,1
2018-02-13,2564.5,-9.036849288360305,-1,18.71316494459854,60,1
2018-02-14,2582.0,-8.075135553834231,-1,-0.06599973744826793,60,1
2018-02-26,2585.0,-3.7524177949709863,-1,-3.181659591846902,60,0
2018-02-27,2576.25,-5.76419213973799,-1,2.5811605092425727,60,1
2018-02-28,2496.0,-2.4439102564102533,-1,5.730095877789202,60,1
2018-03-01,2438.25,-0.6767148569670867,-1,3.746723009182869,60,1
2018-03-02,2442.25,0.15354693417954926,-1,9.50461731319038,60,1
2018-03-06,2432.0,2.7754934210526327,0,6.473811447878981,60,1
2018-03-08,2335.5,7.84628559195033,0,14.106215107779155,60,1
2018-03-09,2374.75,6.169070428466151,0,12.223196542754845,60,1
2018-03-13,2392.25,2.7484585641132764,0,2.9183941867188143,60,1
2018-03-14,2406.75,2.2125272670613816,0,-0.2506363324371981,60,1
2018-03-15,2414.25,2.4024024024023927,0,4.4231435043159975,60,1
2018-03-16,2383.75,2.307288935500784,0,9.699999914163843,60,1
2018-03-20,2352.0,2.79549319727892,0,3.736367247098274,60,1
2018-03-21,2401.0,-0.1457725947521915,-1,0.2691895624068388,60,1
2018-03-22,2363.75,0.9201480698043384,-1,3.5401620914685545,60,1
2018-03-23,2339.5,0.9831160504381264,-1,5.9361133374567485,60,1
2018-03-27,2409.0,0.17642175176422192,-1,6.307843683161465,60,1
2018-03-28,2428.5,-1.1117974058060476,-1,7.323479904750337,60,1
2018-03-29,2394.5,1.3990394654416427,0,0.9917710633445656,60,1
2018-04-17,2348.5,-6.631892697466467,-1,4.494518888874489,60,1
2018-04-20,2356.75,-8.899968176514275,-1,28.918787410391484,60,1
2018-04-24,2302.5,-8.93593919652551,-1,1.6632002292750945,60,1
2018-04-25,2302.0,-8.101650738488274,-1,4.5438065538477455,60,1
2018-04-26,2332.25,-9.486547325544004,-1,7.238999570770413,60,1
2018-05-02,2269.25,-6.169439242040321,-1,6.2024532048534375,60,1
2018-05-03,2256.25,-5.218836565096952,-1,10.49355097410408,60,1
2018-05-04,2314.5,-7.51782242384964,-1,9.882415948226141,60,1
2018-05-09,2284.75,-7.954918481234275,-1,5.81557934246233,60,1
2018-05-10,2292.5,-8.189749182115591,-1,7.584125915220796,60,1
2018-05-11,2332.75,-9.827456864216057,-1,6.997368504764137,60,1
2018-05-15,2332.0,-9.06946826758147,-1,20.00439552756455,60,1
2018-05-16,2322.25,-9.958014856281627,-1,15.450608018999198,60,1
2018-05-17,2357.0,-11.635553669919386,-1,8.170137646339866,60,1
2018-05-18,2314.5,-8.813998703823723,-1,3.29066613761529,60,1
2018-05-22,2468.0,-22.974068071312804,-1,6.88528633763217,60,1
2018-05-23,2469.0,-18.428513568246245,-1,1.9732182034561392,60,1
2018-05-24,2488.0,-21.121382636655948,-1,3.1687845763153955,60,1
2018-05-25,2427.75,-19.76109566471013,-1,2.6503446811094338,60,1
2018-05-30,2421.75,-17.745432022297926,-1,12.262878628798578,60,1
2018-05-31,2446.0,-16.537203597710548,-1,15.097018720680614,60,1
2018-06-01,2432.75,-14.952214571986431,-1,-4.686734227486996,60,-1
2018-06-04,2499.5,-17.39347869573915,-1,5.2768789330291614,60,1
2018-06-05,2508.5,-17.420769384094086,-1,8.525709076815895,60,1
2018-06-06,2518.75,-18.40198511166253,-1,2.928950808204283,60,1
2018-06-07,2521.25,-18.393653941497266,-1,7.135018353039013,60,1
2018-06-08,2451.75,-14.18374630366065,-1,8.830400230854716,60,1
2018-06-12,2460.0,-17.398373983739837,-1,3.968197798469409,60,1
2018-06-13,2472.25,-18.555971281221566,-1,3.4083528621552324,60,1
