,LEPB
1998-09-03,111350.0
1998-09-04,111350.0
1998-09-07,111375.0
1998-09-08,111300.0
1998-09-09,111150.0
1998-09-10,110775.0
1998-09-11,110775.0
1998-09-14,112775.0
1998-09-15,114425.0
1998-09-16,114425.0
1998-09-17,114425.0
1998-09-18,114425.0
1998-09-21,114275.0
1998-09-22,112150.0
1998-09-23,112125.0
1998-09-24,111025.0
1998-09-25,110900.0
1998-09-28,110825.0
1998-09-29,110775.0
1998-09-30,111850.0
1998-10-01,111825.0
1998-10-02,111075.0
1998-10-05,112425.0
1998-10-06,112150.0
1998-10-07,111875.0
1998-10-08,112150.0
1998-10-09,110350.0
1998-10-12,109225.0
1998-10-13,109225.0
1998-10-14,109225.0
1998-10-15,109225.0
1998-10-16,110025.0
1998-10-19,109650.0
1998-10-20,108125.0
1998-10-21,108100.0
1998-10-22,108100.0
1998-10-23,107525.0
1998-10-27,107425.0
1998-10-28,108875.0
1998-10-29,108600.0
1998-10-30,108325.0
1998-11-02,108175.0
1998-11-03,108275.0
1998-11-04,108275.0
1998-11-05,108150.0
1998-11-06,108025.0
1998-11-09,108175.0
1998-11-10,108450.0
1998-11-11,108425.0
1998-11-12,105150.0
1998-11-13,105700.0
1998-11-16,105600.0
1998-11-17,105600.0
1998-11-18,105800.0
1998-11-19,105400.0
1998-11-20,105325.0
1998-11-23,105325.0
1998-11-24,105325.0
1998-11-25,105125.0
1998-11-26,105200.0
1998-11-27,105300.0
1998-11-30,105300.0
1998-12-01,105300.0
1998-12-02,105575.0
1998-12-03,105575.0
1998-12-04,105500.0
1998-12-07,105325.0
1998-12-08,106750.0
1998-12-09,107875.0
1998-12-10,107875.0
1998-12-11,107800.0
1998-12-14,108525.0
1998-12-15,108525.0
1998-12-16,108425.0
1998-12-17,109925.0
1998-12-18,109900.0
1998-12-21,109000.0
1998-12-22,108325.0
1998-12-23,107975.0
1998-12-24,107950.0
1998-12-29,107950.0
1998-12-31,107200.0
1999-01-04,107200.0
1999-01-05,107200.0
1999-01-06,105525.0
1999-01-07,105525.0
1999-01-08,105525.0
1999-01-11,105475.0
1999-01-12,105750.0
1999-01-13,106150.0
1999-01-14,106100.0
1999-01-15,106100.0
1999-01-18,105500.0
1999-01-19,105525.0
1999-01-20,105575.0
1999-01-21,105600.0
1999-01-22,105600.0
1999-01-25,105325.0
1999-01-26,105325.0
1999-01-27,105375.0
1999-01-28,105100.0
1999-01-29,104450.0
1999-02-01,103725.0
1999-02-02,103825.0
1999-02-03,103825.0
1999-02-04,103825.0
1999-02-05,103725.0
1999-02-08,103650.0
1999-02-09,105925.0
1999-02-10,106975.0
1999-02-11,106975.0
1999-02-12,106975.0
1999-02-15,106525.0
1999-02-16,106625.0
1999-02-17,106575.0
1999-02-18,106625.0
1999-02-19,105950.0
1999-02-22,106025.0
1999-02-23,106200.0
1999-02-24,106225.0
1999-02-25,106500.0
1999-02-26,106050.0
1999-03-01,106200.0
1999-03-02,106250.0
1999-03-03,106250.0
1999-03-04,105625.0
1999-03-05,104850.0
1999-03-08,104925.0
1999-03-09,104925.0
1999-03-10,104975.0
1999-03-11,104975.0
1999-03-12,104200.0
1999-03-15,103200.0
1999-03-16,102825.0
1999-03-17,102775.0
1999-03-18,102775.0
1999-03-19,102725.0
1999-03-22,102600.0
1999-03-23,102675.0
1999-03-24,101075.0
1999-03-25,100600.0
1999-03-26,100600.0
1999-03-29,100600.0
1999-03-30,100675.0
1999-03-31,101875.0
1999-04-01,101475.0
1999-04-06,101325.0
1999-04-07,101500.0
1999-04-08,101500.0
1999-04-09,100800.0
1999-04-12,100825.0
1999-04-13,102900.0
1999-04-14,102750.0
1999-04-15,102000.0
1999-04-16,102300.0
1999-04-19,101525.0
1999-04-20,101550.0
1999-04-21,103900.0
1999-04-22,104250.0
1999-04-23,104325.0
1999-04-26,104200.0
1999-04-27,104200.0
1999-04-28,104575.0
1999-04-29,104675.0
1999-04-30,104625.0
1999-05-04,104625.0
1999-05-05,104175.0
1999-05-06,104475.0
1999-05-07,104575.0
1999-05-10,104700.0
1999-05-11,105175.0
1999-05-12,106725.0
1999-05-13,108925.0
1999-05-14,109025.0
1999-05-17,109025.0
1999-05-18,109025.0
1999-05-19,109025.0
1999-05-20,110350.0
1999-05-21,109950.0
1999-05-24,112600.0
1999-05-25,112650.0
1999-05-26,114675.0
1999-05-27,115125.0
1999-05-28,119175.0
1999-06-01,119000.0
1999-06-02,119400.0
1999-06-03,122075.0
1999-06-04,123000.0
1999-06-07,123725.0
1999-06-08,123625.0
1999-06-09,124125.0
1999-06-10,124750.0
1999-06-11,123725.0
1999-06-14,124025.0
1999-06-15,123925.0
1999-06-16,124800.0
1999-06-17,127625.0
1999-06-18,129975.0
1999-06-21,129925.0
1999-06-22,129925.0
1999-06-23,130350.0
1999-06-24,131300.0
1999-06-25,131050.0
1999-06-28,131575.0
1999-06-29,131950.0
1999-06-30,131950.0
1999-07-01,132475.0
1999-07-02,132475.0
1999-07-05,132475.0
1999-07-06,132475.0
1999-07-07,132475.0
1999-07-08,131475.0
1999-07-09,131500.0
1999-07-12,131450.0
1999-07-13,130150.0
1999-07-14,130050.0
1999-07-15,130050.0
1999-07-16,129500.0
1999-07-19,129400.0
1999-07-20,129225.0
1999-07-21,131700.0
1999-07-22,134450.0
1999-07-23,134400.0
1999-07-26,134450.0
1999-07-27,135625.0
1999-07-28,135425.0
1999-07-29,135425.0
1999-07-30,136125.0
1999-08-02,137050.0
1999-08-03,137050.0
1999-08-04,136975.0
1999-08-05,136975.0
1999-08-06,135475.0
1999-08-09,134475.0
1999-08-10,134950.0
1999-08-11,133975.0
1999-08-12,134075.0
1999-08-13,134725.0
1999-08-16,134450.0
1999-08-17,134425.0
1999-08-18,134400.0
1999-08-19,135275.0
1999-08-20,135275.0
1999-08-23,135600.0
1999-08-24,135275.0
1999-08-25,135200.0
1999-08-26,135150.0
1999-08-27,135125.0
1999-08-31,135125.0
1999-09-01,134950.0
1999-09-02,134550.0
1999-09-03,134550.0
1999-09-06,134550.0
1999-09-07,133875.0
1999-09-08,133725.0
1999-09-09,133625.0
1999-09-10,133625.0
1999-09-13,133625.0
1999-09-14,134225.0
1999-09-15,136000.0
1999-09-16,140300.0
1999-09-17,139850.0
1999-09-20,141750.0
1999-09-21,149325.0
1999-09-22,148975.0
1999-09-23,149600.0
1999-09-24,150800.0
1999-09-27,152700.0
1999-09-28,152625.0
1999-09-29,152625.0
1999-09-30,152625.0
1999-10-01,152450.0
1999-10-04,151925.0
1999-10-05,151850.0
1999-10-06,154950.0
1999-10-07,159450.0
1999-10-08,159250.0
1999-10-11,159175.0
1999-10-12,159175.0
1999-10-13,159175.0
1999-10-14,159125.0
1999-10-15,158825.0
1999-10-18,158700.0
1999-10-19,158575.0
1999-10-20,160050.0
1999-10-21,159725.0
1999-10-22,168550.0
1999-10-25,168450.0
1999-10-26,168350.0
1999-10-27,168350.0
1999-10-28,169025.0
1999-10-29,168125.0
1999-11-01,168100.0
1999-11-02,168075.0
1999-11-03,168475.0
1999-11-04,168425.0
1999-11-05,167700.0
1999-11-08,169325.0
1999-11-09,171800.0
1999-11-10,170625.0
1999-11-11,170575.0
1999-11-12,170575.0
1999-11-15,170450.0
1999-11-16,170025.0
1999-11-17,169975.0
1999-11-18,171100.0
1999-11-19,170900.0
1999-11-22,170700.0
1999-11-23,172925.0
1999-11-24,173400.0
1999-11-25,172500.0
1999-11-26,172900.0
1999-11-29,173150.0
1999-11-30,173850.0
1999-12-01,173800.0
1999-12-02,173800.0
1999-12-03,173450.0
1999-12-06,173350.0
1999-12-07,171950.0
1999-12-08,176625.0
1999-12-09,176550.0
1999-12-10,176625.0
1999-12-13,176225.0
1999-12-14,176225.0
1999-12-15,176225.0
1999-12-16,176175.0
1999-12-17,177625.0
1999-12-20,176350.0
1999-12-21,176275.0
1999-12-22,176275.0
1999-12-23,175875.0
1999-12-24,175550.0
1999-12-29,175500.0
1999-12-30,175150.0
2000-01-04,175125.0
2000-01-05,175125.0
2000-01-06,175250.0
2000-01-07,174925.0
2000-01-10,174925.0
2000-01-11,177900.0
2000-01-12,179025.0
2000-01-13,183275.0
2000-01-14,184175.0
2000-01-17,183475.0
2000-01-18,183475.0
2000-01-19,182975.0
2000-01-20,181775.0
2000-01-21,181825.0
2000-01-24,181700.0
2000-01-25,185200.0
2000-01-26,183475.0
2000-01-27,183150.0
2000-01-28,182750.0
2000-01-31,182050.0
2000-02-01,182050.0
2000-02-02,181775.0
2000-02-03,185225.0
2000-02-04,188225.0
2000-02-07,188050.0
2000-02-08,188050.0
2000-02-09,187650.0
2000-02-10,187650.0
2000-02-11,187275.0
2000-02-14,187250.0
2000-02-15,186875.0
2000-02-16,188375.0
2000-02-17,188325.0
2000-02-18,188525.0
2000-02-21,188375.0
2000-02-22,189750.0
2000-02-23,190350.0
2000-02-24,191225.0
2000-02-25,191100.0
2000-02-28,190975.0
2000-02-29,190875.0
2000-03-01,190875.0
2000-03-02,190325.0
2000-03-03,190025.0
2000-03-06,189900.0
2000-03-07,189275.0
2000-03-08,189275.0
2000-03-09,189275.0
2000-03-10,189475.0
2000-03-13,189450.0
2000-03-14,189250.0
2000-03-15,190100.0
2000-03-16,190075.0
2000-03-17,190000.0
2000-03-20,189750.0
2000-03-21,189750.0
2000-03-22,194700.0
2000-03-23,197350.0
2000-03-24,197300.0
2000-03-27,197300.0
2000-03-28,196075.0
2000-03-29,196050.0
2000-03-30,195825.0
2000-03-31,196550.0
2000-04-03,196150.0
2000-04-04,196775.0
2000-04-05,196775.0
2000-04-06,196725.0
2000-04-07,196725.0
2000-04-10,198575.0
2000-04-11,198575.0
2000-04-12,201125.0
2000-04-13,201075.0
2000-04-14,200975.0
2000-04-17,201050.0
2000-04-18,200700.0
2000-04-19,203000.0
2000-04-20,203450.0
2000-04-25,203450.0
2000-04-26,204900.0
2000-04-27,206050.0
2000-04-28,205950.0
2000-05-02,205900.0
2000-05-03,205900.0
2000-05-04,205775.0
2000-05-05,204600.0
2000-05-08,204125.0
2000-05-09,203975.0
2000-05-10,202875.0
2000-05-11,204250.0
2000-05-12,205700.0
2000-05-15,207075.0
2000-05-16,206975.0
2000-05-17,203475.0
2000-05-18,203450.0
2000-05-19,203275.0
2000-05-22,202275.0
2000-05-23,201125.0
2000-05-24,195125.0
2000-05-25,185075.0
2000-05-26,184800.0
2000-05-30,184550.0
2000-05-31,184425.0
2000-06-01,184100.0
2000-06-02,183300.0
2000-06-05,182975.0
2000-06-06,182975.0
2000-06-07,182875.0
2000-06-08,180850.0
2000-06-09,180850.0
2000-06-12,180800.0
2000-06-13,178425.0
2000-06-14,178400.0
2000-06-15,178350.0
2000-06-16,178350.0
2000-06-19,176250.0
2000-06-20,176175.0
2000-06-21,177350.0
2000-06-22,175500.0
2000-06-23,175300.0
2000-06-26,174875.0
2000-06-27,173750.0
2000-06-28,173225.0
2000-06-29,173100.0
2000-06-30,164800.0
2000-07-03,164725.0
2000-07-04,161550.0
2000-07-05,154250.0
2000-07-06,154050.0
2000-07-07,150500.0
2000-07-10,150275.0
2000-07-11,147100.0
2000-07-12,146875.0
2000-07-13,144700.0
2000-07-14,143450.0
2000-07-17,143300.0
2000-07-18,142250.0
2000-07-19,139950.0
2000-07-20,138475.0
2000-07-21,137725.0
2000-07-24,132525.0
2000-07-25,132425.0
2000-07-26,127825.0
2000-07-27,127500.0
2000-07-28,127400.0
2000-07-31,126900.0
2000-08-01,126900.0
2000-08-02,126875.0
2000-08-03,125825.0
2000-08-04,125775.0
2000-08-07,125250.0
2000-08-08,122150.0
2000-08-09,121725.0
2000-08-10,121300.0
2000-08-11,120575.0
2000-08-14,120575.0
2000-08-15,118575.0
2000-08-16,118575.0
2000-08-17,117925.0
2000-08-18,117000.0
2000-08-21,116850.0
2000-08-22,116850.0
2000-08-23,115300.0
2000-08-24,114875.0
2000-08-25,112725.0
2000-08-29,112425.0
2000-08-30,112425.0
2000-08-31,109275.0
2000-09-01,109275.0
2000-09-04,109175.0
2000-09-05,108625.0
2000-09-06,108625.0
2000-09-07,108525.0
2000-09-08,107950.0
2000-09-11,104650.0
2000-09-12,104400.0
2000-09-13,103400.0
2000-09-14,103300.0
2000-09-15,103125.0
2000-09-18,103125.0
2000-09-19,103325.0
2000-09-20,101775.0
2000-09-21,92375.0
2000-09-22,92275.0
2000-09-25,92475.0
2000-09-26,92325.0
2000-09-27,92025.0
2000-09-28,92175.0
2000-09-29,92375.0
2000-10-02,92425.0
2000-10-03,86725.0
2000-10-04,86150.0
2000-10-05,95000.0
2000-10-06,127775.0
2000-10-09,131900.0
2000-10-10,130350.0
2000-10-11,134375.0
2000-10-12,137950.0
2000-10-13,137950.0
2000-10-16,137575.0
2000-10-17,135925.0
2000-10-18,135850.0
2000-10-19,135200.0
2000-10-20,135150.0
2000-10-23,136175.0
2000-10-24,137025.0
2000-10-25,136825.0
2000-10-26,135725.0
2000-10-27,135550.0
2000-10-30,135875.0
2000-10-31,134775.0
2000-11-01,134675.0
2000-11-02,134425.0
2000-11-03,135400.0
2000-11-06,135350.0
2000-11-07,135275.0
2000-11-08,135225.0
2000-11-09,135100.0
2000-11-10,135100.0
2000-11-13,135100.0
2000-11-14,134975.0
2000-11-15,134775.0
2000-11-16,134575.0
2000-11-17,133775.0
2000-11-20,132775.0
2000-11-21,132650.0
2000-11-22,132650.0
2000-11-23,130175.0
2000-11-24,130175.0
2000-11-27,129925.0
2000-11-28,129925.0
2000-11-29,129425.0
2000-11-30,129300.0
2000-12-01,130250.0
2000-12-04,130250.0
2000-12-05,130100.0
2000-12-06,130025.0
2000-12-07,127700.0
2000-12-08,127900.0
2000-12-11,127850.0
2000-12-12,127925.0
2000-12-13,127925.0
2000-12-14,127925.0
2000-12-15,128900.0
2000-12-18,128075.0
2000-12-19,128025.0
2000-12-20,128025.0
2000-12-21,126700.0
2000-12-22,126650.0
2000-12-27,126300.0
2000-12-28,126275.0
2000-12-29,126625.0
2001-01-02,127550.0
2001-01-03,127800.0
2001-01-04,127750.0
2001-01-05,127600.0
2001-01-08,126375.0
2001-01-09,126350.0
2001-01-10,126350.0
2001-01-11,126350.0
2001-01-12,126350.0
2001-01-15,125350.0
2001-01-16,125350.0
2001-01-17,124225.0
2001-01-18,124200.0
2001-01-19,123575.0
2001-01-22,123575.0
2001-01-23,123000.0
2001-01-24,120275.0
2001-01-25,119700.0
2001-01-26,119675.0
2001-01-29,119675.0
2001-01-30,120175.0
2001-01-31,120175.0
2001-02-01,120475.0
2001-02-02,123450.0
2001-02-05,123550.0
2001-02-07,129975.0
2001-02-08,132800.0
2001-02-09,133125.0
2001-02-12,133125.0
2001-02-13,133125.0
2001-02-14,133125.0
2001-02-15,131525.0
2001-02-19,129175.0
2001-02-20,128375.0
2001-02-21,127675.0
2001-02-22,129100.0
2001-02-23,129100.0
2001-02-26,129100.0
2001-02-27,129300.0
2001-02-28,132550.0
2001-03-01,134275.0
2001-03-02,134450.0
2001-03-05,134525.0
2001-03-06,134675.0
2001-03-07,132275.0
2001-03-08,133100.0
2001-03-09,129275.0
2001-03-12,127825.0
2001-03-13,127900.0
2001-03-14,129400.0
2001-03-15,129400.0
2001-03-16,128900.0
2001-03-19,130025.0
2001-03-20,130025.0
2001-03-21,130900.0
2001-03-22,131675.0
2001-03-23,131625.0
2001-03-26,130750.0
2001-03-27,130725.0
2001-03-28,130475.0
2001-03-29,130600.0
2001-03-30,131300.0
2001-04-02,130900.0
2001-04-03,129575.0
2001-04-04,129275.0
2001-04-05,128925.0
2001-04-06,127925.0
2001-04-09,127400.0
2001-04-10,127025.0
2001-04-11,127575.0
2001-04-12,128225.0
2001-04-17,128175.0
2001-04-18,128650.0
2001-04-19,128400.0
2001-04-20,129125.0
2001-04-23,127025.0
2001-04-24,129000.0
2001-04-25,128750.0
2001-04-26,128700.0
2001-04-27,129325.0
2001-04-30,125400.0
2001-05-01,125150.0
2001-05-02,124550.0
2001-05-03,126925.0
2001-05-04,125525.0
2001-05-08,125050.0
2001-05-09,124850.0
