,LSPB
1974-06-28,21375.0
1974-07-05,20925.0
1974-07-12,20125.0
1974-07-19,18625.0
1974-07-26,18175.0
1974-08-02,17825.0
1974-08-09,17875.0
1974-08-16,18525.0
1974-08-23,15650.0
1974-08-30,14825.0
1974-09-06,13500.0
1974-09-13,14225.0
1974-09-20,14725.0
1974-09-27,14475.0
1974-10-04,13825.0
1974-10-11,14025.0
1974-10-18,13800.0
1974-10-25,14400.0
1974-11-01,15975.0
1974-11-08,17525.0
1974-11-15,18250.0
1974-11-22,18400.0
1974-11-29,19025.0
1974-12-06,19325.0
1974-12-13,19875.0
1974-12-20,19750.0
1974-12-27,19900.0
1975-01-03,19750.0
1975-01-10,20125.0
1975-01-17,22850.0
1975-01-24,23175.0
1975-01-31,25525.0
1975-02-07,26050.0
1975-02-14,26000.0
1975-02-21,26950.0
1975-02-28,27800.0
1975-03-07,27500.0
1975-03-14,28350.0
1975-03-21,32175.0
1975-03-28,31925.0
1975-04-04,30275.0
1975-04-11,31100.0
1975-04-18,36075.0
1975-04-25,34525.0
1975-05-02,37525.0
1975-05-09,36525.0
1975-05-16,36125.0
1975-05-23,36100.0
1975-05-30,40350.0
1975-06-06,41625.0
1975-06-13,40475.0
1975-06-20,41725.0
1975-06-27,46925.0
1975-07-04,53000.0
1975-07-11,55550.0
1975-07-18,57250.0
1975-07-25,57850.0
1975-08-01,63225.0
1975-08-08,63725.0
1975-08-15,65800.0
1975-08-22,66525.0
1975-08-29,68050.0
1975-09-05,68575.0
1975-09-12,69825.0
1975-09-19,70075.0
1975-09-26,74200.0
1975-10-03,74625.0
1975-10-10,76750.0
1975-10-17,79225.0
1975-10-24,79700.0
1975-10-31,81450.0
1975-11-07,81900.0
1975-11-14,81750.0
1975-11-21,81925.0
1975-11-28,81775.0
1975-12-05,81700.0
1975-12-12,84400.0
1975-12-19,85250.0
1975-12-26,85300.0
1976-01-02,85700.0
1976-01-09,86500.0
1976-01-16,88850.0
1976-01-23,88550.0
1976-01-30,89525.0
1976-02-06,87875.0
1976-02-13,88625.0
1976-02-20,87800.0
1976-02-27,87200.0
1976-03-04,86925.0
1976-03-11,86350.0
1976-03-18,85325.0
1976-03-25,86100.0
1976-04-01,85075.0
1976-04-08,83950.0
1976-04-15,83650.0
1976-04-22,83650.0
1976-04-29,83475.0
1976-05-06,77175.0
1976-05-13,76850.0
1976-05-20,76775.0
1976-05-27,77525.0
1976-06-03,78750.0
1976-06-10,78675.0
1976-06-17,80000.0
1976-06-24,80600.0
1976-07-01,80900.0
1976-07-08,80350.0
1976-07-15,81650.0
1976-07-22,82850.0
1976-07-29,81975.0
1976-08-05,79325.0
1976-08-12,80925.0
1976-08-19,78025.0
1976-08-26,75000.0
1976-09-02,76225.0
1976-09-09,74400.0
1976-09-16,70000.0
1976-09-23,65875.0
1976-09-30,64500.0
1976-10-07,65050.0
1976-10-14,64375.0
1976-10-21,64300.0
1976-10-28,65825.0
1976-11-04,65800.0
1976-11-11,66050.0
1976-11-18,67000.0
1976-11-25,67450.0
1976-12-02,68850.0
1976-12-09,69800.0
1976-12-16,69650.0
1976-12-23,69300.0
1976-12-30,65875.0
1977-01-07,66575.0
1977-01-14,66800.0
1977-01-21,66975.0
1977-01-28,67775.0
1977-02-04,69100.0
1977-02-11,68750.0
1977-02-18,68375.0
1977-02-25,68000.0
1977-03-04,69000.0
1977-03-11,70275.0
1977-03-18,70350.0
1977-03-25,68825.0
1977-04-01,68900.0
1977-04-08,64275.0
1977-04-15,61425.0
1977-04-22,62225.0
1977-04-29,64400.0
1977-05-06,66300.0
1977-05-13,68425.0
1977-05-20,66625.0
1977-05-27,67100.0
1977-06-03,67925.0
1977-06-10,67525.0
1977-06-17,66200.0
1977-06-24,65775.0
1977-07-01,64425.0
1977-07-08,63600.0
1977-07-15,63525.0
1977-07-22,63725.0
1977-07-29,63375.0
1977-08-05,62975.0
1977-08-12,65875.0
1977-08-19,65200.0
1977-08-26,63850.0
1977-09-02,63925.0
1977-09-09,61150.0
1977-09-16,61150.0
1977-09-23,61775.0
1977-09-30,62125.0
1977-10-07,61400.0
1977-10-14,61825.0
1977-10-21,62125.0
1977-10-28,62825.0
1977-11-04,62500.0
1977-11-11,62300.0
1977-11-18,62450.0
1977-11-25,63025.0
1977-12-02,64625.0
1977-12-09,64500.0
1977-12-16,65100.0
1977-12-23,65625.0
1977-12-30,66925.0
1978-01-06,66575.0
1978-01-13,66675.0
1978-01-20,67325.0
1978-01-27,68075.0
1978-02-03,68300.0
1978-02-10,69450.0
1978-02-17,68825.0
1978-02-24,68025.0
1978-03-03,63475.0
1978-03-10,62325.0
1978-03-17,62125.0
1978-03-24,63000.0
1978-03-31,63275.0
1978-04-07,63225.0
1978-04-14,62750.0
1978-04-21,62275.0
1978-04-28,61900.0
1978-05-05,61500.0
1978-05-12,59150.0
1978-05-19,58400.0
1978-05-26,57125.0
1978-06-02,56975.0
1978-06-09,58100.0
1978-06-16,57525.0
1978-06-23,56425.0
1978-06-30,55725.0
1978-07-07,55475.0
1978-07-14,54675.0
1978-07-21,53525.0
1978-07-28,51100.0
1978-08-04,48850.0
1978-08-11,47525.0
1978-08-18,46750.0
1978-08-25,47175.0
1978-09-01,46925.0
1978-09-08,45025.0
1978-09-15,42300.0
1978-09-22,42300.0
1978-09-29,42275.0
1978-10-06,39925.0
1978-10-13,35025.0
1978-10-20,32500.0
1978-10-27,32500.0
1978-11-03,30700.0
1978-11-10,27700.0
1978-11-17,26525.0
1978-11-24,26850.0
1978-12-01,19850.0
1978-12-08,17725.0
1978-12-15,16475.0
1978-12-22,16025.0
1978-12-29,15475.0
1979-01-05,15400.0
1979-01-12,15650.0
1979-01-19,14550.0
1979-01-26,15225.0
1979-02-02,14850.0
1979-02-09,15300.0
1979-02-16,16400.0
1979-02-23,15300.0
1979-03-02,15225.0
1979-03-09,14450.0
1979-03-16,16375.0
1979-03-23,16475.0
1979-03-30,17750.0
1979-04-06,18250.0
1979-04-13,18500.0
1979-04-20,19325.0
1979-04-27,18475.0
1979-05-04,17050.0
1979-05-11,15200.0
1979-05-18,16300.0
1979-05-25,15750.0
1979-06-01,15900.0
1979-06-08,16775.0
1979-06-15,17225.0
1979-06-22,18850.0
1979-06-29,20550.0
1979-07-06,21075.0
1979-07-13,22800.0
1979-07-20,22575.0
1979-07-27,22775.0
1979-08-03,23300.0
1979-08-10,24125.0
1979-08-17,24125.0
1979-08-24,24900.0
1979-08-31,26175.0
1979-09-07,26150.0
1979-09-14,27000.0
1979-09-21,26225.0
1979-09-28,26375.0
1979-10-05,24200.0
1979-10-12,21100.0
1979-10-19,21325.0
1979-10-26,20800.0
1979-11-02,20850.0
1979-11-09,21250.0
1979-11-16,18125.0
1979-11-23,18825.0
1979-11-30,19050.0
1979-12-07,18675.0
1979-12-14,18250.0
1979-12-21,17300.0
1979-12-28,17525.0
1980-01-04,17525.0
1980-01-11,17225.0
1980-01-18,16400.0
1980-01-25,15675.0
1980-02-01,15075.0
1980-02-08,12225.0
1980-02-15,11900.0
1980-02-22,11300.0
1980-02-29,8900.0
1980-03-06,7725.0
1980-03-13,8750.0
1980-03-20,9825.0
1980-03-27,12550.0
1980-04-03,13325.0
1980-04-10,15950.0
1980-04-17,17700.0
1980-04-24,21575.0
1980-05-01,20500.0
1980-05-08,20375.0
1980-05-15,21075.0
1980-05-22,19375.0
1980-05-29,19450.0
1980-06-05,20375.0
1980-06-12,24350.0
1980-06-19,25575.0
1980-06-26,25525.0
1980-07-03,27275.0
1980-07-10,35850.0
1980-07-17,34550.0
1980-07-24,40825.0
1980-07-31,29850.0
1980-08-07,47400.0
1980-08-14,47850.0
1980-08-21,49275.0
1980-08-28,52475.0
1980-09-04,53700.0
1980-09-11,63725.0
1980-09-18,70450.0
1980-09-25,76625.0
1980-10-02,76750.0
1980-10-09,78000.0
1980-10-16,79000.0
1980-10-23,79950.0
1980-10-30,78500.0
1980-11-06,76850.0
1980-11-13,76500.0
1980-11-20,76175.0
1980-11-27,74300.0
1980-12-04,73250.0
1980-12-11,73300.0
1980-12-18,73400.0
1980-12-25,73425.0
1981-01-02,73525.0
1981-01-09,74225.0
1981-01-16,71650.0
1981-01-23,69625.0
1981-01-30,70625.0
1981-02-06,70800.0
1981-02-13,66825.0
1981-02-20,64975.0
1981-02-27,61675.0
1981-03-06,60675.0
1981-03-13,55925.0
1981-03-20,53050.0
1981-03-27,50925.0
1981-04-03,50450.0
1981-04-10,47825.0
1981-04-17,47475.0
1981-04-24,46575.0
1981-05-01,47075.0
1981-05-08,47425.0
1981-05-15,48000.0
1981-05-22,50025.0
1981-05-29,49650.0
1981-06-05,48525.0
1981-06-12,47425.0
1981-06-19,47175.0
1981-06-26,46675.0
1981-07-03,44725.0
1981-07-10,45100.0
1981-07-17,43000.0
1981-07-24,43525.0
1981-07-31,44550.0
1981-08-07,43650.0
1981-08-14,41775.0
1981-08-21,42875.0
1981-08-28,44025.0
1981-09-04,44250.0
1981-09-11,43650.0
1981-09-18,43800.0
1981-09-25,45375.0
1981-10-02,46875.0
1981-10-09,47950.0
1981-10-16,48600.0
1981-10-23,47625.0
1981-10-30,48325.0
1981-11-06,49050.0
1981-11-13,49475.0
1981-11-20,50025.0
1981-11-27,50200.0
1981-12-04,49775.0
1981-12-11,50875.0
1981-12-18,49900.0
1981-12-25,49900.0
1982-01-01,49475.0
1982-01-01 00:30:00,49475.0
1982-01-08,52950.0
1982-01-15,54925.0
1982-01-22,59275.0
1982-01-29,60525.0
1982-02-05,61375.0
1982-02-12,63525.0
1982-02-19,64300.0
