,LSNI
1983-12-16,27774.0
1983-12-23,28236.0
1983-12-30,27540.0
1984-01-06,27936.0
1984-01-13,28506.0
1984-01-20,28692.0
1984-01-27,29820.0
1984-02-03,31668.0
1984-02-10,32262.0
1984-02-17,31932.0
1984-02-24,32382.0
1984-03-01,32664.0
1984-03-08,30684.0
1984-03-15,30222.0
1984-03-22,30222.0
1984-03-29,30198.0
1984-04-05,29922.0
1984-04-12,30042.0
1984-04-19,30480.0
1984-04-26,31464.0
1984-05-03,30408.0
1984-05-10,29394.0
1984-05-17,28620.0
1984-05-24,27618.0
1984-05-31,27138.0
1984-06-07,26652.0
1984-06-14,26214.0
1984-06-21,24828.0
1984-06-28,24300.0
1984-07-05,23682.0
1984-07-12,23520.0
1984-07-19,23070.0
1984-07-26,22158.0
1984-08-02,21528.0
1984-08-09,21126.0
1984-08-16,20664.0
1984-08-23,20268.0
1984-08-30,19668.0
1984-09-06,19266.0
1984-09-13,18204.0
1984-09-20,17556.0
1984-09-27,16764.0
1984-10-04,15522.0
1984-10-11,12822.0
1984-10-18,11844.0
1984-10-25,11658.0
1984-11-01,11884.0
1984-11-08,11280.0
1984-11-15,11736.0
1984-11-22,11358.0
1984-11-29,11034.0
1984-12-06,10590.0
1984-12-13,6156.0
1984-12-20,7320.0
1984-12-27,7356.0
1985-01-04,7206.0
1985-01-11,7410.0
1985-01-18,6804.0
1985-01-25,4902.0
1985-02-01,6528.0
1985-02-08,5250.0
1985-02-15,5844.0
1985-02-22,6456.0
1985-03-01,5964.0
1985-03-08,5580.0
1985-03-15,5520.0
1985-03-22,5706.0
1985-03-29,5550.0
1985-04-05,4986.0
1985-04-12,4350.0
1985-04-19,4518.0
1985-04-26,4680.0
1985-05-03,4944.0
1985-05-10,5076.0
1985-05-17,5034.0
1985-05-24,5244.0
1985-05-31,5220.0
1985-06-07,4902.0
1985-06-14,5322.0
1985-06-21,3738.0
1985-06-28,5568.0
1985-07-05,5538.0
1985-07-12,5688.0
1985-07-19,6672.0
1985-07-26,6858.0
1985-08-02,6762.0
1985-08-09,6564.0
1985-08-16,6474.0
1985-08-23,6366.0
1985-08-30,6150.0
1985-09-06,5988.0
1985-09-13,6228.0
1985-09-20,5532.0
1985-09-27,4842.0
1985-10-04,6084.0
1985-10-11,6990.0
1985-10-18,6042.0
1985-10-25,5328.0
1985-11-01,4272.0
1985-11-08,3428.0
1985-11-15,4266.0
1985-11-22,4896.0
1985-11-29,4884.0
1985-12-06,4915.0
1985-12-13,5160.0
1985-12-20,6486.0
1985-12-27,6444.0
1986-01-03,6816.0
1986-01-10,7290.0
1986-01-17,7224.0
1986-01-24,6798.0
1986-01-31,6516.0
1986-02-07,6402.0
1986-02-14,6624.0
1986-02-21,6636.0
1986-02-28,6552.0
1986-03-07,6912.0
1986-03-14,6342.0
1986-03-21,6348.0
1986-03-28,5634.0
1986-04-04,5322.0
1986-04-11,6306.0
1986-04-18,6756.0
1986-04-25,6132.0
1986-05-02,5886.0
1986-05-09,7008.0
1986-05-16,6894.0
1986-05-23,6942.0
1986-05-30,7638.0
1986-06-06,7554.0
1986-06-13,8100.0
1986-06-20,4776.0
1986-06-27,4032.0
1986-07-04,4020.0
1986-07-11,4260.0
1986-07-18,4674.0
1986-07-25,5520.0
1986-08-01,6642.0
1986-08-08,6942.0
1986-08-15,7566.0
1986-08-22,7968.0
1986-08-29,7740.0
1986-09-05,8154.0
1986-09-12,7896.0
1986-09-19,8952.0
1986-09-26,8862.0
1986-10-03,8718.0
1986-10-10,8568.0
1986-10-17,8340.0
1986-10-24,8172.0
1986-10-31,7908.0
1986-11-07,7332.0
1986-11-14,6492.0
1986-11-21,6750.0
1986-11-28,6882.0
1986-12-05,7686.0
1986-12-12,7326.0
1986-12-19,7356.0
1986-12-26,7392.0
1987-01-09,7374.0
1987-01-16,6870.0
1987-01-23,6546.0
1987-01-30,6576.0
1987-02-06,6222.0
1987-02-13,5640.0
1987-02-20,4608.0
1987-02-27,4674.0
1987-03-06,4338.0
1987-03-13,4788.0
1987-03-20,4080.0
1987-03-27,4530.0
1987-04-01,3912.0
1987-04-08,4164.0
1987-04-15,4302.0
1987-04-22,4728.0
1987-04-29,4680.0
1987-05-06,5016.0
1987-05-13,4176.0
1987-05-20,5208.0
1987-05-27,5802.0
1987-06-03,4962.0
1987-06-10,7116.0
1987-06-17,7824.0
1987-06-24,8826.0
1987-07-01,8964.0
1987-07-08,8634.0
1987-07-15,8844.0
1987-07-22,8328.0
1987-07-29,7344.0
1987-08-05,6528.0
1987-08-12,4428.0
1987-08-19,4680.0
1987-08-26,3372.0
1987-09-02,3618.0
1987-09-09,4002.0
1987-09-16,3684.0
1987-09-23,3606.0
1987-10-01,3984.0
1987-10-08,3546.0
1987-10-15,2412.0
1987-10-22,2244.0
1987-10-29,3384.0
1987-11-05,2850.0
1987-11-12,3150.0
1987-11-19,2220.0
1987-11-26,2352.0
1987-12-03,3624.0
1987-12-10,3786.0
1987-12-17,2994.0
1987-12-24,2856.0
1988-01-01,4584.0
1988-01-08,4218.0
1988-01-15,3126.0
1988-01-22,2904.0
1988-01-29,2838.0
1988-02-05,2850.0
1988-02-12,3006.0
1988-02-19,2754.0
1988-02-26,1992.0
1988-03-04,2778.0
1988-03-11,2472.0
1988-03-18,1938.0
1988-03-25,1788.0
1988-04-01,2010.0
1988-04-08,3078.0
1988-04-15,2790.0
1988-04-22,2238.0
1988-04-29,2472.0
1988-05-06,2268.0
1988-05-13,2502.0
1988-05-20,1998.0
1988-05-27,2346.0
1988-06-03,2946.0
1988-06-10,3612.0
1988-06-17,3834.0
1988-06-24,3996.0
1988-07-01,3480.0
1988-07-08,4134.0
1988-07-15,3312.0
1988-07-22,3066.0
1988-07-29,3186.0
1988-08-05,2892.0
1988-08-12,2628.0
1988-08-19,2598.0
1988-08-26,3048.0
1988-09-02,2784.0
1988-09-09,2154.0
1988-09-16,2490.0
1988-09-23,1914.0
1988-09-30,1638.0
1988-10-03,1782.0
1988-10-07,1920.0
1988-10-14,1938.0
1988-10-21,1422.0
1988-10-28,1758.0
1988-11-04,1308.0
1988-11-11,1572.0
1988-11-18,2082.0
1988-11-25,2634.0
1988-12-02,2136.0
1988-12-09,2832.0
1988-12-16,3312.0
1988-12-23,2544.0
1989-01-06,6768.0
1989-01-13,6480.0
1989-01-20,6084.0
1989-01-27,6132.0
1989-02-03,6186.0
1989-02-10,5550.0
1989-02-17,4320.0
1989-02-24,3498.0
1989-03-03,3078.0
1989-03-10,3300.0
1989-03-17,3822.0
1989-03-24,3420.0
1989-03-31,3396.0
1989-04-07,3690.0
1989-04-14,3060.0
1989-04-21,2412.0
1989-04-28,4824.0
1989-05-05,4974.0
1989-05-12,3132.0
1989-05-19,3162.0
1989-05-26,3876.0
1989-06-02,3348.0
1989-06-09,2796.0
1989-06-16,2262.0
1989-06-23,2190.0
1989-06-30,1518.0
1989-07-07,2610.0
1989-07-14,2598.0
1989-07-21,3270.0
1989-07-28,2484.0
1989-08-04,2472.0
1989-08-11,2100.0
1989-08-18,1590.0
1989-08-25,2262.0
1989-09-01,2820.0
1989-09-08,4248.0
1989-09-15,3744.0
1989-09-22,4446.0
1989-09-29,4938.0
1989-10-06,4758.0
1989-10-13,3456.0
1989-10-20,2628.0
1989-10-27,2514.0
1989-11-03,3030.0
1989-11-10,2304.0
1989-11-17,3780.0
1989-11-24,2316.0
1989-12-01,3318.0
1989-12-08,2556.0
1989-12-15,3330.0
1989-12-22,5100.0
1989-12-29,6498.0
1990-01-05,6798.0
1990-01-12,6702.0
1990-01-19,7356.0
1990-01-26,7146.0
1990-02-02,6930.0
1990-02-09,6708.0
1990-02-16,6840.0
1990-02-23,6414.0
1990-03-02,5406.0
1990-03-09,4866.0
1990-03-16,3942.0
1990-03-23,5760.0
1990-03-30,6366.0
1990-04-06,7734.0
1990-04-13,7476.0
1990-04-20,6756.0
1990-04-26,7032.0
1990-04-30,7488.0
1990-05-03,7200.0
1990-05-10,6024.0
1990-05-14,9324.0
1990-05-17,8496.0
1990-05-21,8610.0
1990-05-24,8376.0
1990-05-31,8670.0
1990-06-04,9030.0
1990-06-07,8976.0
1990-06-11,9072.0
1990-06-14,8712.0
1990-06-18,8442.0
1990-06-21,8316.0
1990-06-25,8274.0
1990-06-28,8376.0
1990-07-02,8964.0
1990-07-05,9012.0
1990-07-09,9144.0
1990-07-12,9120.0
1990-07-16,8574.0
1990-07-19,7668.0
1990-07-23,7050.0
1990-07-26,6390.0
1990-07-30,6390.0
1990-08-02,5838.0
1990-08-06,5796.0
1990-08-09,4980.0
1990-08-13,4476.0
1990-08-16,4968.0
1990-08-20,4932.0
1990-08-23,4794.0
1990-08-30,4338.0
1990-09-03,4056.0
1990-09-06,3762.0
1990-09-10,3210.0
1990-09-13,2340.0
1990-09-17,2076.0
1990-09-20,3612.0
1990-09-24,2892.0
1990-09-27,3444.0
1990-10-01,3480.0
1990-10-04,3366.0
1990-10-08,3240.0
1990-10-11,3312.0
1990-10-15,2946.0
1990-10-18,5028.0
1990-10-22,4368.0
1990-10-25,3618.0
1990-10-29,3162.0
1990-11-01,2544.0
1990-11-05,2592.0
1990-11-08,2994.0
1990-11-12,4362.0
1990-11-15,4110.0
1990-11-19,3498.0
1990-11-22,2724.0
1990-11-26,2148.0
1990-11-29,2370.0
1990-12-03,2646.0
1990-12-06,3762.0
1990-12-10,3288.0
1990-12-13,2838.0
1990-12-17,2514.0
1990-12-20,4146.0
1990-12-27,4344.0
1991-01-03,4296.0
1991-01-07,3300.0
1991-01-10,2658.0
1991-01-14,3018.0
1991-01-17,4062.0
1991-01-21,3570.0
1991-01-24,3270.0
1991-01-28,3162.0
1991-01-31,3462.0
1991-02-04,3858.0
1991-02-07,4104.0
1991-02-11,3324.0
1991-02-14,3174.0
1991-02-18,2934.0
1991-02-21,3732.0
1991-02-25,4266.0
1991-02-28,6186.0
1991-03-04,6282.0
1991-03-07,6306.0
1991-03-11,5922.0
1991-03-14,5868.0
1991-03-18,5778.0
1991-03-21,5604.0
1991-03-25,5238.0
1991-03-28,5076.0
1991-04-04,5664.0
1991-04-08,5292.0
1991-04-11,5796.0
1991-04-15,6210.0
1991-04-18,5886.0
1991-04-22,5064.0
1991-04-25,4896.0
1991-04-29,3570.0
1991-05-02,5466.0
1991-05-09,8448.0
1991-05-13,8490.0
1991-05-16,8202.0
1991-05-20,7878.0
1991-05-23,8130.0
1991-05-30,7728.0
1991-06-03,7794.0
1991-06-06,7944.0
1991-06-10,6678.0
1991-06-13,6162.0
1991-06-17,5394.0
1991-06-20,5400.0
1991-06-24,5172.0
1991-06-27,4656.0
1991-07-01,4146.0
1991-07-04,4164.0
1991-07-08,3834.0
1991-07-11,2796.0
1991-07-15,2418.0
1991-07-18,4302.0
1991-07-22,4872.0
1991-07-25,6162.0
1991-07-29,6420.0
1991-08-01,6558.0
1991-08-05,6882.0
1991-08-08,6558.0
1991-08-12,6714.0
1991-08-15,6942.0
1991-08-19,6798.0
1991-08-22,7080.0
1991-08-29,6732.0
1991-09-02,7224.0
1991-09-05,7020.0
1991-09-09,7650.0
1991-09-12,7890.0
1991-09-16,8802.0
1991-09-19,9360.0
1991-09-23,9810.0
1991-09-26,9570.0
1991-09-30,9624.0
1991-10-03,8976.0
1991-10-07,8598.0
1991-10-10,8604.0
1991-10-14,8394.0
1991-10-17,7938.0
1991-10-21,7854.0
1991-10-24,7470.0
1991-10-28,7590.0
1991-10-31,7890.0
1991-11-04,7878.0
1991-11-07,8376.0
1991-11-11,8550.0
1991-11-14,8598.0
1991-11-18,8910.0
1991-11-21,8328.0
1991-11-25,8700.0
1991-11-28,9426.0
1991-12-02,10632.0
1991-12-05,10350.0
1991-12-09,10194.0
1991-12-12,9924.0
1991-12-16,11322.0
