,LSCA
1975-02-21,166675.0
1975-02-28,166325.0
1975-03-07,164625.0
1975-03-14,170000.0
1975-03-21,172475.0
1975-03-28,175800.0
1975-04-04,177850.0
1975-04-11,185075.0
1975-04-18,194675.0
1975-04-25,203600.0
1975-05-02,215850.0
1975-05-09,219400.0
1975-05-16,228325.0
1975-05-23,224925.0
1975-05-30,249975.0
1975-06-06,266975.0
1975-06-13,276925.0
1975-06-20,284125.0
1975-06-27,294800.0
1975-07-04,306000.0
1975-07-11,317050.0
1975-07-18,326325.0
1975-07-25,334575.0
1975-08-01,344675.0
1975-08-08,353325.0
1975-08-15,363800.0
1975-08-22,378300.0
1975-08-29,388150.0
1975-09-05,398075.0
1975-09-12,408725.0
1975-09-19,422150.0
1975-09-26,431225.0
1975-10-03,423650.0
1975-10-10,436125.0
1975-10-17,445275.0
1975-10-24,451500.0
1975-10-31,359375.0
1975-11-07,463875.0
1975-11-14,472475.0
1975-11-21,477400.0
1975-11-28,482900.0
1975-12-05,487600.0
1975-12-12,492875.0
1975-12-19,496825.0
1975-12-26,496975.0
1976-01-02,503750.0
1976-01-09,508075.0
1976-01-16,517000.0
1976-01-23,517775.0
1976-01-30,519050.0
1976-02-06,521075.0
1976-02-13,525725.0
1976-02-20,522825.0
1976-02-27,525700.0
1976-03-04,526150.0
1976-03-11,523375.0
1976-03-18,527400.0
1976-03-25,540800.0
1976-04-01,532925.0
1976-04-08,532450.0
1976-04-15,534225.0
1976-04-22,537525.0
1976-04-29,536475.0
1976-05-06,538075.0
1976-05-13,538225.0
1976-05-20,539750.0
1976-05-27,542050.0
1976-06-03,541275.0
1976-06-10,540175.0
1976-06-17,540150.0
1976-06-24,539350.0
1976-07-01,536875.0
1976-07-08,540375.0
1976-07-15,542125.0
1976-07-22,545100.0
1976-07-29,547325.0
1976-08-05,550500.0
1976-08-12,554325.0
1976-08-19,558850.0
1976-08-26,559900.0
1976-09-02,560700.0
1976-09-09,555350.0
1976-09-16,559300.0
1976-09-23,558925.0
1976-09-30,559950.0
1976-10-07,564175.0
1976-10-14,569550.0
1976-10-21,572800.0
1976-10-28,577375.0
1976-11-04,581125.0
1976-11-11,586650.0
1976-11-18,588725.0
1976-11-25,592425.0
1976-12-02,593825.0
1976-12-09,593525.0
1976-12-16,595000.0
1976-12-23,599800.0
1976-12-30,603475.0
1977-01-07,610600.0
1977-01-14,613425.0
1977-01-21,612125.0
1977-01-28,614075.0
1977-02-04,618000.0
1977-02-11,618700.0
1977-02-18,620700.0
1977-02-25,624300.0
1977-03-04,618950.0
1977-03-11,615500.0
1977-03-18,615225.0
1977-03-25,613825.0
1977-04-01,613150.0
1977-04-08,615425.0
1977-04-15,616475.0
1977-04-22,618725.0
1977-04-29,617325.0
1977-05-06,617000.0
1977-05-13,613325.0
1977-05-20,614875.0
1977-05-27,606525.0
1977-06-03,604550.0
1977-06-10,597000.0
1977-06-17,596700.0
1977-06-24,599275.0
1977-07-01,599400.0
1977-07-08,600925.0
1977-07-15,598950.0
1977-07-22,602150.0
1977-07-29,605475.0
1977-08-05,600925.0
1977-08-12,608550.0
1977-08-19,606800.0
1977-08-26,609400.0
1977-09-02,610075.0
1977-09-09,610725.0
1977-09-16,611550.0
1977-09-23,613850.0
1977-09-30,616925.0
1977-10-07,617850.0
1977-10-14,622675.0
1977-10-21,626700.0
1977-10-28,630075.0
1977-11-04,632150.0
1977-11-11,633275.0
1977-11-18,638100.0
1977-11-25,638725.0
1977-12-02,637900.0
1977-12-09,639125.0
1977-12-16,638875.0
1977-12-23,638125.0
1977-12-30,641175.0
1978-01-06,640475.0
1978-01-13,641325.0
1978-01-20,645300.0
1978-01-27,643325.0
1978-02-03,636225.0
1978-02-10,631825.0
1978-02-17,631700.0
1978-02-24,622425.0
1978-03-03,599775.0
1978-03-10,587300.0
1978-03-17,583125.0
1978-03-24,575225.0
1978-03-31,575225.0
1978-04-07,573350.0
1978-04-14,563725.0
1978-04-21,552900.0
1978-04-28,550300.0
1978-05-05,551475.0
1978-05-12,543550.0
1978-05-19,540900.0
1978-05-26,533825.0
1978-06-02,529600.0
1978-06-09,524600.0
1978-06-16,519875.0
1978-06-23,509975.0
1978-06-30,503200.0
1978-07-07,497275.0
1978-07-14,490475.0
1978-07-21,483300.0
1978-07-28,477950.0
1978-08-04,482975.0
1978-08-11,463300.0
1978-08-18,460275.0
1978-08-25,449900.0
1978-09-01,442250.0
1978-09-08,435625.0
1978-09-15,430500.0
1978-09-22,425025.0
1978-09-29,424050.0
1978-10-06,420000.0
1978-10-13,407700.0
1978-10-20,403800.0
1978-10-27,402175.0
1978-11-03,398125.0
1978-11-10,399300.0
1978-11-17,395600.0
1978-11-24,390050.0
1978-12-01,387300.0
1978-12-08,381450.0
1978-12-15,374000.0
1978-12-22,376375.0
1978-12-29,373650.0
1979-01-05,369350.0
1979-01-12,352775.0
1979-01-19,330850.0
1979-01-26,324550.0
1979-02-02,319075.0
1979-02-09,308950.0
1979-02-16,302425.0
1979-02-23,296300.0
1979-03-02,292850.0
1979-03-09,281725.0
1979-03-16,271200.0
1979-03-23,262825.0
1979-03-30,254450.0
1979-04-06,247425.0
1979-04-13,243700.0
1979-04-20,238650.0
1979-04-27,234275.0
1979-05-04,231425.0
1979-05-11,228125.0
1979-05-18,223050.0
1979-05-25,221700.0
1979-06-01,218800.0
1979-06-08,209575.0
1979-06-15,204100.0
1979-06-22,197575.0
1979-06-29,193825.0
1979-07-06,191500.0
1979-07-13,187800.0
1979-07-20,179300.0
1979-07-27,175550.0
1979-08-03,171950.0
1979-08-10,170100.0
1979-08-17,167375.0
1979-08-24,163125.0
1979-08-31,160850.0
1979-09-07,158350.0
1979-09-14,157825.0
1979-09-21,156825.0
1979-09-28,153025.0
1979-10-05,151025.0
1979-10-12,149250.0
1979-10-19,148250.0
1979-10-26,147050.0
1979-11-02,145650.0
1979-11-09,144925.0
1979-11-16,141850.0
1979-11-23,140175.0
1979-11-30,136425.0
1979-12-07,130600.0
1979-12-14,127150.0
1979-12-21,127050.0
1979-12-28,126500.0
1980-01-04,125450.0
1980-01-11,123025.0
1980-01-18,120125.0
1980-01-25,118725.0
1980-02-01,116400.0
1980-02-08,114450.0
1980-02-15,114375.0
1980-02-22,115625.0
1980-02-29,117175.0
1980-03-06,115925.0
1980-03-13,114825.0
1980-03-20,117350.0
1980-03-27,117925.0
1980-04-03,121650.0
1980-04-10,122650.0
1980-04-17,120850.0
1980-04-24,118925.0
1980-05-01,117350.0
1980-05-08,117425.0
1980-05-15,118100.0
1980-05-22,115650.0
1980-05-29,116150.0
1980-06-05,115675.0
1980-06-12,114275.0
1980-06-19,113450.0
1980-06-26,110000.0
1980-07-03,109600.0
1980-07-10,108725.0
1980-07-17,108450.0
1980-07-24,110625.0
1980-07-31,111275.0
1980-08-07,115125.0
1980-08-14,114575.0
1980-08-21,118625.0
1980-08-28,119625.0
1980-09-04,119975.0
1980-09-11,119900.0
1980-09-18,122775.0
1980-09-25,125250.0
1980-10-02,127700.0
1980-10-09,125925.0
1980-10-16,125500.0
1980-10-23,124500.0
1980-10-30,124975.0
1980-11-06,125825.0
1980-11-13,124650.0
1980-11-20,124200.0
1980-11-27,122875.0
1980-12-04,122725.0
1980-12-11,122400.0
1980-12-18,122675.0
1980-12-25,122600.0
1981-01-02,122225.0
1981-01-09,121100.0
1981-01-16,122650.0
1981-01-23,123050.0
1981-01-30,123550.0
1981-02-06,121800.0
1981-02-13,120325.0
1981-02-20,121600.0
1981-02-27,119300.0
1981-03-06,118600.0
1981-03-13,119975.0
1981-03-20,118475.0
1981-03-27,117025.0
1981-04-03,116150.0
1981-04-10,120075.0
1981-04-17,120075.0
1981-04-24,120400.0
1981-05-01,119400.0
1981-05-08,119150.0
1981-05-15,117500.0
1981-05-22,118575.0
1981-05-29,118850.0
1981-06-05,116750.0
1981-06-12,116175.0
1981-06-19,117325.0
1981-06-26,119275.0
1981-07-03,119200.0
1981-07-10,117825.0
1981-07-17,114875.0
1981-07-24,115275.0
1981-07-31,115000.0
1981-08-07,114000.0
1981-08-14,114725.0
1981-08-21,116850.0
1981-08-28,116000.0
1981-09-04,114450.0
1981-09-11,111750.0
1981-09-18,111450.0
1981-09-25,112825.0
1981-10-02,112475.0
1981-10-09,108475.0
1981-10-16,107225.0
1981-10-23,107525.0
1981-10-30,106800.0
1981-11-06,107925.0
1981-11-13,111600.0
1981-11-20,110125.0
1981-11-27,110050.0
1981-12-04,113050.0
1981-12-11,118925.0
1981-12-18,124325.0
1981-12-25,126650.0
1982-01-01,127750.0
1982-01-01 00:30:00,127750.0
1982-01-08,128825.0
1982-01-15,127825.0
1982-01-22,125675.0
1982-01-29,123975.0
1982-02-05,124900.0
1982-02-12,124325.0
1982-02-19,122800.0
1982-02-26,124825.0
1982-03-05,128025.0
1982-03-12,129725.0
1982-03-19,129450.0
1982-03-26,128675.0
1982-04-02,131375.0
1982-04-09,132200.0
1982-04-16,134000.0
1982-04-23,135100.0
1982-04-30,137400.0
1982-05-07,137900.0
1982-05-14,142425.0
1982-05-21,144300.0
1982-05-28,144200.0
1982-06-04,146550.0
1982-06-11,148175.0
1982-06-18,144875.0
1982-06-25,144375.0
1982-07-02,143075.0
1982-07-09,140425.0
1982-07-16,141950.0
1982-07-23,145575.0
1982-07-30,144625.0
1982-08-06,144650.0
1982-08-13,145925.0
1982-08-20,143550.0
1982-08-27,144125.0
1982-09-03,143450.0
1982-09-10,144125.0
1982-09-17,139600.0
1982-09-24,141400.0
1982-10-01,136600.0
1982-10-08,140875.0
1982-10-15,145050.0
1982-10-22,157850.0
1982-10-29,171050.0
1982-11-05,176225.0
1982-11-12,197000.0
1982-11-19,204850.0
1982-11-26,211425.0
1982-12-03,215875.0
1982-12-10,225500.0
1982-12-17,229400.0
1982-12-24,244350.0
1982-12-31,253175.0
1983-01-07,260600.0
1983-01-14,266050.0
1983-01-21,271600.0
1983-01-28,279500.0
1983-02-04,286325.0
1983-02-11,292725.0
1983-02-18,296100.0
1983-02-25,296850.0
1983-03-04,288625.0
1983-03-11,302750.0
1983-03-18,306475.0
1983-03-25,308075.0
1983-04-01,308575.0
1983-04-08,310600.0
1983-04-15,313075.0
1983-04-22,314075.0
1983-04-29,317770.0
1983-05-06,319150.0
1983-05-13,320950.0
1983-05-20,325450.0
1983-05-27,329375.0
1983-06-03,334200.0
1983-06-10,344375.0
1983-06-17,345825.0
1983-06-24,338925.0
1983-07-01,301900.0
1983-07-08,286150.0
1983-07-15,250825.0
1983-07-22,264700.0
1983-07-29,263800.0
1983-08-05,273875.0
1983-08-12,299600.0
1983-08-19,314950.0
1983-08-26,330425.0
1983-09-02,345450.0
1983-09-09,357225.0
1983-09-16,367075.0
1983-09-23,375075.0
1983-09-30,386825.0
1983-10-07,397500.0
1983-10-14,405500.0
1983-10-21,409775.0
1983-10-28,416125.0
1983-11-04,419125.0
1983-11-11,421900.0
1983-11-18,422375.0
1983-11-25,425300.0
1983-12-02,425200.0
1983-12-09,426375.0
1983-12-16,431525.0
1983-12-23,435375.0
1983-12-30,435675.0
1984-01-06,433250.0
1984-01-13,435975.0
1984-01-20,423700.0
1984-01-27,425400.0
1984-02-03,427300.0
1984-02-10,407750.0
1984-02-17,407650.0
1984-02-24,382475.0
1984-03-01,377925.0
1984-03-08,354200.0
1984-03-15,345500.0
1984-03-22,324750.0
1984-03-29,319925.0
1984-04-05,310300.0
1984-04-12,283125.0
1984-04-19,280200.0
1984-04-26,272875.0
1984-05-03,270875.0
1984-05-10,252450.0
1984-05-17,241425.0
1984-05-24,232800.0
1984-05-31,231775.0
1984-06-07,231725.0
1984-06-14,234400.0
1984-06-21,230000.0
1984-06-28,227150.0
1984-07-05,222925.0
1984-07-12,206325.0
1984-07-19,194075.0
1984-07-26,192025.0
1984-08-02,184075.0
1984-08-09,180800.0
1984-08-16,176600.0
1984-08-23,169550.0
1984-08-30,162000.0
1984-09-06,159925.0
1984-09-13,160225.0
1984-09-20,162700.0
1984-09-27,159575.0
1984-10-04,160300.0
1984-10-11,162125.0
1984-10-18,163475.0
1984-10-25,163050.0
1984-11-01,155525.0
1984-11-08,153000.0
1984-11-15,152750.0
1984-11-22,149475.0
1984-11-29,141725.0
1984-12-06,134450.0
1984-12-13,133100.0
1984-12-20,130400.0
1984-12-27,126375.0
1985-01-04,125075.0
1985-01-11,119475.0
1985-01-18,122650.0
1985-01-25,120325.0
1985-02-01,116400.0
1985-02-08,112800.0
1985-02-15,109050.0
1985-02-22,109575.0
1985-03-01,104775.0
1985-03-08,99475.0
1985-03-15,94650.0
1985-03-22,93175.0
1985-03-29,89501.0
1985-04-05,87150.0
1985-04-12,88550.0
1985-04-19,90700.0
1985-04-26,87200.0
1985-05-03,82800.0
1985-05-10,85375.0
1985-05-17,100950.0
1985-05-24,104475.0
1985-05-31,105075.0
1985-06-07,111975.0
1985-06-14,107550.0
1985-06-21,105075.0
1985-06-28,108825.0
1985-07-05,115600.0
1985-07-12,120125.0
1985-07-19,128525.0
1985-07-26,143500.0
1985-08-02,159750.0
1985-08-09,179575.0
1985-08-16,189925.0
1985-08-23,203250.0
1985-08-30,206650.0
1985-09-06,213350.0
1985-09-13,209150.0
1985-09-20,207400.0
1985-09-27,207050.0
1985-10-04,205600.0
1985-10-11,198925.0
1985-10-18,192550.0
1985-10-25,194275.0
1985-11-01,196350.0
1985-11-08,195025.0
1985-11-15,194500.0
1985-11-22,188225.0
1985-11-29,185500.0
1985-12-06,184025.0
1985-12-13,183750.0
1985-12-20,187650.0
1985-12-27,187950.0
1986-01-03,189725.0
1986-01-10,185075.0
1986-01-17,183625.0
1986-01-24,181150.0
1986-01-31,180175.0
1986-02-07,177925.0
1986-02-14,174325.0
1986-02-21,168250.0
1986-02-28,163375.0
1986-03-07,160800.0
1986-03-14,158250.0
1986-03-21,157375.0
1986-03-28,153325.0
1986-04-04,143500.0
1986-04-11,138575.0
1986-04-18,134325.0
1986-04-25,132875.0
1986-05-02,132600.0
1986-05-09,130850.0
1986-05-16,133050.0
1986-05-23,133375.0
1986-05-30,133950.0
1986-06-06,137275.0
1986-06-13,140100.0
1986-06-20,141150.0
1986-06-27,143150.0
1986-07-04,152825.0
1986-07-11,158625.0
1986-07-18,155525.0
1986-07-25,153450.0
1986-08-01,155300.0
1986-08-08,154725.0
1986-08-15,156975.0
1986-08-22,156825.0
1986-08-29,157350.0
1986-09-05,162525.0
1986-09-12,162975.0
1986-09-19,161800.0
1986-09-26,163850.0
1986-10-03,161650.0
1986-10-10,165925.0
1986-10-17,166800.0
1986-10-24,170625.0
1986-10-31,173300.0
1986-11-07,174025.0
1986-11-14,175800.0
1986-11-21,177625.0
1986-11-28,176375.0
1986-12-05,179125.0
1986-12-12,179100.0
1986-12-19,174174.0
1986-12-26,174800.0
1987-01-02,175075.0
1987-01-09,175150.0
1987-01-16,176300.0
1987-01-23,175675.0
1987-01-30,174350.0
1987-02-06,175475.0
1987-02-13,176225.0
1987-02-20,169275.0
1987-02-27,151175.0
1987-03-06,140425.0
1987-03-13,135925.0
1987-03-20,135850.0
1987-03-27,136750.0
1987-04-01,123500.0
1987-04-08,131600.0
1987-04-15,132850.0
1987-04-22,139125.0
1987-04-29,140200.0
1987-05-06,144850.0
1987-05-13,146450.0
1987-05-20,129300.0
1987-05-27,113825.0
1987-06-03,109900.0
1987-06-10,107250.0
1987-06-17,108100.0
1987-06-24,109300.0
1987-07-01,106625.0
1987-07-08,104025.0
1987-07-15,102675.0
1987-07-22,97575.0
1987-07-29,97925.0
1987-08-05,97350.0
1987-08-12,101325.0
1987-08-19,105375.0
1987-08-26,109125.0
1987-09-02,111000.0
1987-09-09,114825.0
1987-09-16,113000.0
1987-09-23,111725.0
1987-10-01,108700.0
1987-10-08,105550.0
1987-10-15,100000.0
1987-10-22,92325.0
1987-10-29,80775.0
1987-11-05,68225.0
1987-11-12,62250.0
1987-11-19,66850.0
1987-11-26,60875.0
1987-12-03,60375.0
1987-12-10,56925.0
1987-12-17,50375.0
1987-12-24,42875.0
1988-01-01,52925.0
1988-01-08,56825.0
1988-01-15,53925.0
1988-01-22,48050.0
1988-01-29,49075.0
1988-02-05,52150.0
1988-02-12,51650.0
1988-02-19,57875.0
1988-02-26,62625.0
1988-03-04,61275.0
1988-03-11,56500.0
1988-03-18,56300.0
1988-03-25,56725.0
1988-04-01,57125.0
1988-04-08,54375.0
1988-04-15,49000.0
1988-04-22,48250.0
1988-04-29,45075.0
1988-05-06,41425.0
1988-05-13,45200.0
1988-05-20,58075.0
1988-05-27,62875.0
1988-06-03,71375.0
1988-06-10,75675.0
1988-06-17,81975.0
1988-06-24,88400.0
1988-07-01,89850.0
1988-07-08,96100.0
1988-07-15,104525.0
1988-07-22,116975.0
1988-07-29,119975.0
1988-08-05,120700.0
1988-08-12,122200.0
1988-08-19,125075.0
1988-08-26,121750.0
1988-09-02,122125.0
1988-09-09,117575.0
1988-09-16,115250.0
1988-09-23,108325.0
1988-09-30,100725.0
1988-10-03,92450.0
1988-10-07,87900.0
1988-10-14,80000.0
1988-10-21,70800.0
1988-10-28,70925.0
1988-11-04,66050.0
1988-11-11,63825.0
1988-11-18,66250.0
1988-11-25,64400.0
1988-12-02,62745.0
1988-12-09,64250.0
1988-12-16,69875.0
1988-12-23,65775.0
1989-01-06,67950.0
1989-01-13,72450.0
1989-01-20,76125.0
1989-01-27,77475.0
1989-02-03,79450.0
1989-02-10,86775.0
1989-02-17,85025.0
1989-02-24,81250.0
1989-03-03,85750.0
1989-03-10,87525.0
1989-03-17,93775.0
1989-03-24,94150.0
1989-03-31,96600.0
1989-04-07,103225.0
1989-04-14,109700.0
1989-04-21,105900.0
1989-04-28,114100.0
1989-05-05,131275.0
1989-05-12,135050.0
1989-05-19,131425.0
1989-05-26,113625.0
1989-06-02,103100.0
1989-06-09,96350.0
1989-06-16,84850.0
1989-06-23,82525.0
1989-06-30,81675.0
1989-07-07,74225.0
1989-07-14,71600.0
1989-07-21,67875.0
1989-07-28,73150.0
1989-08-04,79150.0
1989-08-11,78175.0
1989-08-18,77300.0
1989-08-25,80625.0
1989-09-01,82875.0
1989-09-08,87675.0
1989-09-15,97200.0
1989-09-22,110700.0
1989-09-29,104275.0
1989-10-06,102875.0
1989-10-13,89300.0
1989-10-20,84500.0
1989-10-27,83950.0
1989-11-03,96950.0
1989-11-10,102650.0
1989-11-17,114650.0
1989-11-24,118000.0
1989-12-01,117000.0
1989-12-08,115875.0
1989-12-15,108575.0
1989-12-22,107100.0
1989-12-29,108000.0
1990-01-05,108975.0
1990-01-12,106200.0
1990-01-19,104375.0
1990-01-26,104150.0
1990-02-02,99950.0
1990-02-09,93725.0
1990-02-16,88300.0
1990-02-23,88300.0
1990-03-02,78875.0
1990-03-09,76525.0
1990-03-16,75000.0
1990-03-23,72075.0
1990-03-30,59125.0
1990-04-06,55225.0
1990-04-13,54575.0
1990-04-20,66900.0
1990-04-26,62675.0
1990-04-30,55150.0
1990-05-03,61200.0
1990-05-10,61350.0
1990-05-14,67000.0
1990-05-17,78675.0
1990-05-21,76100.0
1990-05-24,77100.0
1990-05-31,76425.0
1990-06-04,77275.0
1990-06-07,73050.0
1990-06-11,68575.0
1990-06-14,66325.0
1990-06-18,63750.0
1990-06-21,60725.0
1990-06-25,60350.0
1990-06-28,59400.0
1990-07-02,55725.0
1990-07-05,53550.0
1990-07-09,51225.0
1990-07-12,46850.0
1990-07-16,46450.0
1990-07-19,61525.0
1990-07-23,67750.0
1990-07-26,84975.0
1990-07-30,94275.0
1990-08-02,104350.0
1990-08-06,107775.0
1990-08-09,115600.0
1990-08-13,122400.0
1990-08-16,129750.0
1990-08-20,132425.0
1990-08-23,131025.0
1990-08-30,133075.0
1990-09-03,132550.0
1990-09-06,133175.0
1990-09-10,135700.0
1990-09-13,150675.0
1990-09-17,147725.0
1990-09-20,174800.0
1990-09-24,181550.0
1990-09-27,187575.0
1990-10-01,186925.0
1990-10-04,186200.0
1990-10-08,187625.0
1990-10-11,193375.0
1990-10-15,195425.0
1990-10-18,197500.0
1990-10-22,192425.0
1990-10-25,184025.0
1990-10-29,182525.0
1990-11-01,181975.0
1990-11-05,180425.0
1990-11-08,179675.0
1990-11-12,177725.0
1990-11-15,177650.0
1990-11-19,178450.0
1990-11-22,178250.0
1990-11-26,174500.0
1990-11-29,168400.0
1990-12-03,164500.0
1990-12-06,163300.0
1990-12-10,162850.0
1990-12-13,165075.0
1990-12-17,166975.0
1990-12-20,173275.0
1990-12-27,178650.0
1991-01-03,181500.0
1991-01-07,179900.0
1991-01-10,178475.0
1991-01-14,178300.0
1991-01-17,186525.0
1991-01-21,188250.0
1991-01-24,187075.0
1991-01-28,188525.0
1991-01-31,188925.0
1991-02-04,193575.0
1991-02-07,190800.0
1991-02-11,194075.0
1991-02-14,193600.0
1991-02-18,194400.0
1991-02-21,195450.0
1991-02-25,196850.0
1991-02-28,202775.0
1991-03-04,207850.0
1991-03-07,209150.0
1991-03-11,209100.0
1991-03-14,207050.0
1991-03-18,207050.0
1991-03-21,207950.0
1991-03-25,211300.0
1991-03-28,213925.0
1991-04-04,186900.0
1991-04-08,218850.0
1991-04-11,218775.0
1991-04-15,226225.0
1991-04-18,226600.0
1991-04-22,228800.0
1991-04-25,230175.0
1991-04-29,233075.0
1991-05-02,237875.0
1991-05-09,261775.0
1991-05-13,273725.0
1991-05-16,285925.0
1991-05-20,287050.0
