"Index","China Industrial Production Index"
2008-02-02,945.55767298
2008-03-23,956.91164694
2008-04-26,970.064507
2008-05-23,981.92517479
2008-06-25,994.14536902
2008-07-26,1006.51764525
2008-08-23,1018.08727921
2008-09-21,1028.3574595
2008-10-29,1037.65074432
2008-11-22,1044.4880454
2008-12-24,1049.07577351
2009-01-31,1053.9332519
2009-03-21,1063.13893078
2009-04-25,1070.22656426
2009-05-22,1076.52892506
2009-06-21,1084.20488558
2009-07-25,1093.42834603
2009-08-20,1102.81324912
2009-09-20,1113.5258106
2009-10-31,1125.66872077
2009-11-20,1139.75966432
2009-12-20,1156.56391471
2010-01-30,1173.04003323
2010-03-20,1184.87333365
2010-04-24,1201.41417112
2010-05-20,1217.92774635
2010-06-20,1233.52707098
2010-07-24,1246.79597144
2010-08-20,1259.93017769
2010-09-20,1273.66961581
2010-10-30,1286.99229753
2010-11-20,1300.26288103
2010-12-20,1313.86373034
2011-01-29,1327.8019815
2011-03-20,1343.25968786
2011-04-24,1358.79875042
2011-05-20,1373.11283503
2011-06-23,1387.47570045
2011-07-22,1403.83154204
2011-08-19,1419.24400071
2011-09-19,1434.3001887
2011-10-27,1449.83499227
2011-11-19,1464.8925814
2011-12-19,1479.23204185
2012-01-26,1494.15412178
2012-03-18,1518.3916167
2012-04-22,1532.68522608
2012-05-21,1544.0854051
2012-06-19,1555.92573526
2012-07-22,1567.73759883
2012-08-19,1579.27803071
2012-09-19,1590.53873679
2012-10-27,1602.24701243
2012-11-19,1614.53333646
2012-12-19,1627.53108915
2013-01-27,1640.88162837
2013-04-24,1652.58158581
2013-05-23,1664.87355915
2013-06-19,1677.12902837
2013-07-24,1689.08744018
2013-08-19,1702.16903145
2013-09-20,1716.26142374
2013-10-27,1730.20902838
2013-11-19,1744.40182854
2013-12-20,1758.31193368
2014-01-29,1771.92965263
2014-04-25,1784.42740278
2014-05-23,1796.87560498
2014-06-23,1809.54930358
2014-07-25,1822.86976006
2014-08-23,1836.00777179
2014-09-23,1846.24496528
2014-10-30,1858.12376097
2014-11-23,1869.64554443
2014-12-22,1880.50941022
2015-01-29,1892.46256776
